date,income,price
2015.0,"7,149,127.00","1,986"
2016.0,"7,569,090.10","1,747"
2017.0,"6,323,383.00","1,678"
2018.0,"4,112,505.80","2,271"
2019.0,"6,261,246.50","2,432"
2020.0,"7,318,965.80","2,494"
2021.0,"9,795,874.00","2,859"
