date,place,ondo,price
2017-09-22,100.0,13.5,1680
2017-09-25,100.0,15.6,1620
2017-09-26,100.0,17.8,1520
2017-09-27,100.0,15.6,1480
2017-09-28,100.0,13.7,1360
2017-09-29,100.0,10.2,1420
2017-10-10,100.0,13.9,1300
2017-10-11,100.0,12.3,1280
2017-10-12,100.0,8.4,1020
2017-10-13,100.0,7.0,840
2017-10-16,100.0,9.0,740
2017-10-17,100.0,9.0,660
2017-10-18,100.0,8.9,640
2017-10-19,100.0,8.5,580
2017-10-20,100.0,8.2,540
2017-10-23,100.0,4.8,570
2017-10-24,100.0,3.0,570
2017-10-25,100.0,6.4,570
2017-10-26,100.0,7.6,570
2017-10-27,100.0,9.4,570
2017-10-30,100.0,3.4,576
2017-10-31,100.0,4.3,576
2017-11-01,100.0,8.1,540
2017-11-02,100.0,9.6,536
2017-11-03,100.0,8.3,546
2017-11-06,100.0,7.1,540
2017-11-07,100.0,9.5,546
2017-11-08,100.0,8.9,596
2017-11-09,100.0,2.5,600
2017-11-10,100.0,6.6,620
2017-11-13,100.0,4.0,620
2017-11-14,100.0,2.9,600
2017-11-15,100.0,-2.1,600
2017-11-16,100.0,-4.1,616
2017-11-17,100.0,-1.2,644
2017-11-20,100.0,-4.9,624
2017-11-21,100.0,-3.2,650
2017-11-22,100.0,-0.5,656
2017-11-23,100.0,-4.9,700
2017-11-24,100.0,-5.8,720
2017-11-27,100.0,-2.5,620
2017-11-28,100.0,3.5,596
2017-11-29,100.0,2.5,596
2017-11-30,100.0,-3.7,596
2017-12-04,100.0,-4.3,584
2017-12-05,100.0,-10.5,550
2017-12-06,100.0,-5.6,546
2017-12-07,100.0,-3.1,550
2017-12-08,100.0,-9.0,622
2017-12-11,100.0,-12.9,642
2017-12-12,100.0,-15.2,642
2017-12-13,100.0,-12.8,642
2017-12-14,100.0,-11.6,660
2017-12-15,100.0,-5.7,666
2017-12-18,100.0,-5.8,686
2017-12-19,100.0,-8.8,690
2017-12-20,100.0,-7.4,700
2017-12-21,100.0,-4.8,704
2017-12-22,100.0,-1.7,704
2017-12-26,100.0,-8.7,690
2017-12-27,100.0,-12.0,696
2017-12-28,100.0,-6.2,690
2017-12-29,100.0,-3.2,680
