date,place,ondo,price
2015-11-10,100,6.5,410
2015-11-11,100,6.1,430
2015-11-12,100,7.4,410
2015-11-13,100,7.4,430
2015-11-16,100,6.9,400
2015-11-17,100,7,420
2015-11-18,100,3.6,410
2015-11-19,100,3.9,430
2015-11-20,100,6.3,510
2015-11-23,100,3.6,510
2015-11-24,100,0.8,510
2015-11-25,100,-0.4,520
2015-11-26,100,-6.1,520
2015-11-27,100,-6.7,550
2015-11-30,100,0.5,530
2015-12-01,100,-1.7,510
2015-12-02,100,3.5,490
2015-12-03,100,-4.6,490
2015-12-07,100,-1.5,440
2015-12-08,100,0.9,440
2015-12-09,100,2,440
2015-12-10,100,4.4,440
2015-12-11,100,0.3,400
2015-12-14,100,2.3,400
2015-12-15,100,1.8,420
2015-12-16,100,-4.4,420
2015-12-17,100,-8.7,420
2015-12-18,100,-5.7,420
2015-12-21,100,-1.1,410
2015-12-22,100,-1.5,420
2015-12-23,100,1.1,410
2015-12-24,100,-1.8,410
2015-12-28,100,-9.3,430
2015-12-29,100,-7.6,430
2015-12-30,100,-5.3,430
2015-12-31,100,-1.9,430
2016-01-04,100,0.2,440
2016-01-05,100,-4.7,450
2016-01-06,100,-5.9,450
2016-01-07,100,-6.5,455
2016-01-08,100,-7.3,455
2016-01-11,100,-8.2,470
2016-01-12,100,-9.4,470
2016-01-13,100,-8.4,470
2016-01-14,100,-8.1,480
2016-01-15,100,-7,480
2016-01-18,100,-8.1,510
2016-01-19,100,-16.7,530
2016-01-20,100,-14.3,570
2016-01-21,100,-11.4,580
2016-01-22,100,-10.6,630
2016-01-25,100,-13.4,690
2016-01-26,100,-7.4,670
2016-01-27,100,-4.3,740
2016-01-28,100,-5.6,740
2016-01-29,100,-3.2,760
2016-02-01,100,-10.1,710
2016-02-02,100,-10.3,700
2016-02-03,100,-8,710
2016-02-04,100,-4.3,710
2016-02-05,100,-5.9,720
2016-02-11,100,1.2,700
2016-02-12,100,6.8,700
2016-02-15,100,-10.3,760
2016-02-16,100,-7.2,800
2016-02-17,100,-5.1,840
2016-02-18,100,-0.4,880
2016-02-19,100,-1,900
2016-02-22,100,-2.6,880
2016-02-23,100,-2.2,940
2016-02-24,100,-5.7,960
2016-02-25,100,-5.7,920
2016-02-26,100,-2.2,980
2016-03-02,100,-2.5,1110
2016-03-03,100,1.9,1100
2016-03-04,100,-0.3,1100
2016-03-07,100,3.8,1160
2016-03-08,100,0.9,1180
2016-03-09,100,-3.7,1180
2016-03-10,100,-4.1,1180
2016-03-11,100,-5.1,1180
2016-03-14,100,-2.8,1160
2016-03-15,100,1.7,1160
2016-03-16,100,5.2,1180
2016-03-17,100,6.6,1180
2016-03-18,100,8.5,1200
2016-03-21,100,4.4,1200
2016-03-22,100,4.9,1220
2016-03-23,100,0,1220
2016-03-24,100,-0.8,1200
2016-03-25,100,0.3,1220
2016-03-28,100,6.1,1320
2016-03-29,100,8.8,1320
2016-03-30,100,8.2,1320
2016-03-31,100,8.7,1320
2016-04-01,100,6,1440
2016-04-04,100,5,1460
2016-04-05,100,9.1,1500
2016-04-06,100,9.5,1520
2016-04-07,100,10.4,1560
2016-04-08,100,10.5,1560
2016-04-11,100,2.2,1560
2016-04-12,100,8.7,1540
2016-04-14,100,11.7,1520
2016-04-15,100,10.8,1500
2016-04-18,100,7.3,1520
2016-04-19,100,8.3,1480
2016-04-20,100,10.4,1480
2016-04-21,100,10.2,1489
2016-04-22,100,14.1,1500
2016-04-25,100,13,1520
2016-04-26,100,8.3,1520
