date,place,ondo,price
2020-01-02,100.0,-4.4,1189
2020-01-03,100.0,-3.2,1090
2020-01-06,100.0,-2.2,1050
2020-01-07,100.0,2.8,1110
2020-01-08,100.0,1.0,1080
2020-01-09,100.0,-4.1,1008
2020-01-10,100.0,-4.1,1008
2020-01-13,100.0,-6.9,996
2020-01-14,100.0,-7.3,1016
2020-01-15,100.0,-7.9,996
2020-01-16,100.0,-6.7,1016
2020-01-17,100.0,-4.3,996
2020-01-20,100.0,-3.7,996
2020-01-21,100.0,-4.3,996
2020-01-22,100.0,-1.3,1020
2020-01-23,100.0,0.3,1000
2020-01-28,100.0,0.2,1025
2020-01-29,100.0,-0.4,1020
2020-01-30,100.0,-2.4,1040
2020-01-31,100.0,-3.7,1000
2020-02-03,100.0,-5.0,960
2020-02-04,100.0,-7.5,940
2020-02-05,100.0,-11.5,940
2020-02-06,100.0,-12.8,940
2020-02-07,100.0,-6.2,970
2020-02-10,100.0,-2.6,960
2020-02-11,100.0,-0.9,960
2020-02-12,100.0,3.1,960
2020-02-13,100.0,3.3,960
2020-02-14,100.0,2.7,980
2020-02-17,100.0,-10.1,1020
2020-02-18,100.0,-8.3,1000
2020-02-19,100.0,-2.4,1060
2020-02-20,100.0,0.2,1020
2020-02-21,100.0,2.1,975
2020-02-24,100.0,2.9,975
2020-02-25,100.0,0.5,1050
2020-02-26,100.0,-0.8,1025
2020-02-27,100.0,-2.5,950
2020-02-28,100.0,-1.3,950
2020-03-02,100.0,-1.0,950
2020-03-03,100.0,1.0,950
2020-03-04,100.0,-2.5,950
2020-03-05,100.0,-2.8,975
2020-03-06,100.0,-0.8,950
2020-03-09,100.0,3.8,960
2020-03-10,100.0,2.8,1000
2020-03-11,100.0,-0.8,1000
2020-03-12,100.0,3.2,980
2020-03-13,100.0,1.2,1000
2020-03-16,100.0,-1.2,1000
2020-03-17,100.0,0.3,960
2020-03-18,100.0,5.2,960
2020-03-19,100.0,4.3,940
2020-03-20,100.0,3.8,920
2020-03-23,100.0,2.3,940
2020-03-24,100.0,1.8,940
2020-03-25,100.0,6.8,940
2020-03-26,100.0,10.8,940
2020-03-27,100.0,5.4,930
2020-03-30,100.0,3.5,1020
2020-03-31,100.0,5.7,1000
2020-04-01,100.0,3.0,980
2020-04-02,100.0,3.9,1020
2020-04-03,100.0,7.0,960
2020-04-06,100.0,4.9,940
2020-04-07,100.0,6.7,940
2020-04-08,100.0,1.7,940
2020-04-09,100.0,1.1,970
2020-04-10,100.0,2.7,970
2020-04-13,100.0,2.7,970
2020-04-14,100.0,8.2,1010
2020-04-16,100.0,5.4,1020
2020-04-17,100.0,5.9,1030
2020-04-20,100.0,5.5,1030
2020-04-21,100.0,2.3,1030
2020-04-22,100.0,0.5,1130
2020-04-23,100.0,2.8,1190
2020-04-24,100.0,5.1,1260
2020-04-27,100.0,3.6,1290
2020-04-28,100.0,8.3,1460
2020-04-29,100.0,12.9,1580
2020-05-04,100.0,13.1,1680
2020-05-06,100.0,10.3,1420
2020-05-07,100.0,9.9,1250
2020-05-08,100.0,13.1,1200
2020-05-11,100.0,13.1,1121
2020-05-12,100.0,10.7,1100
2020-05-13,100.0,12.0,1000
2020-05-14,100.0,15.4,1000
2020-05-15,100.0,12.2,1020
2020-05-18,100.0,12.0,1000
2020-05-19,100.0,7.6,1120
2020-05-20,100.0,5.6,1120
2020-05-21,100.0,7.8,1240
2020-05-22,100.0,9.7,1240
2020-05-25,100.0,14.7,1160
2020-05-26,100.0,13.1,1160
2020-05-27,100.0,13.4,1140
2020-05-28,100.0,12.3,1160
2020-05-29,100.0,12.6,1120
2020-06-01,100.0,16.2,1000
2020-06-02,100.0,15.4,960
2020-06-03,100.0,19.2,910
2020-06-04,100.0,20.4,900
2020-06-05,100.0,15.5,800
2020-06-08,100.0,22.0,860
2020-06-09,100.0,22.8,860
2020-06-10,100.0,21.7,860
2020-06-11,100.0,20.7,860
2020-06-12,100.0,20.0,860
2020-06-15,100.0,19.3,1020
2020-06-16,100.0,17.0,1040
2020-06-17,100.0,19.7,920
2020-06-18,100.0,17.2,920
2020-06-19,100.0,15.2,908
2020-06-22,100.0,21.4,974
2020-06-23,100.0,20.0,972
2020-06-24,100.0,16.6,1004
2020-06-25,100.0,18.6,990
2020-06-26,100.0,18.1,966
2020-06-29,100.0,17.7,898
2020-06-30,100.0,15.1,908
2020-07-01,100.0,14.7,950
2020-07-02,100.0,17.8,855
2020-07-03,100.0,16.7,815
2020-07-06,100.0,19.0,827
2020-07-07,100.0,19.7,890
2020-07-08,100.0,18.8,910
2020-07-09,100.0,18.4,910
2020-07-10,100.0,18.6,910
2020-07-13,100.0,14.0,1114
2020-07-14,100.0,14.0,1234
2020-07-15,100.0,14.7,1234
2020-07-16,100.0,16.4,1227
2020-07-17,100.0,17.6,1166
2020-07-20,100.0,21.8,1344
2020-07-21,100.0,20.5,1468
2020-07-22,100.0,19.3,1356
2020-07-23,100.0,16.7,1290
2020-07-24,100.0,16.7,1318
2020-07-27,100.0,17.9,1394
2020-07-28,100.0,17.9,1418
2020-07-29,100.0,19.0,1454
2020-07-30,100.0,21.2,1320
2020-07-31,100.0,22.7,1330
2020-08-03,100.0,21.0,1366
2020-08-04,100.0,22.9,1306
2020-08-05,100.0,21.6,1214
2020-08-06,100.0,21.9,1260
2020-08-07,100.0,20.2,1544
2020-08-10,100.0,23.0,1672
2020-08-11,100.0,21.3,1814
2020-08-12,100.0,23.8,1906
2020-08-13,100.0,24.3,1974
2020-08-14,100.0,24.3,2054
2020-08-18,100.0,23.9,2030
2020-08-19,100.0,23.9,2034
