지점,지점명,일시,일 최심신적설(cm)
100,대관령,2015-01-05,.6
100,대관령,2015-01-06,1.1
100,대관령,2015-01-11,.5
100,대관령,2015-01-15,.2
100,대관령,2015-01-16,.1
100,대관령,2015-01-18,3.8
100,대관령,2015-01-19,1.9
