date,uga,price
2015-01-02,53.27,380
2015-01-05,50.98,380
2015-01-06,48.08,380
2015-01-07,46.6,380
2015-01-08,47.5,380
2015-01-09,47.41,380
2015-01-12,45.67,380
2015-01-13,43.3,380
2015-01-14,42.55,380
2015-01-15,44.48,380
2015-01-16,43.92,380
2015-01-19,46.04,380
2015-01-20,44.82,380
2015-01-21,44.75,380
2015-01-22,44.65,380
2015-01-23,44.42,380
2015-01-26,44.15,380
2015-01-27,43.63,380
2015-01-28,44.83,380
2015-01-29,44.63,380
2015-01-30,45.59,380
2015-02-02,48.81,390
2015-02-03,52.62,390
2015-02-04,54.72,390
2015-02-05,51.41,390
2015-02-06,54.23,390
2015-02-09,55.37,400
2015-02-10,55.83,400
2015-02-11,54.91,410
2015-02-12,54.75,440
2015-02-13,57.7,440
2015-02-16,58.83,440
2015-02-17,58.89,440
2015-02-23,57.29,410
2015-02-24,56.06,410
2015-02-25,55.84,440
2015-02-26,58.42,440
2015-02-27,57.39,440
2015-03-02,59.58,450
2015-03-03,57.15,450
2015-03-04,57.8,470
2015-03-05,57.35,470
2015-03-06,57.26,470
2015-03-09,56.58,470
2015-03-10,55.48,470
2015-03-11,53.5,470
2015-03-12,55.4,480
2015-03-13,54.96,480
2015-03-16,52.75,480
2015-03-17,51.64,480
2015-03-18,51.24,490
2015-03-19,53.4,500
2015-03-20,52.06,490
2015-03-23,52.87,510
2015-03-24,53.4,510
2015-03-25,52.69,510
2015-03-26,53.99,510
2015-03-27,56.37,510
2015-03-30,53.95,500
2015-03-31,53.84,500
2015-04-01,52.83,490
2015-04-02,54.63,500
2015-04-03,54.82,500
2015-04-06,53.95,500
2015-04-07,55.01,500
2015-04-08,55.92,500
2015-04-09,53.31,480
2015-04-10,54.28,480
2015-04-13,56.58,480
2015-04-14,56.32,480
2015-04-15,56.82,480
2015-04-16,58.66,480
2015-04-17,59.21,480
2015-04-20,59.34,480
2015-04-21,59.25,490
2015-04-22,58.03,490
2015-04-23,58.6,510
2015-04-24,61.43,510
2015-04-27,62.0,530
2015-04-28,61.62,530
2015-04-29,61.65,540
2015-04-30,62.69,550
2015-05-04,63.03,590
2015-05-06,64.79,670
2015-05-07,65.06,690
2015-05-08,62.96,690
2015-05-11,62.84,710
2015-05-12,62.4,735
2015-05-13,64.21,735
2015-05-14,63.61,735
2015-05-15,63.49,735
2015-05-18,63.58,1070
2015-05-19,62.79,1110
2015-05-20,61.75,1110
2015-05-21,62.68,1130
2015-05-22,64.03,1110
2015-05-26,63.07,1110
2015-05-27,62.11,1100
2015-05-28,60.64,1080
2015-05-29,61.11,1050
2015-06-01,61.705,900
2015-06-02,62.49,900
2015-06-03,62.3,860
2015-06-04,60.71,760
2015-06-05,59.03,760
2015-06-08,60.23,740
2015-06-09,59.64,750
2015-06-10,62.66,760
2015-06-11,63.44,810
2015-06-12,62.42,800
2015-06-15,61.29,760
2015-06-16,60.46,710
2015-06-17,60.81,710
2015-06-18,60.98,670
2015-06-19,60.93,670
2015-06-22,59.82,680
2015-06-23,60.11,690
2015-06-24,61.09,700
2015-06-25,60.26,700
2015-06-26,60.01,700
2015-06-29,59.36,700
2015-06-30,59.56,700
2015-07-01,60.93,700
2015-07-02,59.51,700
2015-07-03,59.45,700
2015-07-06,57.93,700
2015-07-07,55.16,700
2015-07-08,54.98,700
2015-07-09,56.69,700
2015-07-10,58.19,700
2015-07-13,57.75,700
2015-07-14,56.25,700
2015-07-15,56.93,700
2015-07-16,55.75,640
2015-07-17,62.365,630
2015-07-20,55.4,630
2015-07-21,54.68,610
2015-07-22,55.03,590
2015-07-23,54.22,590
2015-07-24,53.45,580
2015-07-27,52.87,580
2015-07-28,51.85,570
2015-07-29,51.86,570
2015-07-30,52.53,570
2015-07-31,52.07,570
2015-08-03,51.11,570
2015-08-04,50.13,570
2015-08-05,50.09,570
2015-08-06,49.71,580
2015-08-07,50.15,610
2015-08-10,50.15,655
2015-08-11,50.59,690
2015-08-12,49.37,690
2015-08-13,49.87,706
2015-08-17,48.53,750
2015-08-18,48.22,700
2015-08-19,48.27,680
2015-08-20,46.73,690
2015-08-21,46.23,690
2015-08-24,44.4,690
2015-08-25,42.66,690
2015-08-26,42.94,740
2015-08-27,43.57,710
2015-08-28,46.84,680
2015-08-31,48.72,680
2015-09-01,49.98,660
2015-09-02,46.16,660
2015-09-03,47.01,570
2015-09-04,47.19,580
2015-09-07,46.6,610
2015-09-08,45.93,600
2015-09-09,47.55,590
2015-09-10,45.75,590
2015-09-11,51.1,580
2015-09-14,45.47,580
2015-09-15,43.87,580
2015-09-16,44.08,580
2015-09-17,46.78,590
2015-09-18,45.99,600
2015-09-21,44.58,580
2015-09-22,45.0,610
2015-09-23,45.13,640
2015-09-24,51.1,700
2015-09-25,44.98,660
2015-09-30,44.31,660
2015-10-01,45.92,630
2015-10-02,45.38,610
2015-10-05,45.91,520
2015-10-06,46.48,520
2015-10-07,48.97,490
2015-10-08,48.41,490
2015-10-12,49.61,460
2015-10-13,47.08,450
2015-10-14,46.52,420
2015-10-15,46.44,400
2015-10-16,46.58,400
2015-10-19,46.22,400
2015-10-20,44.61,390
2015-10-21,44.43,390
2015-10-22,43.71,390
2015-10-23,43.9,390
2015-10-26,43.48,390
2015-10-27,43.01,390
2015-10-28,43.11,390
2015-10-29,44.45,390
2015-10-30,43.94,380
2015-11-02,44.55,385
2015-11-03,43.89,385
2015-11-04,45.45,390
2015-11-05,43.7,390
2015-11-06,43.16,390
2015-11-09,42.88,405
2015-11-10,51.1,410
2015-11-11,42.59,430
2015-11-12,41.68,410
2015-11-13,40.77,430
2015-11-16,40.35,400
2015-11-17,40.39,420
2015-11-18,39.64,410
2015-11-19,40.13,430
2015-11-20,40.07,510
2015-11-23,39.57,510
2015-11-24,40.7,510
2015-11-25,41.4,520
2015-11-26,40.94,520
2015-11-27,40.37,550
2015-11-30,39.87,530
