date,uga,price
2020-01-02,65.69,1189
2020-01-03,67.79,1090
2020-01-06,69.65,1050
2020-01-07,68.34,1110
2020-01-08,69.24,1080
2020-01-09,66.17,1008
2020-01-10,65.93,1008
2020-01-13,65.68,996
2020-01-14,64.78,1016
2020-01-15,64.61,996
2020-01-16,64.74,1016
2020-01-17,65.1,996
2020-01-20,65.24,996
2020-01-21,64.27,996
2020-01-22,64.26,1020
2020-01-23,62.77,1000
2020-01-28,58.57,1025
2020-01-29,59.37,1020
2020-01-30,57.76,1040
2020-01-31,58.45,1000
2020-02-03,55.23,960
2020-02-04,53.99,940
2020-02-05,53.57,940
2020-02-06,55.18,940
2020-02-07,54.37,970
2020-02-10,53.33,960
2020-02-11,53.03,960
2020-02-12,54.23,960
2020-02-13,54.54,960
2020-02-14,55.23,980
2020-02-17,55.98,1020
2020-02-18,55.11,1000
2020-02-19,56.39,1060
2020-02-20,56.92,1020
2020-02-21,56.41,975
2020-02-24,54.64,975
2020-02-25,54.48,1050
2020-02-26,52.28,1025
2020-02-27,50.62,950
2020-02-28,49.05,950
2020-03-02,50.58,950
2020-03-03,51.72,950
2020-03-04,50.81,950
2020-03-05,50.78,975
2020-03-06,48.58,950
2020-03-09,32.87,960
2020-03-10,34.18,1000
2020-03-11,34.58,1000
2020-03-12,32.69,980
2020-03-13,33.93,1000
2020-03-16,31.49,1000
2020-03-17,30.83,960
2020-03-18,28.26,960
2020-03-19,25.82,940
2020-03-20,28.67,920
2020-03-23,24.6,940
2020-03-24,26.64,940
2020-03-25,27.05,940
2020-03-26,25.74,940
2020-03-27,25.04,930
2020-03-30,23.24,1020
2020-03-31,23.43,1000
2020-04-01,21.23,980
2020-04-02,21.55,1020
2020-04-03,24.51,960
2020-04-06,24.87,940
2020-04-07,24.88,940
2020-04-08,23.52,940
2020-04-09,23.32,970
2020-04-10,22.76,970
2020-04-13,22.31,970
2020-04-14,21.66,1010
2020-04-16,19.72,1020
2020-04-17,20.61,1030
2020-04-20,20.78,1030
2020-04-21,17.37,1030
2020-04-22,13.52,1130
2020-04-23,18.13,1190
2020-04-24,18.17,1260
2020-04-27,17.97,1290
2020-04-28,16.63,1460
2020-04-29,17.12,1580
2020-05-04,24.33,1680
2020-05-06,26.88,1420
2020-05-07,26.0,1250
2020-05-08,25.92,1200
2020-05-11,26.72,1121
2020-05-12,26.93,1100
2020-05-13,26.84,1000
2020-05-14,29.83,1000
2020-05-15,31.94,1020
2020-05-18,32.9,1000
2020-05-19,33.18,1120
2020-05-20,32.95,1120
2020-05-21,34.1,1240
2020-05-22,32.62,1240
2020-05-25,34.04,1160
2020-05-26,34.81,1160
2020-05-27,34.48,1140
2020-05-28,33.17,1160
2020-05-29,34.86,1120
2020-06-01,37.97,1000
2020-06-02,38.93,960
2020-06-03,39.87,910
2020-06-04,38.82,900
2020-06-05,40.63,800
2020-06-08,42.94,860
2020-06-09,40.85,860
2020-06-10,40.91,860
2020-06-11,40.6,860
2020-06-12,38.42,860
2020-06-15,38.35,1020
2020-06-16,40.29,1040
2020-06-17,41.46,920
2020-06-18,41.09,920
2020-06-19,42.95,908
2020-06-22,42.32,974
2020-06-23,43.39,972
2020-06-24,42.49,1004
2020-06-25,40.58,990
2020-06-26,42.02,966
2020-06-29,40.63,898
2020-06-30,42.07,908
2020-07-01,42.7,950
2020-07-02,42.85,855
2020-07-03,42.68,815
2020-07-06,43.66,827
2020-07-07,42.9,890
2020-07-08,43.34,910
2020-07-09,43.63,910
2020-07-10,43.2,910
2020-07-13,43.38,1114
2020-07-14,42.78,1234
2020-07-15,44.18,1234
2020-07-16,43.37,1227
2020-07-17,42.86,1166
2020-07-20,42.72,1344
2020-07-21,43.87,1468
2020-07-22,44.12,1356
2020-07-23,44.42,1290
2020-07-24,43.11,1318
2020-07-27,43.13,1394
2020-07-28,43.12,1418
2020-07-29,43.27,1454
2020-07-30,43.14,1320
2020-07-31,43.1,1330
2020-08-03,42.48,1366
2020-08-04,42.97,1306
2020-08-05,43.76,1214
2020-08-06,43.71,1260
2020-08-07,43.88,1544
2020-08-10,42.865,1672
2020-08-11,44.12,1814
2020-08-12,43.63,1906
2020-08-13,44.18,1974
2020-08-14,43.44,2054
2020-08-18,44.46,2030
2020-08-19,43.8,2034
2020-08-20,43.89,2062
2020-08-21,43.96,2016
2020-08-24,43.78,2464
2020-08-25,44.34,2444
2020-08-26,44.83,2554
2020-08-27,45.01,2620
2020-08-28,44.12,2740
2020-08-31,45.93,2340
2020-09-01,45.11,2140
2020-09-02,45.3,1980
2020-09-03,43.43,2266
2020-09-04,43.78,2432
2020-09-07,41.42,2412
2020-09-08,40.68,2624
2020-09-09,39.49,2432
2020-09-10,39.74,2454
2020-09-11,39.27,2474
2020-09-14,38.89,2930
2020-09-15,39.24,2790
2020-09-16,41.21,2914
2020-09-17,41.67,2826
2020-09-18,43.02,2890
2020-09-21,41.63,2726
2020-09-22,41.14,2690
2020-09-23,41.38,2650
2020-09-24,41.21,2698
2020-09-25,41.98,2678
2020-09-28,41.41,2742
2020-09-29,41.87,2762
2020-10-05,39.27,2602
2020-10-06,40.55,2374
2020-10-07,41.24,2278
2020-10-08,41.46,2218
2020-10-12,41.28,1527
2020-10-13,41.19,1381
2020-10-14,41.62,1203
2020-10-15,42.01,1075
2020-10-16,41.88,995
2020-10-19,41.77,953
2020-10-20,41.58,941
2020-10-21,41.71,851
2020-10-22,41.36,777
2020-10-23,41.67,778
2020-10-26,39.84,756
2020-10-27,39.9,756
2020-10-28,39.27,682
2020-10-29,38.26,610
2020-10-30,37.18,620
2020-11-02,36.3,616
2020-11-03,39.52,624
2020-11-04,39.76,532
2020-11-05,40.69,532
2020-11-06,40.57,572
2020-11-09,40.34,622
2020-11-10,42.49,600
2020-11-11,44.44,648
2020-11-12,43.95,648
2020-11-13,43.15,753
2020-11-16,43.74,655
2020-11-17,43.87,722
2020-11-18,43.78,731
2020-11-19,44.0,795
2020-11-20,44.19,825
2020-11-23,45.61,705
2020-11-24,45.86,643
2020-11-25,47.87,693
2020-11-26,47.49,693
2020-11-27,47.13,643
2020-11-30,47.02,523
2020-12-01,47.59,545
2020-12-02,47.08,565
2020-12-03,48.06,527
2020-12-07,48.29,513
2020-12-08,48.3,513
2020-12-09,49.14,509
2020-12-10,49.03,509
2020-12-11,50.47,509
2020-12-14,50.65,524
2020-12-15,50.17,524
2020-12-16,50.85,535
2020-12-17,51.46,541
2020-12-18,51.11,536
2020-12-21,50.26,515
