date,gangsu,ondo,snow,price
2015-08-21,44.1,22.9,0,600
2015-08-24,0,23.6,0,610
2015-08-25,12.9,21.1,0,630
2015-08-26,0,21.9,0,710
2015-08-27,0,20.8,0,660
2015-08-28,0,22.4,0,600
2015-08-31,0,23.1,0,540
2015-09-01,0,23.1,0,490
2015-09-02,17.8,21.8,0,500
2015-09-03,0.1,21.3,0,495
2015-09-04,0,23.1,0,480
2015-09-07,0,21.2,0,490
2015-09-08,0,19.6,0,480
2015-09-09,0,19.7,0,470
2015-09-10,0,19.8,0,470
2015-09-11,0,20.5,0,460
2015-09-14,0,17.7,0,400
2015-09-15,0,18.4,0,400
2015-09-16,0,19,0,390
2015-09-17,0,20.6,0,390
2015-09-18,0,20.7,0,380
2015-09-21,0,20.7,0,410
2015-09-22,0,20.3,0,420
2015-09-23,17.4,17.5,0,470
2015-09-24,0,20.3,0,510
2015-09-25,0,20.3,0,510
2015-09-30,0,19,0,500
2015-10-01,67.2,17.8,0,490
2015-10-02,0,14.3,0,520
2015-10-05,0,16.9,0,480
2015-10-06,0,16.5,0,480
2015-10-07,0,16.3,0,430
2015-10-08,0,16.7,0,420
2015-10-12,4.4,13.2,0,420
2015-10-13,0,13.7,0,430
2015-10-14,0,14.9,0,430
2015-10-15,0,15.6,0,425
2015-10-16,0,15.3,0,425
2015-10-19,0,15.5,0,415
2015-10-20,0,16.4,0,400
2015-10-21,0,16.8,0,395
2015-10-22,0,16,0,395
2015-10-23,0,16.1,0,385
2015-10-26,0,14.4,0,410
2015-10-27,24.1,12.4,0,410
2015-10-28,0,10.2,0,415
2015-10-29,0,10.1,0,425
2015-10-30,0,7.7,0,445
2015-11-02,0,7.7,0,455
2015-11-03,0,9.7,0,445
2015-11-04,0,9.4,0,428
2015-11-05,0,12.4,0,428
2015-11-06,2.9,13.7,0,428
2015-11-09,1.7,13.5,0,433
2015-11-10,0,10.5,0,438
2015-11-11,0,10,0,450
2015-11-12,0,13,0,450
2015-11-13,14.2,12.5,0,460
2015-11-16,12.1,11.4,0,440
2015-11-17,0.3,15.3,0,440
2015-11-18,3.1,12.7,0,430
2015-11-19,0.3,10.8,0,435
2015-11-20,0,11.4,0,445
2015-11-23,0.8,11.8,0,445
2015-11-24,0,10.1,0,455
2015-11-25,6.3,6.5,0,500
2015-11-26,20.9,-0.1,18.5,500
2015-11-27,1.4,-0.1,1.5,510
2015-11-30,2.1,5.9,0,500
2015-12-01,0,4,0,490
2015-12-02,8.3,6.8,0,490
2015-12-03,2.4,3.2,3,490
2015-12-07,0,1.7,2.3,460
2015-12-08,0,2.5,0,460
2015-12-09,0,5.6,0,460
2015-12-10,16.9,9.6,0,450
2015-12-11,2.9,7.3,0,440
2015-12-14,2.2,8.5,0,450
2015-12-15,0.8,7.4,0,470
2015-12-16,4.6,1.5,6,475
2015-12-17,0,-2.7,0,475
2015-12-18,0,-1.1,0,475
2015-12-21,1.8,4.1,0,445
2015-12-22,0,4.1,0,445
2015-12-23,1.9,6.8,0,440
