date,ondo,price
2020-01-02,-0.5,1345
2020-01-03,0.9,1390
2020-01-06,4.3,1355
2020-01-07,11.7,1290
2020-01-08,4.2,1205
2020-01-09,1.7,1120
2020-01-10,-0.2,1095
2020-01-13,0.1,1170
2020-01-14,0.2,1140
2020-01-15,-1.3,1170
2020-01-16,-0.1,1130
2020-01-17,0.3,1070
2020-01-20,1.1,1005
2020-01-21,0.7,955
2020-01-22,2.5,970
2020-01-23,,960
2020-01-28,6.6,925
2020-01-29,5.8,840
2020-01-30,4.6,860
2020-01-31,2.8,810
2020-02-03,0.5,710
2020-02-04,-0.7,690
2020-02-05,-3.0,620
2020-02-06,-3.7,600
2020-02-07,-1.3,590
2020-02-10,3.1,560
2020-02-11,5.5,630
2020-02-12,8.9,645
2020-02-13,7.5,595
2020-02-14,,605
2020-02-17,-3.5,605
2020-02-18,-2.2,605
2020-02-19,1.3,605
2020-02-20,5.0,605
2020-02-21,7.1,613
2020-02-24,6.5,575
2020-02-25,9.4,538
2020-02-26,8.7,525
2020-02-27,6.8,525
2020-02-28,4.9,513
2020-03-02,4.9,513
2020-03-03,6.3,575
2020-03-04,3.4,563
2020-03-05,2.1,575
2020-03-06,3.7,550
2020-03-09,8.1,520
2020-03-10,6.3,520
2020-03-11,3.6,480
2020-03-12,5.6,490
2020-03-13,5.7,510
2020-03-16,3.7,510
2020-03-17,6.9,510
2020-03-18,8.9,510
2020-03-19,7.8,510
2020-03-20,8.1,450
2020-03-23,8.9,490
2020-03-24,10.1,490
2020-03-25,12.5,490
2020-03-26,12.1,560
2020-03-27,10.6,550
2020-03-30,11.4,505
2020-03-31,12.0,510
2020-04-01,9.6,510
2020-04-02,8.3,485
2020-04-03,8.8,490
2020-04-06,8.0,490
2020-04-07,10.9,490
2020-04-08,8.6,440
2020-04-09,7.7,450
2020-04-10,9.9,450
2020-04-13,8.1,460
2020-04-14,10.9,540
2020-04-16,13.3,540
2020-04-17,11.9,535
2020-04-20,10.7,525
2020-04-21,8.6,540
2020-04-22,6.5,550
2020-04-23,7.9,540
2020-04-24,8.5,540
2020-04-27,10.5,540
2020-04-28,11.6,580
2020-04-29,14.1,580
2020-05-04,19.1,560
2020-05-06,21.0,570
2020-05-07,19.3,540
2020-05-08,17.7,595
2020-05-11,16.9,575
2020-05-12,16.6,565
2020-05-13,15.0,493
2020-05-14,18.6,478
2020-05-15,16.3,448
2020-05-18,18.7,448
2020-05-19,13.4,460
2020-05-20,15.7,430
2020-05-21,17.4,433
2020-05-22,18.7,443
2020-05-25,17.9,455
2020-05-26,18.8,455
2020-05-27,19.2,450
2020-05-28,18.1,445
2020-05-29,20.4,460
2020-06-01,20.3,543
2020-06-02,20.9,565
2020-06-03,22.9,550
2020-06-04,25.5,528
2020-06-05,25.4,523
2020-06-08,24.7,523
2020-06-09,25.5,553
2020-06-10,24.9,545
2020-06-11,25.3,575
2020-06-12,25.2,615
2020-06-15,22.6,665
2020-06-16,23.0,690
2020-06-17,22.2,648
2020-06-18,18.5,658
2020-06-19,22.7,656
2020-06-22,24.8,607
2020-06-23,24.9,627
2020-06-24,22.5,687
2020-06-25,22.2,715
2020-06-26,22.5,677
2020-06-29,21.4,615
2020-06-30,20.6,717
2020-07-01,21.2,747
2020-07-02,22.1,717
2020-07-03,20.2,695
2020-07-06,22.5,645
2020-07-07,25.2,655
2020-07-08,25.1,632
2020-07-09,24.9,660
2020-07-10,25.6,640
2020-07-13,19.5,740
2020-07-14,20.1,750
2020-07-15,19.8,770
2020-07-16,23.4,732
2020-07-17,24.1,670
2020-07-20,25.7,640
2020-07-21,25.3,660
2020-07-22,23.1,640
2020-07-23,22.5,627
2020-07-24,20.9,627
2020-07-27,23.1,632
2020-07-28,24.6,633
2020-07-29,23.9,686
2020-07-30,25.0,762
2020-07-31,26.4,729
2020-08-03,27.7,752
2020-08-04,27.6,702
2020-08-05,26.7,706
2020-08-06,25.9,718
2020-08-07,24.2,780
2020-08-10,25.3,815
2020-08-11,26.9,865
2020-08-12,26.7,865
2020-08-13,28.1,787
2020-08-14,28.8,727
2020-08-18,27.8,695
2020-08-19,28.0,719
2020-08-20,27.5,699
2020-08-21,27.3,735
2020-08-24,27.7,1103
2020-08-25,28.0,1203
2020-08-26,27.5,1309
2020-08-27,28.5,1471
2020-08-28,26.9,1471
2020-08-31,27.2,1329
2020-09-01,26.5,1219
2020-09-02,25.5,1166
2020-09-03,23.2,1358
2020-09-04,22.4,1498
2020-09-07,19.7,1306
2020-09-08,22.9,1347
2020-09-09,21.0,1296
2020-09-10,21.5,1284
2020-09-11,20.6,1274
2020-09-14,21.1,1294
2020-09-15,22.3,1274
2020-09-16,22.1,1223
2020-09-17,20.6,1285
2020-09-18,18.3,1285
2020-09-21,17.2,1223
2020-09-22,18.3,1233
2020-09-23,19.1,1282
2020-09-24,20.6,1313
2020-09-25,19.7,1313
2020-09-28,18.2,1343
2020-09-29,17.1,1397
2020-10-05,13.9,1383
2020-10-06,14.0,1325
2020-10-07,16.6,1243
2020-10-08,17.9,1205
2020-10-12,16.9,894
2020-10-13,12.7,843
2020-10-14,12.4,830
2020-10-15,12.9,831
2020-10-16,11.0,821
2020-10-19,12.2,801
2020-10-20,12.7,792
2020-10-21,12.5,770
2020-10-22,12.9,736
2020-10-23,9.2,717
2020-10-26,11.3,655
2020-10-27,11.7,618
2020-10-28,13.4,610
2020-10-29,9.8,577
2020-10-30,10.4,587
2020-11-02,11.1,607
2020-11-03,5.9,619
2020-11-04,4.4,619
2020-11-05,7.1,629
2020-11-06,9.9,629
2020-11-09,5.6,617
2020-11-10,7.0,625
2020-11-11,7.1,585
2020-11-12,7.8,543
2020-11-13,9.0,501
2020-11-16,12.0,459
2020-11-17,15.7,505
2020-11-18,18.3,513
2020-11-19,17.4,593
2020-11-20,7.7,563
2020-11-23,4.2,565
2020-11-24,4.5,523
2020-11-25,4.5,523
2020-11-26,7.1,523
2020-11-27,5.6,481
2020-11-30,1.7,459
2020-12-01,1.5,482
2020-12-02,1.9,487
2020-12-03,1.6,487
2020-12-07,2.8,529
2020-12-08,0.7,546
2020-12-09,0.9,546
2020-12-10,4.4,538
2020-12-11,4.6,527
2020-12-14,-3.7,522
2020-12-15,-5.4,522
2020-12-16,-5.0,526
2020-12-17,-4.0,558
2020-12-18,-1.3,569
2020-12-21,-0.5,599
2020-12-22,-0.7,646
2020-12-23,0.7,645
2020-12-24,2.6,641
2020-12-28,1.8,612
2020-12-29,0.7,601
2020-12-30,-7.0,609
2020-12-31,-5.8,608
