날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2018-01-01,100,-6.6,-11.8,-3
2018-01-02,100,-5.2,-9.9,-1.6
2018-01-03,100,-9.7,-16.8,-3.2
2018-01-04,100,-9,-18.5,-1.3
2018-01-05,100,-6.9,-12.1,-0.6
2018-01-06,100,-7.4,-12.3,-0.6
2018-01-07,100,-5.6,-16,3.6
2018-01-08,100,-2.2,-5,1
2018-01-09,100,-9.2,-11.1,-4.9
2018-01-10,100,-12.2,-16.5,-9.8
2018-01-11,100,-15.9,-18.1,-11.9
2018-01-12,100,-15.6,-20.9,-10.5
2018-01-13,100,-10,-15.3,-3.6
2018-01-14,100,-5.3,-16.8,1.2
2018-01-15,100,0.6,-2.7,3.9
2018-01-16,100,0.4,-2.8,3.7
2018-01-17,100,0.5,-0.5,2.7
2018-01-18,100,-1.4,-4.8,1.4
2018-01-19,100,-3.4,-8,1.8
2018-01-20,100,-3.6,-8.3,-0.2
2018-01-21,100,-5.8,-13,2
2018-01-22,100,-4.4,-8.8,0.8
2018-01-23,100,-15.3,-19.6,-5.5
2018-01-24,100,-19,-21.9,-15.2
2018-01-25,100,-18.1,-23,-11
2018-01-26,100,-19.4,-23.2,-13.1
2018-01-27,100,-12.4,-24.4,-0.7
2018-01-28,100,-9.6,-13.4,-5.4
2018-01-29,100,-13.6,-16,-9.6
2018-01-30,100,-10.5,-17.4,-5.3
2018-01-31,100,-6.7,-8.4,-4.5
2018-02-01,100,-9.9,-18.6,0.2
2018-02-02,100,-10.2,-18.8,0.1
2018-02-03,100,-11.6,-15.5,-8.2
2018-02-04,100,-14.7,-17.7,-10.6
2018-02-05,100,-14.8,-19.3,-10.4
2018-02-06,100,-15.9,-19.1,-11
2018-02-07,100,-14.1,-23.4,-5.9
2018-02-08,100,-8.9,-17.8,-2.6
2018-02-09,100,-3.4,-10.4,1.7
2018-02-10,100,-4.2,-12,0.3
2018-02-11,100,-12,-14.4,-9
2018-02-12,100,-11.8,-15.7,-7.5
2018-02-13,100,-7.3,-13.1,-3.3
2018-02-14,100,-0.5,-4.2,3.5
2018-02-15,100,-3.3,-9.5,1.9
2018-02-16,100,-4.5,-11.2,0.9
2018-02-17,100,-6.7,-10.4,-1.8
2018-02-18,100,-3.8,-11.4,4
2018-02-19,100,-2.4,-9.4,3.4
2018-02-20,100,-3.3,-10.3,2.8
2018-02-21,100,-6.1,-14.3,1
2018-02-22,100,-4.5,-11.4,0.4
2018-02-23,100,-1,-5.7,2.3
2018-02-24,100,-2.9,-5,1.2
2018-02-25,100,-2.3,-8.5,5.3
2018-02-26,100,-3.9,-10.9,3.2
2018-02-27,100,0.8,-7.7,3.6
2018-02-28,100,-0.1,-1.4,1.2
2018-03-01,100,-3.9,-9,-0.4
2018-03-02,100,-5,-16.8,1.6
2018-03-03,100,3.3,-6.5,9.2
2018-03-04,100,5,-0.2,9.9
2018-03-05,100,-5,-11.6,-0.2
2018-03-06,100,-6,-17.1,1.1
2018-03-07,100,-1.4,-7.3,2.2
2018-03-08,100,-1.8,-3,0.3
2018-03-09,100,-3.8,-6.6,-1.4
2018-03-10,100,0.1,-5.7,4.3
2018-03-11,100,1.6,-5.1,6.8
2018-03-12,100,4.1,-5.6,10.9
2018-03-13,100,8.5,4.3,12.5
2018-03-14,100,11.7,7.8,15.7
2018-03-15,100,7.1,-2.3,12.2
2018-03-16,100,-5.7,-11.5,-2.2
2018-03-17,100,-0.9,-14.7,9.4
2018-03-18,100,4.3,1,8.9
2018-03-19,100,0.3,-2.2,3.8
2018-03-20,100,-4.4,-6,-2.2
2018-03-21,100,-4.4,-5.9,-3.3
2018-03-22,100,-1.4,-10,7.7
2018-03-23,100,2.2,-7.4,9.1
2018-03-24,100,4.7,-0.9,9.9
2018-03-25,100,7.8,-0.4,13.9
2018-03-26,100,9.2,1.5,16
2018-03-27,100,9.9,2.2,15.7
2018-03-28,100,11.6,7.5,15.2
2018-03-29,100,6.9,3.1,12.5
2018-03-30,100,6.1,0.4,12.1
2018-03-31,100,11.4,2.1,17.5
2018-04-01,100,11.8,8,16.7
2018-04-02,100,14,9.3,18.4
2018-04-03,100,11.3,3.8,20.1
2018-04-04,100,0.6,-0.2,3.8
2018-04-05,100,0.7,0,1.4
2018-04-06,100,1.9,-2.5,7.8
2018-04-07,100,-2.1,-4.5,2.5
2018-04-08,100,-1.4,-4.8,2.9
2018-04-09,100,2.9,-3.4,10.2
2018-04-10,100,11.4,-0.2,17.7
2018-04-11,100,9.7,6.3,13.3
2018-04-12,100,9.3,1.3,16
2018-04-13,100,5.8,-0.9,10.2
2018-04-14,100,3.9,1.8,5.6
2018-04-15,100,5.4,2.8,9.7
2018-04-16,100,5.5,-1,12
2018-04-17,100,6.9,-1.5,16.4
2018-04-18,100,9.9,-0.5,19.1
2018-04-19,100,13.2,4.6,19.7
2018-04-20,100,16.2,2.1,27.3
2018-04-21,100,18.9,12.7,25.7
2018-04-22,100,8.5,4.2,15.7
2018-04-23,100,3.8,2.1,4.7
2018-04-24,100,4.3,1.7,5.4
2018-04-25,100,8.2,-1.3,17.2
2018-04-26,100,10.9,-1,19
2018-04-27,100,8.5,4.1,12.7
2018-04-28,100,12.9,3.5,20.1
2018-04-29,100,14.5,6,21.7
2018-04-30,100,14.4,8.2,22.8
2018-05-01,100,12.4,5,21.3
2018-05-02,100,6.4,2.6,11.8
2018-05-03,100,4.7,0.6,9.2
2018-05-04,100,8.9,2.2,15.8
2018-05-05,100,13.5,8.2,18.4
2018-05-06,100,10.8,9.4,13.4
2018-05-07,100,11.7,7.4,18.3
2018-05-08,100,6.3,4.7,8.4
2018-05-09,100,4.1,2.6,5.5
2018-05-10,100,11.2,1.4,18.7
2018-05-11,100,14.2,6.9,22
2018-05-12,100,11.5,7.9,13.3
2018-05-13,100,14.7,9.6,20.4
2018-05-14,100,16.1,9.7,22.3
2018-05-15,100,20.5,14.1,28.3
2018-05-16,100,19.7,17.1,21.2
2018-05-17,100,16.9,10,21.6
2018-05-18,100,6.6,4.8,10.8
2018-05-19,100,7.6,2.8,13.7
2018-05-20,100,7.8,0.6,13.1
2018-05-21,100,8.7,0.4,15.8
2018-05-22,100,13.1,5.6,21.5
2018-05-23,100,14.1,8.6,19.9
2018-05-24,100,15.7,7.3,20.3
2018-05-25,100,16.7,9.9,24.4
2018-05-26,100,14.1,5.9,22.2
2018-05-27,100,16.9,9.4,23.1
2018-05-28,100,15.4,7.3,21.6
2018-05-29,100,17.9,12.1,23.8
2018-05-30,100,15.5,10.2,21.7
2018-05-31,100,13.8,6.6,21.2
2018-06-01,100,16.5,6.4,24.7
2018-06-02,100,19,9.6,28.1
2018-06-03,100,18.2,8.8,26.9
2018-06-04,100,18.3,9.1,25.9
2018-06-05,100,17.8,12.7,25.2
2018-06-06,100,19.4,9.7,27.9
2018-06-07,100,21,12.5,28.3
2018-06-08,100,18.1,14.1,23.8
2018-06-09,100,12.6,11.4,14.6
2018-06-10,100,11.5,10.8,12.8
2018-06-11,100,10.4,9.5,11.4
2018-06-12,100,11.3,8.4,15.2
2018-06-13,100,12.5,9.8,17.5
2018-06-14,100,13.1,11.3,15.9
2018-06-15,100,11.2,10.2,13.4
2018-06-16,100,12.8,9.7,17.4
2018-06-17,100,17.4,8.7,24.4
2018-06-18,100,18.4,12.7,26
2018-06-19,100,17.7,11.9,22.4
2018-06-20,100,18.4,11.9,25.3
2018-06-21,100,17.3,11.7,24.4
2018-06-22,100,18.8,9.2,27.2
2018-06-23,100,20.3,14.8,26.4
2018-06-24,100,22.6,16,28.5
2018-06-25,100,21,14.4,28.2
2018-06-26,100,18.3,14.7,23.5
2018-06-27,100,21,18.7,24.4
2018-06-28,100,19.4,16,24
2018-06-29,100,19.6,14.7,25.5
2018-06-30,100,19.7,14.6,24.2
2018-07-01,100,17.9,16.7,20.8
2018-07-02,100,18.9,16.7,22.4
2018-07-03,100,20.5,17.8,26.2
2018-07-04,100,18.9,17,22.5
2018-07-05,100,16.7,15.7,18.1
2018-07-06,100,14,12.5,15.8
2018-07-07,100,12.1,10.8,14.3
2018-07-08,100,12,10.4,15
2018-07-09,100,13.9,12.7,14.9
2018-07-10,100,19.6,14.3,23.4
2018-07-11,100,21.4,19,24.4
2018-07-12,100,23.1,21.6,26
2018-07-13,100,23.2,21.3,26.8
2018-07-14,100,24,21.2,28.6
2018-07-15,100,24.2,19.8,28.9
2018-07-16,100,24.3,19,29.2
2018-07-17,100,23.7,20.1,28.3
2018-07-18,100,23.3,18.6,29.5
2018-07-19,100,23.3,17.8,30.4
2018-07-20,100,23.4,15.7,30.7
2018-07-21,100,25.2,18.8,32.4
2018-07-22,100,25.3,17.2,32.9
2018-07-23,100,25.1,20.9,31.9
2018-07-24,100,25.1,19.7,32
2018-07-25,100,25.3,20.5,30.8
2018-07-26,100,25.5,21,32.8
2018-07-27,100,24.5,19.6,30.8
2018-07-28,100,22.8,20.7,25.9
2018-07-29,100,21.6,20.1,23.2
2018-07-30,100,21.1,18.1,23.5
2018-07-31,100,22.5,16,28.7
2018-08-01,100,23.6,17.3,29.8
2018-08-02,100,22.7,16.5,30
2018-08-03,100,25.1,17.9,32.2
