날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2017-01-01,100,-1.3,-4.6,1.8
2017-01-02,100,1.1,-2.1,3.4
2017-01-03,100,-0.6,-6,4.1
2017-01-04,100,-1.2,-6.6,5.1
2017-01-05,100,-3.2,-8.4,-0.7
2017-01-06,100,-1.1,-6.3,4.8
2017-01-07,100,-1.4,-9.5,6.9
2017-01-08,100,1.1,-1.5,4.4
2017-01-09,100,-1.1,-4.9,2.4
2017-01-10,100,-6.6,-9.6,-3.4
2017-01-11,100,-8.5,-12.9,-5.1
2017-01-12,100,-5.9,-9.2,-2.3
2017-01-13,100,-10.4,-12.5,-7.5
2017-01-14,100,-13.4,-16.1,-9.5
2017-01-15,100,-11.7,-18.6,-3.1
2017-01-16,100,-10.3,-17.7,-1.7
2017-01-17,100,-7.7,-17,0.8
2017-01-18,100,-4.7,-8.9,0
2017-01-19,100,-4.9,-12.7,2.9
2017-01-20,100,-7.7,-13.4,-4.9
2017-01-21,100,-9.4,-15.9,-6.8
2017-01-22,100,-11.7,-14.9,-7.1
2017-01-23,100,-14,-19.9,-8.9
2017-01-24,100,-12.3,-17.8,-5
2017-01-25,100,-11.8,-21.1,-2.3
2017-01-26,100,-7.7,-19.5,0.5
2017-01-27,100,-4.9,-12.6,-0.5
2017-01-28,100,-5.7,-17.5,5
2017-01-29,100,-1.1,-3.4,1.7
2017-01-30,100,-6.1,-9.5,-1.2
2017-01-31,100,-8.7,-16.1,-2.6
2017-02-01,100,-7.3,-10.3,-3.3
2017-02-02,100,-6.8,-15.8,-0.6
2017-02-03,100,-4,-8.6,1.8
2017-02-04,100,-2,-11.9,4.7
2017-02-05,100,-1.6,-4.3,1.3
2017-02-06,100,-5.7,-11.2,-1.9
2017-02-07,100,-7.6,-16.4,0.6
2017-02-08,100,-6.2,-13.5,-0.3
2017-02-09,100,-9.1,-12.2,-5.9
2017-02-10,100,-11.7,-14.3,-7.5
2017-02-11,100,-10.6,-17.1,-5.9
2017-02-12,100,-6.7,-12.7,-1.6
2017-02-13,100,-5.4,-12.2,-0.3
2017-02-14,100,-5.1,-14.2,2
2017-02-15,100,-1.8,-9.6,4.4
2017-02-16,100,3.7,-1.4,7.3
2017-02-17,100,1.5,-5.4,6.7
2017-02-18,100,-6.1,-10.2,-1.3
2017-02-19,100,-2.6,-8.1,2.1
2017-02-20,100,-2.2,-9.2,1.9
2017-02-21,100,-5.1,-13.2,2.7
2017-02-22,100,-0.5,-3.4,0.8
2017-02-23,100,-3.9,-7.6,0.2
2017-02-24,100,-5.6,-10,-0.5
2017-02-25,100,-2.5,-6.8,1.8
2017-02-26,100,-3.1,-8.1,2.8
2017-02-27,100,-2.6,-9.8,5.7
2017-02-28,100,1.3,-5.3,7.3
2017-03-01,100,1.2,-1.3,7.3
2017-03-02,100,-1.5,-4.3,1.6
2017-03-03,100,-1.6,-9.1,4
2017-03-04,100,0.1,-4.8,6.3
2017-03-05,100,1.5,-4.8,7.9
2017-03-06,100,-3.3,-6.8,0.6
2017-03-07,100,-6.1,-8.8,-1.4
2017-03-08,100,-5.6,-10.4,-0.9
2017-03-09,100,-1.8,-7.1,2.8
2017-03-10,100,-0.2,-6.5,6.3
2017-03-11,100,2.4,-7.6,11.6
2017-03-12,100,4.9,0.6,9.4
2017-03-13,100,1.3,-4.1,6.8
2017-03-14,100,-3.6,-7.3,1.9
2017-03-15,100,-3,-10,3.4
2017-03-16,100,-0.9,-8.2,7.8
2017-03-17,100,0.8,-7.6,8.5
2017-03-18,100,4.2,-1.2,10.9
2017-03-19,100,2.9,-5.1,11.9
2017-03-20,100,4.1,-5.1,11.5
2017-03-21,100,-0.4,-5.4,3.8
2017-03-22,100,2.3,-6.7,9.8
2017-03-23,100,0.4,-3.6,6.3
2017-03-24,100,-0.2,-5,4.9
2017-03-25,100,-0.2,-3,3.2
2017-03-26,100,0.4,-1.9,4.6
2017-03-27,100,0.4,-1.2,4.1
2017-03-28,100,1.6,-4.7,7.1
2017-03-29,100,4,-4.2,10.5
2017-03-30,100,4.5,-3.4,12.2
2017-03-31,100,1,0,3.1
2017-04-01,100,0.6,-0.9,4.5
2017-04-02,100,3.6,-3.4,10.1
2017-04-03,100,7.7,0.6,15.3
2017-04-04,100,9.1,-1.9,17.1
2017-04-05,100,9,4.9,13.4
2017-04-06,100,10,5,12.8
2017-04-07,100,8.4,0.6,17.3
2017-04-08,100,11.5,4.1,20.1
2017-04-09,100,4.3,-0.4,9.3
2017-04-10,100,5.8,-0.6,11.6
2017-04-11,100,8.5,2.1,16.6
2017-04-12,100,6.8,1.2,12.4
2017-04-13,100,8.2,-1.1,14.4
2017-04-14,100,9.4,6.9,15.7
2017-04-15,100,12.7,7.3,19
2017-04-16,100,15.6,8.2,21.9
2017-04-17,100,8.7,6.5,14.8
2017-04-18,100,7.8,3.7,14.4
2017-04-19,100,8.4,3.3,14.6
2017-04-20,100,8.3,3.8,13.3
2017-04-21,100,5.8,-0.7,13.1
2017-04-22,100,6.7,1.1,13.5
2017-04-23,100,10.3,-0.3,18.1
2017-04-24,100,11.9,4.3,19.2
2017-04-25,100,12.6,8.4,17.8
2017-04-26,100,7.6,1.4,11.8
2017-04-27,100,7,-3.2,14.3
2017-04-28,100,9.5,2.6,17.6
2017-04-29,100,12.5,1.7,19.3
2017-04-30,100,16.3,10.3,23
2017-05-01,100,10.6,4.5,16
2017-05-02,100,12.2,1.5,20.9
2017-05-03,100,13.6,3.8,23
2017-05-04,100,14.2,4.6,22.1
2017-05-05,100,17.5,10.7,23.4
2017-05-06,100,11,6.9,15.6
2017-05-07,100,12.1,6.8,18
2017-05-08,100,14.7,6.3,21.6
2017-05-09,100,11.4,8.9,17.1
2017-05-10,100,11.3,8.9,13.7
2017-05-11,100,14.5,8.2,20.3
2017-05-12,100,15.6,12.8,19.8
2017-05-13,100,12.3,6.9,18.7
2017-05-14,100,10.8,7.3,15.3
2017-05-15,100,9.1,6.9,12.2
2017-05-16,100,9.5,2.9,16.3
2017-05-17,100,11.8,3.1,18.8
2017-05-18,100,15.2,4.5,23.2
2017-05-19,100,18.8,12.8,25.3
2017-05-20,100,18.3,9,26.7
2017-05-21,100,16.9,8.9,25.3
2017-05-22,100,12.6,6.7,20.8
2017-05-23,100,14.5,7.6,20.6
2017-05-24,100,14.3,9.6,20.2
2017-05-25,100,12.3,6.7,20.9
2017-05-26,100,7.6,2.6,11.6
2017-05-27,100,11.5,4.2,18
2017-05-28,100,15.7,4.5,23.2
2017-05-29,100,20.4,13.5,26.8
2017-05-30,100,19,15,23.9
2017-05-31,100,17.2,11.8,23.4
2017-06-01,100,13.3,9.2,20.5
2017-06-02,100,10.9,6.3,15.3
2017-06-03,100,11.4,6.5,15.6
2017-06-04,100,12.4,3.9,19
2017-06-05,100,11.5,6,16.5
2017-06-06,100,12.3,5.9,19
2017-06-07,100,14.4,11.5,16.5
2017-06-08,100,16.2,12.1,21.5
2017-06-09,100,17,12.2,21.2
2017-06-10,100,13.2,6,20.1
2017-06-11,100,11.3,2.4,18.6
2017-06-12,100,10.3,5,15.1
2017-06-13,100,12.8,5.3,19.7
2017-06-14,100,15.9,7,22.9
2017-06-15,100,16.9,12.3,26.1
2017-06-16,100,14.3,8.6,19.1
2017-06-17,100,17.8,11,25.3
2017-06-18,100,19.5,10.8,27.8
2017-06-19,100,20,12.3,29
2017-06-20,100,18.2,10.9,24.3
2017-06-21,100,19.3,15,23.9
2017-06-22,100,18.3,11.9,25.6
2017-06-23,100,17.9,11.2,24.9
2017-06-24,100,17.4,12.9,24.7
2017-06-25,100,16.4,13.9,20.8
2017-06-26,100,16.2,14.5,19.5
2017-06-27,100,18.2,12.7,23.8
2017-06-28,100,19.5,15.6,24.4
2017-06-29,100,20.3,15.8,25.5
2017-06-30,100,21,13.6,27.1
2017-07-01,100,20.3,17.7,23.6
2017-07-02,100,20.1,18.9,22.3
2017-07-03,100,20.9,18.3,23.6
2017-07-04,100,19.2,17.7,23.3
2017-07-05,100,19.9,16.4,24.4
2017-07-06,100,20.8,14.9,26.9
2017-07-07,100,21.7,16.5,26.5
2017-07-08,100,22,19.9,24.9
2017-07-09,100,23.6,20.7,27.8
2017-07-10,100,22.5,20.9,23.9
2017-07-11,100,22.1,18.8,25.5
2017-07-12,100,23,18.5,27.5
2017-07-13,100,23.1,18.2,28.7
2017-07-14,100,23.2,18,29.3
2017-07-15,100,21.1,20.3,23.3
2017-07-16,100,21.1,19.1,23.2
2017-07-17,100,22.7,20.8,25.4
2017-07-18,100,22.3,18.5,26.7
2017-07-19,100,24.3,18.1,31.1
2017-07-20,100,24.3,19.7,28.8
2017-07-21,100,24.4,23.1,26.1
2017-07-22,100,21.2,18.4,24.6
2017-07-23,100,22.1,19.9,24
2017-07-24,100,23,21.6,25.2
2017-07-25,100,19.9,17.9,23.1
2017-07-26,100,19.3,16,23.3
2017-07-27,100,20,15.1,24.2
2017-07-28,100,20.1,18.9,22.5
2017-07-29,100,18.9,18.2,19.9
2017-07-30,100,21.2,17.6,26
2017-07-31,100,19.5,17.4,22.3
2017-08-01,100,20.7,18,25
2017-08-02,100,19.9,15.4,25.7
2017-08-03,100,19.8,13.3,25.1
2017-08-04,100,22.2,17.7,28.6
2017-08-05,100,23.1,18.7,29.3
2017-08-06,100,22.9,18,29
2017-08-07,100,22.9,20.1,28.7
2017-08-08,100,21.5,17.7,27.9
2017-08-09,100,19.9,18.9,22.7
2017-08-10,100,19.5,18.5,20.7
2017-08-11,100,18.5,17.6,21.5
2017-08-12,100,17.5,14.4,20.7
2017-08-13,100,17.4,14.1,19.3
2017-08-14,100,17.9,17,18.6
2017-08-15,100,18.1,17.1,19.4
2017-08-16,100,17.6,16.7,18.9
2017-08-17,100,18.2,16.9,19.7
2017-08-18,100,19,17.3,23.6
2017-08-19,100,18.7,17.3,21
2017-08-20,100,18.8,17.4,20
2017-08-21,100,20.7,19,23.1
2017-08-22,100,22.1,19.8,25.7
2017-08-23,100,22.4,20.5,24.6
2017-08-24,100,22.4,19.2,24.5
2017-08-25,100,20,16.5,25.1
2017-08-26,100,16.8,10.8,24.3
2017-08-27,100,16.4,8.7,23.1
2017-08-28,100,17.3,14.3,20.5
2017-08-29,100,15.7,11.6,18.8
2017-08-30,100,14.4,11.6,19.1
2017-08-31,100,13.7,7.6,18.8
2017-09-01,100,14.1,9.1,19.6
2017-09-02,100,12.9,6.4,19.3
2017-09-03,100,14.1,4.3,23.5
2017-09-04,100,15.5,7.9,22.9
2017-09-05,100,13.5,9.3,18.1
2017-09-06,100,14.8,11.7,18.8
2017-09-07,100,16.7,12.3,22.8
2017-09-08,100,16.9,10.6,25.9
2017-09-09,100,17.2,10.2,25.8
2017-09-10,100,17.2,12.6,21.5
2017-09-11,100,14.7,12.9,17.1
2017-09-12,100,16.3,11.8,22.3
2017-09-13,100,13,6.5,19.4
2017-09-14,100,13.3,6,20
2017-09-15,100,14.2,10.1,17.9
2017-09-16,100,13.9,11.4,15.9
2017-09-17,100,14.1,12.3,15.4
2017-09-18,100,14.6,8.4,20.7
2017-09-19,100,16.6,11.6,20.8
2017-09-20,100,13.5,7.2,19.2
2017-09-21,100,12.2,3.8,21.1
2017-09-22,100,13.5,5.4,20.9
2017-09-23,100,15,10.2,21.8
2017-09-24,100,15.5,8.9,22
2017-09-25,100,15.6,11.3,20.4
2017-09-26,100,17.8,12.3,23.7
2017-09-27,100,15.6,13.9,17.6
2017-09-28,100,13.7,8.9,19.2
2017-09-29,100,10.2,2.9,15.1
2017-09-30,100,13.2,8.8,18.3
2017-10-01,100,10.9,7,15.6
2017-10-02,100,13.8,10.5,15.4
2017-10-03,100,10,8.6,13.3
2017-10-04,100,9.7,7.5,13.7
2017-10-05,100,10.4,5.3,17.1
2017-10-06,100,11.6,9,13
2017-10-07,100,14.2,12.6,16.5
2017-10-08,100,14.6,11.2,21.6
2017-10-09,100,15.9,11,20.5
2017-10-10,100,13.9,12.1,17.9
2017-10-11,100,12.3,9.8,16.6
2017-10-12,100,8.4,5.5,10.8
2017-10-13,100,7,2.3,12.6
2017-10-14,100,5.8,-0.8,12.5
2017-10-15,100,6.7,1.3,12.7
2017-10-16,100,9,5.5,15.7
2017-10-17,100,9,3.1,14.4
2017-10-18,100,8.9,7.4,10.7
2017-10-19,100,8.5,6.2,12.4
2017-10-20,100,8.2,2.2,15.7
2017-10-21,100,6.9,0.1,14.6
2017-10-22,100,7.5,0.6,11.6
2017-10-23,100,4.8,-1.3,9.5
2017-10-24,100,3,-4.1,11.2
2017-10-25,100,6.4,-3,17.5
2017-10-26,100,7.6,-0.4,17.8
2017-10-27,100,9.4,5.4,15.3
2017-10-28,100,9.5,5,14.3
2017-10-29,100,7.3,1.8,15.3
2017-10-30,100,3.4,-3.3,8.9
2017-10-31,100,4.3,-5.3,11.4
2017-11-01,100,8.1,5.5,10.4
2017-11-02,100,9.6,5.2,14.8
2017-11-03,100,8.3,2.5,12.1
2017-11-04,100,2.8,-0.1,7.1
2017-11-05,100,3.9,-4.8,10.5
2017-11-06,100,7.1,0.2,14.1
2017-11-07,100,9.5,3.7,12.8
2017-11-08,100,8.9,-0.9,12.6
2017-11-09,100,2.5,-5.4,13.7
2017-11-10,100,6.6,-0.6,12.3
2017-11-11,100,0.1,-5.5,6.6
2017-11-12,100,1,-7.7,8.9
2017-11-13,100,4,-3,8.4
2017-11-14,100,2.9,-1.5,6.1
2017-11-15,100,-2.1,-6.3,0.8
2017-11-16,100,-4.1,-9.1,2.3
2017-11-17,100,-1.2,-9.7,4.5
2017-11-18,100,-4.2,-9.7,0.9
2017-11-19,100,-6.3,-11.4,-2.1
2017-11-20,100,-4.9,-9.2,0.5
2017-11-21,100,-3.2,-11.7,4.2
2017-11-22,100,-0.5,-5.8,1.8
2017-11-23,100,-4.9,-11.4,-2.4
2017-11-24,100,-5.8,-9,-2.8
2017-11-25,100,-1.6,-7.8,2.1
2017-11-26,100,-1.4,-9.4,2.6
2017-11-27,100,-2.5,-15.3,5.3
2017-11-28,100,3.5,-0.4,6.7
2017-11-29,100,2.5,-1.8,6.3
2017-11-30,100,-3.7,-9.7,0.3
2017-12-01,100,-7.2,-12.8,-2.3
2017-12-02,100,-3.8,-11,1.1
2017-12-03,100,-0.1,-4.7,2.9
2017-12-04,100,-4.3,-11.3,-0.2
2017-12-05,100,-10.5,-14.6,-6.2
2017-12-06,100,-5.6,-12.8,-1
2017-12-07,100,-3.1,-8.1,0.3
2017-12-08,100,-9,-12.9,-4.4
2017-12-09,100,-6,-11.2,-1.1
2017-12-10,100,-3.4,-7.3,1.6
2017-12-11,100,-12.9,-17,-7.4
2017-12-12,100,-15.2,-19.3,-10
2017-12-13,100,-12.8,-18.5,-4.9
2017-12-14,100,-11.6,-20.5,0.5
2017-12-15,100,-5.7,-12.2,-2.1
2017-12-16,100,-9.4,-13.9,-5.2
2017-12-17,100,-12.1,-16.8,-8
2017-12-18,100,-5.8,-12.7,-2.1
2017-12-19,100,-8.8,-11.6,-3.5
2017-12-20,100,-7.4,-15.1,-2.3
2017-12-21,100,-4.8,-8.3,-1.3
2017-12-22,100,-1.7,-8.8,1.3
2017-12-23,100,0.8,-3,4.5
2017-12-24,100,-0.7,-4.4,1.2
2017-12-25,100,-7.2,-8.9,-4.3
2017-12-26,100,-8.7,-13.7,-5.2
2017-12-27,100,-12,-16.1,-8.1
2017-12-28,100,-6.2,-13,-1.2
2017-12-29,100,-3.2,-9.3,0.4
2017-12-30,100,-3.5,-12,3.8
2017-12-31,100,-4.5,-8.7,-2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
