날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2016-01-01,100,-3.2,-8.3,0.4
2016-01-02,100,2.1,-1.5,4.1
2016-01-03,100,3.2,-0.7,6.8
2016-01-04,100,0.2,-4.1,3.8
2016-01-05,100,-4.7,-9.1,-0.6
2016-01-06,100,-5.9,-8.8,-1.9
2016-01-07,100,-6.5,-10.2,-1.9
2016-01-08,100,-7.3,-11.1,-3.4
2016-01-09,100,-5.7,-9.3,-1.8
2016-01-10,100,-3.6,-7.6,0.4
2016-01-11,100,-8.2,-14.4,-0.9
2016-01-12,100,-9.4,-18.4,-0.4
2016-01-13,100,-8.4,-11.6,-5.3
2016-01-14,100,-8.1,-12.1,-4.5
2016-01-15,100,-7,-13.1,-1.1
2016-01-16,100,-7.4,-15.8,0.3
2016-01-17,100,-3.7,-10.4,2.4
2016-01-18,100,-8.1,-17.4,-1.3
2016-01-19,100,-16.7,-19.7,-12.8
2016-01-20,100,-14.3,-21.4,-5.7
2016-01-21,100,-11.4,-17.7,-2.5
2016-01-22,100,-10.6,-18.3,-3.9
2016-01-23,100,-14,-19,-10
2016-01-24,100,-18.4,-23,-12.8
2016-01-25,100,-13.4,-19.1,-6.8
2016-01-26,100,-7.4,-13.8,-3.9
2016-01-27,100,-4.3,-6.7,-0.8
2016-01-28,100,-5.6,-12.8,0.3
2016-01-29,100,-3.2,-4.8,-2
2016-01-30,100,-2.9,-6.1,1.8
2016-01-31,100,-5.3,-8.9,-1.7
2016-02-01,100,-10.1,-17.6,-2.5
2016-02-02,100,-10.3,-17.8,-1.7
2016-02-03,100,-8,-18,-1.4
2016-02-04,100,-4.3,-8.6,0
2016-02-05,100,-5.9,-10.3,-1
2016-02-06,100,-7.3,-12.3,-2.7
2016-02-07,100,-8.1,-17.5,-1
2016-02-08,100,-4.4,-9.5,-0.4
2016-02-09,100,-4,-7.2,-1.1
2016-02-10,100,-4.6,-14,5.8
2016-02-11,100,1.2,-10.7,11.5
2016-02-12,100,6.8,3.9,8.9
2016-02-13,100,7.9,0.8,13.7
2016-02-14,100,-4.4,-9.5,2.2
2016-02-15,100,-10.3,-12.9,-7.1
2016-02-16,100,-7.2,-10.8,-4.1
2016-02-17,100,-5.1,-10.4,-1.2
2016-02-18,100,-0.4,-5.1,2.7
2016-02-19,100,-1,-3.1,1.5
2016-02-20,100,-2.9,-5.3,1.3
2016-02-21,100,-5.1,-9.4,-0.8
2016-02-22,100,-2.6,-6.4,1.3
2016-02-23,100,-2.2,-6.2,2.3
2016-02-24,100,-5.7,-8.6,-0.7
2016-02-25,100,-5.7,-10.7,-2.5
2016-02-26,100,-2.2,-6.3,1.6
2016-02-27,100,-1.8,-5.5,1.9
2016-02-28,100,-2.3,-5.7,3.2
2016-02-29,100,-8.9,-11.2,-5.5
2016-03-01,100,-8.6,-17.3,-3.8
2016-03-02,100,-2.5,-8.8,1.3
2016-03-03,100,1.9,-2.6,8.9
2016-03-04,100,-0.3,-4.7,9.8
2016-03-05,100,6.4,0,11.5
2016-03-06,100,6.4,-1.5,10
2016-03-07,100,3.8,-2.5,10.3
2016-03-08,100,0.9,-2.6,3.5
2016-03-09,100,-3.7,-5.1,0.4
2016-03-10,100,-4.1,-6.4,0.9
2016-03-11,100,-5.1,-10.1,0.8
2016-03-12,100,-2.4,-8.5,1.8
2016-03-13,100,-0.3,-3.1,3
2016-03-14,100,-2.8,-7.3,0.8
2016-03-15,100,1.7,-8.2,10.3
2016-03-16,100,5.2,0.7,10.8
2016-03-17,100,6.6,-3.3,14.6
2016-03-18,100,8.5,2.2,14.8
2016-03-19,100,3.3,-1.5,8.7
2016-03-20,100,1.2,-1.2,2.6
2016-03-21,100,4.4,-4.3,12.8
2016-03-22,100,4.9,1,11.6
2016-03-23,100,0,-2.1,2.5
2016-03-24,100,-0.8,-4.6,2
2016-03-25,100,0.3,-2.6,5.2
2016-03-26,100,0.5,-3.1,7.4
2016-03-27,100,3.1,-4.7,10.1
2016-03-28,100,6.1,-2.4,12.9
2016-03-29,100,8.8,3.9,13.5
2016-03-30,100,8.2,0.3,14.1
2016-03-31,100,8.7,-0.7,17.9
2016-04-01,100,6,-2.8,16.1
2016-04-02,100,10.9,0.6,19.6
2016-04-03,100,5.5,2.8,10.2
2016-04-04,100,5,0.4,9.7
2016-04-05,100,9.1,0,16.8
2016-04-06,100,9.5,-0.1,17
2016-04-07,100,10.4,6.5,16.9
2016-04-08,100,10.5,1.3,15.9
2016-04-09,100,11.8,8,16.6
2016-04-10,100,3.5,0.1,12.2
2016-04-11,100,2.2,-0.7,6.8
2016-04-12,100,8.7,-1.5,18.5
2016-04-13,100,10.6,6.1,16.6
2016-04-14,100,11.7,5.2,18.9
2016-04-15,100,10.8,-1.5,19.7
2016-04-16,100,13.1,5,22
2016-04-17,100,7.6,3.7,13.7
2016-04-18,100,7.3,2,13.7
2016-04-19,100,8.3,3.4,13.1
2016-04-20,100,10.4,5.2,17.9
2016-04-21,100,10.2,6.3,15.4
2016-04-22,100,14.1,8.8,21.3
2016-04-23,100,10.8,3.5,17.5
2016-04-24,100,6.7,-0.3,13.8
2016-04-25,100,13,0.5,23.3
2016-04-26,100,8.3,3.9,16.2
2016-04-27,100,3.5,2.9,4.5
2016-04-28,100,5.4,-0.7,11.3
2016-04-29,100,10,-0.5,18.1
2016-04-30,100,12.5,6.9,17.4
2016-05-01,100,16.5,11,22.4
2016-05-02,100,17.7,10.1,26
