date,uga,sun,ondo,price
2015-08-11,50.59,2.36,23.6,1380
2015-08-12,49.37,9.8,24.3,1380
2015-08-13,49.87,16.86,25.9,1380
2015-08-17,48.53,18.16,25.7,1380
2015-08-18,48.22,12.52,26.4,1390
2015-08-19,48.27,8.85,26.1,1390
2015-08-20,46.73,4.42,24.2,1390
2015-08-21,46.23,14.04,24.8,1390
2015-08-24,44.4,5.27,24.4,1420
2015-08-25,42.66,6.21,22.6,1420
2015-08-26,42.94,20.95,23.5,1420
2015-08-27,43.57,18.29,24,1420
2015-08-28,46.84,18.19,24.3,1400
2015-08-31,48.72,13.89,24.8,1400
2015-09-01,49.98,17.25,25.3,1400
2015-09-02,46.16,14,24.7,1400
2015-09-03,47.01,15.58,23.8,1400
2015-09-04,47.19,19.19,24.7,1400
2015-09-07,46.6,15.7,22.5,1400
2015-09-08,45.93,20.37,22.5,1400
2015-09-09,47.55,20.45,21.8,1390
2015-09-10,45.75,19.39,22.3,1400
2015-09-11,51.1,15.19,22.5,1400
2015-09-14,45.47,15.51,21,1400
2015-09-15,43.87,16.04,21.5,1400
2015-09-16,44.08,6.81,20.1,1400
2015-09-17,46.78,18.78,21.8,1400
2015-09-18,45.99,15.84,21.5,1400
2015-09-21,44.58,16.67,22.2,1400
2015-09-22,45,17.12,22.8,1400
2015-09-23,45.13,1.81,19.3,1400
2015-09-24,51.1,13.51,21.6,1400
2015-09-25,44.98,10.06,22.2,1400
2015-09-30,44.31,2.74,18.8,1400
2015-10-01,45.92,1.14,19.9,1400
2015-10-02,45.38,17.29,17.6,1400
2015-10-05,45.91,14.95,19.8,1400
2015-10-06,46.48,16.39,19.4,1400
2015-10-07,48.97,12.69,19,1420
2015-10-08,48.41,8.89,19.2,1420
2015-10-12,49.61,12.73,16.6,1430
2015-10-13,47.08,15.44,17,1410
2015-10-14,46.52,13.81,17.6,1410
2015-10-15,46.44,13.6,17.6,1410
2015-10-16,46.58,13.44,17.3,1410
2015-10-19,46.22,13.13,18.4,1410
2015-10-20,44.61,10.84,18.6,1410
2015-10-21,44.43,11.51,18.6,1410
2015-10-22,43.71,11.19,19,1430
2015-10-23,43.9,8.84,18.4,1430
2015-10-26,43.48,12.93,16.9,1450
2015-10-27,43.01,6,15.5,1430
2015-10-28,43.11,10.96,14.8,1430
2015-10-29,44.45,9.78,14.3,1440
2015-10-30,43.94,11.73,11.9,1410
2015-11-02,44.55,9.12,11.7,1430
2015-11-03,43.89,12.24,13.4,1430
2015-11-04,45.45,11.34,14.2,1470
2015-11-05,43.7,6.96,16.4,1490
2015-11-06,43.16,4.46,16.8,1490
2015-11-09,42.88,1.23,13.9,1570
2015-11-10,51.1,4.07,11.4,1570
2015-11-11,42.59,9.32,12.4,1590
2015-11-12,41.68,10.22,15.8,1570
2015-11-13,40.77,1.54,13.3,1570
2015-11-16,40.35,2.34,14.7,1620
2015-11-17,40.39,1.91,15.5,1620
2015-11-18,39.64,1.27,14.1,1620
2015-11-19,40.13,1.39,12,1620
2015-11-20,40.07,6.33,12.6,1620
2015-11-23,39.57,1.37,12.8,1660
2015-11-24,40.7,8.43,10,1690
2015-11-25,41.4,2.09,7.7,1710
2015-11-26,40.94,5.24,2.8,1710
2015-11-27,40.37,1.98,5.1,1710
2015-11-30,39.87,7.23,9.1,1710
2015-12-01,39.8,9.68,8.5,1770
2015-12-02,39.75,1.11,9.7,1770
2015-12-03,38.29,6.93,6.6,1760
2015-12-07,38.35,9.55,4.6,1750
2015-12-08,36.91,9.05,6,1750
2015-12-09,36.49,7.38,9.9,1750
2015-12-10,36.51,0.95,11,1760
2015-12-11,36.2,6.77,9.6,1760
2015-12-14,34.64,2.93,10.8,1740
2015-12-15,33.82,6.23,8.5,1740
2015-12-16,34.24,6.12,4.3,1720
2015-12-17,32.86,4.1,0.8,1720
2015-12-18,32.98,4.64,2.8,1720
2015-12-21,31.98,5.22,7,1680
2015-12-22,32,8.5,6.7,1660
