place,date,uga
두바이,2019-01-01,51.86
두바이,2019-01-02,51.86
두바이,2019-01-03,53.2
두바이,2019-01-04,55.59
두바이,2019-01-05,54.995
두바이,2019-01-06,55.885
두바이,2019-01-07,56.79
두바이,2019-01-08,56.18
두바이,2019-01-09,58.07
두바이,2019-01-10,59.6
두바이,2019-01-11,61.16
두바이,2019-01-12,59.26
두바이,2019-01-13,59.895
두바이,2019-01-14,58.92
두바이,2019-01-15,58.63
두바이,2019-01-16,60.15
두바이,2019-01-17,60.03
두바이,2019-01-18,61.12
두바이,2019-01-19,60.955
두바이,2019-01-20,61.275
두바이,2019-01-21,61.88
두바이,2019-01-22,61.43
두바이,2019-01-23,61.23
두바이,2019-01-24,60.41
두바이,2019-01-25,61.16
두바이,2019-01-26,60.365
두바이,2019-01-27,60.3
두바이,2019-01-28,60.32
두바이,2019-01-29,59.44
두바이,2019-01-30,60.93
두바이,2019-01-31,61.82
두바이,2019-02-01,60.87
두바이,2019-02-02,62.375
두바이,2019-02-03,62
두바이,2019-02-04,62.93
두바이,2019-02-05,62.255
두바이,2019-02-06,62.275
두바이,2019-02-07,62.51
두바이,2019-02-08,61.62
두바이,2019-02-09,62.265
두바이,2019-02-10,61.925
두바이,2019-02-11,62.02
두바이,2019-02-12,62.23
두바이,2019-02-13,63.34
두바이,2019-02-14,65.32
두바이,2019-02-15,65.12
두바이,2019-02-16,66.025
두바이,2019-02-17,65.8
두바이,2019-02-18,66.73
두바이,2019-02-19,66.48
두바이,2019-02-20,66.38
두바이,2019-02-21,67.12
두바이,2019-02-22,67.22
두바이,2019-02-23,66.98
두바이,2019-02-24,65.89
두바이,2019-02-25,66.84
두바이,2019-02-26,64.56
두바이,2019-02-27,65.3
두바이,2019-02-28,65.98
두바이,2019-03-01,66.56
두바이,2019-03-02,65.67
두바이,2019-03-03,66.145
두바이,2019-03-04,65.36
두바이,2019-03-05,65.73
두바이,2019-03-06,65.85
두바이,2019-03-07,66.47
두바이,2019-03-08,65.77
두바이,2019-03-09,66.64
두바이,2019-03-10,66.46
두바이,2019-03-11,66.81
두바이,2019-03-12,67.15
두바이,2019-03-13,67.22
두바이,2019-03-14,68.17
두바이,2019-03-15,67.71
두바이,2019-03-16,67.745
두바이,2019-03-17,67.67
두바이,2019-03-18,67.32
두바이,2019-03-19,67.63
두바이,2019-03-20,67.67
두바이,2019-03-21,68.23
두바이,2019-03-22,67.46
두바이,2019-03-23,67.285
두바이,2019-03-24,67.315
