place,date,uga
두바이,2015-01-01,53.27
두바이,2015-01-02,53.27
두바이,2015-01-03,52.125
두바이,2015-01-04,52.125
두바이,2015-01-05,50.98
두바이,2015-01-06,48.08
두바이,2015-01-07,46.6
두바이,2015-01-08,47.5
두바이,2015-01-09,47.41
두바이,2015-01-10,46.54
두바이,2015-01-11,46.54
두바이,2015-01-12,45.67
두바이,2015-01-13,43.3
두바이,2015-01-14,42.55
두바이,2015-01-15,44.48
두바이,2015-01-16,43.92
두바이,2015-01-17,44.98
두바이,2015-01-18,44.98
두바이,2015-01-19,46.04
두바이,2015-01-20,44.82
두바이,2015-01-21,44.75
두바이,2015-01-22,44.65
두바이,2015-01-23,44.42
두바이,2015-01-24,44.285
두바이,2015-01-25,44.285
두바이,2015-01-26,44.15
두바이,2015-01-27,43.63
두바이,2015-01-28,44.83
두바이,2015-01-29,44.63
두바이,2015-01-30,45.59
두바이,2015-01-31,47.2
두바이,2015-02-01,47.2
두바이,2015-02-02,48.81
두바이,2015-02-03,52.62
두바이,2015-02-04,54.72
두바이,2015-02-05,51.41
두바이,2015-02-06,54.23
두바이,2015-02-07,54.8
두바이,2015-02-08,54.8
두바이,2015-02-09,55.37
두바이,2015-02-10,55.83
두바이,2015-02-11,54.91
두바이,2015-02-12,54.75
두바이,2015-02-13,57.7
두바이,2015-02-14,58.265
두바이,2015-02-15,58.265
두바이,2015-02-16,58.83
두바이,2015-02-17,58.89
두바이,2015-02-18,59.32
두바이,2015-02-19,58.305
두바이,2015-02-20,58.305
두바이,2015-02-21,58.305
두바이,2015-02-22,58.305
두바이,2015-02-23,57.29
두바이,2015-02-24,56.06
두바이,2015-02-25,55.84
두바이,2015-02-26,58.42
두바이,2015-02-27,57.39
두바이,2015-02-28,57.595
두바이,2015-03-01,57.595
두바이,2015-03-02,59.58
두바이,2015-03-03,57.15
두바이,2015-03-04,57.8
두바이,2015-03-05,57.35
두바이,2015-03-06,57.26
두바이,2015-03-07,55.38
두바이,2015-03-08,55.38
두바이,2015-03-09,56.58
두바이,2015-03-10,55.48
두바이,2015-03-11,53.5
두바이,2015-03-12,55.4
두바이,2015-03-13,54.96
두바이,2015-03-14,53.1
두바이,2015-03-15,53.1
두바이,2015-03-16,52.75
두바이,2015-03-17,51.64
두바이,2015-03-18,51.24
두바이,2015-03-19,53.4
두바이,2015-03-20,52.06
두바이,2015-03-21,52.375
두바이,2015-03-22,52.375
두바이,2015-03-23,52.87
두바이,2015-03-24,53.4
두바이,2015-03-25,52.69
두바이,2015-03-26,53.99
두바이,2015-03-27,56.37
두바이,2015-03-28,54.6
두바이,2015-03-29,54.6
두바이,2015-03-30,53.95
두바이,2015-03-31,53.84
두바이,2015-04-01,52.83
두바이,2015-04-02,54.63
두바이,2015-04-03,54.82
두바이,2015-04-04,54.82
두바이,2015-04-05,54.82
두바이,2015-04-06,53.95
두바이,2015-04-07,55.01
두바이,2015-04-08,55.92
두바이,2015-04-09,53.31
두바이,2015-04-10,54.28
두바이,2015-04-11,55.55
두바이,2015-04-12,55.55
두바이,2015-04-13,56.58
두바이,2015-04-14,56.32
두바이,2015-04-15,56.82
두바이,2015-04-16,58.66
두바이,2015-04-17,59.21
두바이,2015-04-18,58.62
두바이,2015-04-19,58.62
두바이,2015-04-20,59.34
두바이,2015-04-21,59.25
두바이,2015-04-22,58.03
두바이,2015-04-23,58.6
두바이,2015-04-24,61.43
두바이,2015-04-25,61.54
두바이,2015-04-26,61.54
두바이,2015-04-27,62
두바이,2015-04-28,61.62
두바이,2015-04-29,61.65
두바이,2015-04-30,62.69
두바이,2015-05-01,62.985
두바이,2015-05-02,62.985
두바이,2015-05-03,62.985
두바이,2015-05-04,63.03
두바이,2015-05-05,63.28
두바이,2015-05-06,64.79
두바이,2015-05-07,65.06
두바이,2015-05-08,62.96
두바이,2015-05-09,63.585
두바이,2015-05-10,63.585
두바이,2015-05-11,62.84
두바이,2015-05-12,62.4
두바이,2015-05-13,64.21
두바이,2015-05-14,63.61
두바이,2015-05-15,63.49
두바이,2015-05-16,62.62
두바이,2015-05-17,62.62
두바이,2015-05-18,63.58
두바이,2015-05-19,62.79
두바이,2015-05-20,61.75
두바이,2015-05-21,62.68
두바이,2015-05-22,64.03
두바이,2015-05-23,63.07
두바이,2015-05-24,63.07
두바이,2015-05-25,62.98
두바이,2015-05-26,63.07
두바이,2015-05-27,62.11
두바이,2015-05-28,60.64
두바이,2015-05-29,61.11
두바이,2015-05-30,61.705
두바이,2015-05-31,61.705
두바이,2015-06-01,61.705
두바이,2015-06-02,62.49
두바이,2015-06-03,62.3
두바이,2015-06-04,60.71
두바이,2015-06-05,59.03
두바이,2015-06-06,60.845
두바이,2015-06-07,60.845
두바이,2015-06-08,60.23
두바이,2015-06-09,59.64
두바이,2015-06-10,62.66
두바이,2015-06-11,63.44
두바이,2015-06-12,62.42
두바이,2015-06-13,62.365
두바이,2015-06-14,61.44
두바이,2015-06-15,61.29
두바이,2015-06-16,60.46
두바이,2015-06-17,60.81
두바이,2015-06-18,60.98
두바이,2015-06-19,60.93
두바이,2015-06-20,60.4
두바이,2015-06-21,60.52
두바이,2015-06-22,59.82
두바이,2015-06-23,60.11
두바이,2015-06-24,61.09
두바이,2015-06-25,60.26
두바이,2015-06-26,60.01
두바이,2015-06-27,59.81
두바이,2015-06-28,59.785
두바이,2015-06-29,59.36
두바이,2015-06-30,59.56
두바이,2015-07-01,60.93
두바이,2015-07-02,59.51
두바이,2015-07-03,59.45
두바이,2015-07-04,58.72
두바이,2015-07-05,57.305
두바이,2015-07-06,57.93
두바이,2015-07-07,55.16
두바이,2015-07-08,54.98
두바이,2015-07-09,56.69
두바이,2015-07-10,58.19
두바이,2015-07-11,57.22
두바이,2015-07-12,57.22
두바이,2015-07-13,57.75
두바이,2015-07-14,56.25
두바이,2015-07-15,56.93
두바이,2015-07-16,55.75
두바이,2015-07-17,62.365
두바이,2015-07-18,55.575
두바이,2015-07-19,62.365
두바이,2015-07-20,55.4
두바이,2015-07-21,54.68
두바이,2015-07-22,55.03
두바이,2015-07-23,54.22
두바이,2015-07-24,53.45
두바이,2015-07-25,53.545
두바이,2015-07-26,52.65
두바이,2015-07-27,52.87
두바이,2015-07-28,51.85
두바이,2015-07-29,51.86
두바이,2015-07-30,52.53
두바이,2015-07-31,52.07
두바이,2015-08-01,51.82
두바이,2015-08-02,51.1
두바이,2015-08-03,51.11
두바이,2015-08-04,50.13
두바이,2015-08-05,50.09
두바이,2015-08-06,49.71
두바이,2015-08-07,50.15
두바이,2015-08-08,50.15
두바이,2015-08-09,50.15
두바이,2015-08-10,50.15
두바이,2015-08-11,50.59
두바이,2015-08-12,49.37
두바이,2015-08-13,49.87
두바이,2015-08-14,49.43
두바이,2015-08-15,49.2
두바이,2015-08-16,48.825
두바이,2015-08-17,48.53
두바이,2015-08-18,48.22
두바이,2015-08-19,48.27
두바이,2015-08-20,46.73
두바이,2015-08-21,46.23
두바이,2015-08-22,45.565
두바이,2015-08-23,44.445
두바이,2015-08-24,44.4
두바이,2015-08-25,42.66
두바이,2015-08-26,42.94
두바이,2015-08-27,43.57
두바이,2015-08-28,46.84
두바이,2015-08-29,46.145
두바이,2015-08-30,48.41
두바이,2015-08-31,48.72
두바이,2015-09-01,49.98
두바이,2015-09-02,46.16
두바이,2015-09-03,47.01
두바이,2015-09-04,47.19
두바이,2015-09-05,46.805
두바이,2015-09-06,46.56
두바이,2015-09-07,46.6
두바이,2015-09-08,45.93
두바이,2015-09-09,47.55
두바이,2015-09-10,45.75
두바이,2015-09-11,51.1
두바이,2015-09-12,45.61
두바이,2015-09-13,51.1
두바이,2015-09-14,45.47
두바이,2015-09-15,43.87
두바이,2015-09-16,44.08
두바이,2015-09-17,46.78
두바이,2015-09-18,45.99
두바이,2015-09-19,45.68
두바이,2015-09-20,45.495
두바이,2015-09-21,44.58
두바이,2015-09-22,45
두바이,2015-09-23,45.13
두바이,2015-09-24,51.1
두바이,2015-09-25,44.98
두바이,2015-09-26,51.1
두바이,2015-09-27,44.465
두바이,2015-09-28,45.01
두바이,2015-09-29,43.95
두바이,2015-09-30,44.31
두바이,2015-10-01,45.92
두바이,2015-10-02,45.38
두바이,2015-10-03,45.915
두바이,2015-10-04,45.93
두바이,2015-10-05,45.91
두바이,2015-10-06,46.48
두바이,2015-10-07,48.97
두바이,2015-10-08,48.41
두바이,2015-10-09,49.99
두바이,2015-10-10,49.01
두바이,2015-10-11,48.535
두바이,2015-10-12,49.61
두바이,2015-10-13,47.08
두바이,2015-10-14,46.52
두바이,2015-10-15,46.44
두바이,2015-10-16,46.58
두바이,2015-10-17,46.33
두바이,2015-10-18,45.595
두바이,2015-10-19,46.22
두바이,2015-10-20,44.61
두바이,2015-10-21,44.43
두바이,2015-10-22,43.71
두바이,2015-10-23,43.9
두바이,2015-10-24,43.595
두바이,2015-10-25,43.455
두바이,2015-10-26,43.48
두바이,2015-10-27,43.01
두바이,2015-10-28,43.11
두바이,2015-10-29,44.45
두바이,2015-10-30,43.94
두바이,2015-10-31,44.5
두바이,2015-11-01,43.915
두바이,2015-11-02,44.55
두바이,2015-11-03,43.89
두바이,2015-11-04,45.45
두바이,2015-11-05,43.7
두바이,2015-11-06,43.16
두바이,2015-11-07,43.29
두바이,2015-11-08,51.1
두바이,2015-11-09,42.88
두바이,2015-11-10,51.1
두바이,2015-11-11,42.59
두바이,2015-11-12,41.68
두바이,2015-11-13,40.77
두바이,2015-11-14,41.015
두바이,2015-11-15,40.58
두바이,2015-11-16,40.35
두바이,2015-11-17,40.39
두바이,2015-11-18,39.64
두바이,2015-11-19,40.13
두바이,2015-11-20,40.07
두바이,2015-11-21,39.85
두바이,2015-11-22,40.385
두바이,2015-11-23,39.57
두바이,2015-11-24,40.7
두바이,2015-11-25,41.4
두바이,2015-11-26,40.94
두바이,2015-11-27,40.37
두바이,2015-11-28,40.405
두바이,2015-11-29,40.085
두바이,2015-11-30,39.87
두바이,2015-12-01,39.8
두바이,2015-12-02,39.75
두바이,2015-12-03,38.29
두바이,2015-12-04,39.11
두바이,2015-12-05,38.32
두바이,2015-12-06,38.01
두바이,2015-12-07,38.35
두바이,2015-12-08,36.91
두바이,2015-12-09,36.49
두바이,2015-12-10,36.51
두바이,2015-12-11,36.2
두바이,2015-12-12,35.575
두바이,2015-12-13,35.01
두바이,2015-12-14,34.64
두바이,2015-12-15,33.82
두바이,2015-12-16,34.24
두바이,2015-12-17,32.86
두바이,2015-12-18,32.98
두바이,2015-12-19,32.42
두바이,2015-12-20,32.49
두바이,2015-12-21,31.98
두바이,2015-12-22,32
두바이,2015-12-23,31.82
두바이,2015-12-24,32.83
두바이,2015-12-25,51.1
두바이,2015-12-26,32.72
두바이,2015-12-27,51.1
두바이,2015-12-28,32.61
두바이,2015-12-29,32.11
두바이,2015-12-30,32.74
두바이,2015-12-31,32.19
