date,snow,price
2016-01-08,0,455
2016-01-11,0,470
2016-01-12,0,470
2016-01-13,0,470
2016-01-14,0,480
2016-01-15,0,480
2016-01-18,0,510
2016-01-19,0,530
2016-01-20,0,570
2016-01-21,0,580
2016-01-22,0,630
2016-01-25,0,690
2016-01-26,0,670
2016-01-27,0,740
2016-01-28,0,740
2016-01-29,6,760
2016-02-01,8,710
2016-02-02,0,700
2016-02-03,0,710
2016-02-04,0,710
2016-02-05,17.2,720
2016-02-11,0,700
2016-02-12,0,700
2016-02-15,0,760
2016-02-16,0,800
2016-02-17,0,840
2016-02-18,0,880
2016-02-19,0,900
2016-02-22,0,880
2016-02-23,0,940
2016-02-24,13.5,960
2016-02-25,0,920
2016-02-26,10,980
2016-03-02,0,1110
2016-03-03,0,1100
2016-03-04,0,1100
2016-03-07,0,1160
2016-03-08,0,1180
2016-03-09,6.5,1180
2016-03-10,0,1180
2016-03-11,0,1180
2016-03-14,0,1160
2016-03-15,0,1160
2016-03-16,0,1180
2016-03-17,0,1180
2016-03-18,0,1200
2016-03-21,0,1200
2016-03-22,0,1220
2016-03-23,0,1220
2016-03-24,0,1200
2016-03-25,0,1220
2016-03-28,0,1320
2016-03-29,0,1320
2016-03-30,0,1320
2016-03-31,0,1320
2016-04-01,0,1440
2016-04-04,0,1460
2016-04-05,0,1500
2016-04-06,0,1520
2016-04-07,0,1560
2016-04-08,0,1560
2016-04-11,0,1560
2016-04-12,0,1540
2016-04-14,0,1520
2016-04-15,0,1500
2016-04-18,0,1520
2016-04-19,0,1480
2016-04-20,0,1480
2016-04-21,0,1489
2016-04-22,0,1500
2016-04-25,0,1520
2016-04-26,0,1520
2016-04-27,0,1460
2016-04-28,0,1520
2016-04-29,0,1510
2016-05-02,0,1400
2016-05-03,0,1360
2016-05-04,0,1260
2016-05-09,0,1140
2016-05-10,0,1140
2016-05-11,0,1140
2016-05-12,0,1100
2016-05-13,0,1080
2016-05-16,0,1200
2016-05-17,0,1220
2016-05-18,0,1160
2016-05-19,0,1180
2016-05-20,0,1200
2016-05-23,0,1140
2016-05-24,0,1140
2016-05-25,0,1140
2016-05-26,0,1100
2016-05-27,0,1060
2016-05-30,0,880
2016-05-31,0,820
2016-06-01,0,780
2016-06-02,0,760
2016-06-03,0,740
2016-06-07,0,700
2016-06-08,0,680
2016-06-09,0,650
2016-06-10,0,560
2016-06-13,0,580
2016-06-14,0,560
2016-06-15,0,500
2016-06-16,0,500
2016-06-17,0,540
2016-06-20,0,600
2016-06-21,0,650
2016-06-22,0,610
2016-06-23,0,650
2016-06-24,0,660
2016-06-27,0,640
2016-06-28,0,620
2016-06-29,0,570
2016-06-30,0,570
2016-07-01,0,570
2016-07-04,0,570
2016-07-05,0,620
2016-07-06,0,650
2016-07-07,0,720
2016-07-08,0,720
2016-07-11,0,700
2016-07-12,0,740
2016-07-13,0,840
2016-07-14,0,840
2016-07-15,0,840
2016-07-18,0,840
2016-07-19,0,820
2016-07-20,0,790
2016-07-21,0,760
2016-07-22,0,770
2016-07-25,0,770
2016-07-26,0,780
2016-07-27,0,780
2016-07-28,0,810
2016-07-29,0,830
2016-08-01,0,1060
2016-08-02,0,1140
2016-08-03,0,1160
2016-08-04,0,1120
2016-08-05,0,1180
2016-08-08,0,1120
2016-08-09,0,1180
2016-08-10,0,1280
2016-08-11,0,1320
2016-08-12,0,1340
2016-08-16,0,1380
2016-08-17,0,1520
2016-08-18,0,1520
2016-08-19,0,1560
2016-08-22,0,1780
2016-08-23,0,1820
2016-08-24,0,1820
2016-08-25,0,1840
2016-08-26,0,1920
2016-08-29,0,2000
2016-08-30,0,2160
2016-08-31,0,2300
2016-09-01,0,2380
2016-09-02,0,2340
2016-09-05,0,2300
2016-09-06,0,2260
2016-09-07,0,2220
2016-09-08,0,2300
2016-09-09,0,2140
2016-09-12,0,2100
2016-09-13,0,2300
2016-09-19,0,1980
2016-09-20,0,2020
2016-09-21,0,2040
2016-09-22,0,2000
2016-09-23,0,1960
2016-09-26,0,1980
2016-09-27,0,1980
2016-09-28,0,1960
2016-09-29,0,1860
2016-09-30,0,1860
2016-10-04,0,1780
2016-10-05,0,1660
2016-10-06,0,1600
2016-10-07,0,1480
2016-10-10,0,1260
2016-10-11,0,1160
2016-10-12,0,1040
2016-10-13,0,960
2016-10-14,0,1000
2016-10-17,0,1000
2016-10-18,0,1000
2016-10-19,0,940
2016-10-20,0,880
2016-10-21,0,880
2016-10-24,0,800
2016-10-25,0,800
2016-10-26,0,800
2016-10-27,0,740
2016-10-28,0,740
2016-10-31,0,740
2016-11-01,0,710
2016-11-02,0,700
2016-11-03,0,700
2016-11-04,0,690
2016-11-07,0,660
2016-11-08,0,680
2016-11-09,0,740
2016-11-10,0,720
2016-11-11,0,740
2016-11-14,0,740
2016-11-15,0,740
2016-11-16,0,800
2016-11-17,0,820
2016-11-18,0,980
2016-11-21,0,1020
2016-11-22,0,1000
2016-11-23,0,1020
2016-11-24,0,1040
2016-11-25,0,1040
2016-11-28,0,1040
2016-11-29,0,1040
2016-11-30,0,1020
2016-12-01,0,1040
2016-12-05,0,1020
2016-12-06,0,1000
2016-12-07,0,940
2016-12-08,0,940
2016-12-09,0,880
2016-12-12,0,920
2016-12-13,13,900
2016-12-14,0,880
2016-12-15,0,880
2016-12-16,0,960
2016-12-19,0,920
2016-12-20,0,900
2016-12-21,0,950
2016-12-22,0,930
2016-12-23,0,900
2016-12-26,0,920
2016-12-27,18.5,920
2016-12-28,0,920
2016-12-29,0,920
2016-12-30,0,900
2017-01-02,0,960
2017-01-03,0,1000
2017-01-04,0,1040
2017-01-05,0,980
2017-01-06,0,940
2017-01-09,0,940
2017-01-10,0,940
2017-01-11,0,1000
2017-01-12,0,1000
2017-01-13,0,1000
2017-01-16,0,1040
2017-01-17,0,1020
2017-01-18,0,1000
2017-01-19,0,980
2017-01-20,31.3,980
2017-01-23,0,1080
2017-01-24,0,1080
2017-01-25,0,1080
2017-01-26,0,1080
2017-01-31,20.2,1080
2017-02-01,0,1020
2017-02-02,0,1040
2017-02-03,0,1020
2017-02-06,0,1020
2017-02-07,0,1020
2017-02-08,0,1020
2017-02-09,0,1020
2017-02-10,0,1020
2017-02-13,0,1020
2017-02-14,0,960
2017-02-15,0,960
2017-02-16,0,960
2017-02-17,0,900
2017-02-20,0,1030
2017-02-21,0,1060
2017-02-22,0,1020
2017-02-23,0,1020
2017-02-24,0,1020
2017-02-27,0,1000
2017-02-28,0,1000
2017-03-02,0,1000
2017-03-03,0,960
2017-03-06,0,960
2017-03-07,0,960
2017-03-08,0,960
2017-03-09,0,960
2017-03-10,0,960
2017-03-13,0,930
2017-03-14,3.8,930
2017-03-15,0,930
2017-03-16,0,950
2017-03-17,0,950
2017-03-20,0,950
2017-03-21,0,950
2017-03-22,0,930
2017-03-23,0,890
2017-03-24,0,930
2017-03-27,0,990
2017-03-28,0,950
2017-03-29,0,930
2017-03-30,0,930
2017-03-31,0,930
2017-04-03,0,930
2017-04-04,0,930
2017-04-05,0,910
2017-04-06,0,870
2017-04-07,0,850
2017-04-10,0,800
2017-04-11,0,840
2017-04-12,0,750
2017-04-13,0,740
2017-04-14,0,740
2017-04-17,0,720
2017-04-18,0,720
2017-04-19,0,740
2017-04-20,0,740
2017-04-21,0,740
2017-04-24,0,740
2017-04-25,0,710
2017-04-26,0,700
2017-04-27,0,700
2017-04-28,0,680
2017-05-02,0,535
2017-05-04,0,550
2017-05-08,0,565
2017-05-10,0,565
2017-05-11,0,400
2017-05-12,0,400
2017-05-15,0,370
2017-05-16,0,380
2017-05-17,0,380
2017-05-18,0,370
2017-05-19,0,390
2017-05-22,0,430
2017-05-23,0,430
2017-05-24,0,430
2017-05-25,0,430
2017-05-26,0,430
2017-05-29,0,350
2017-05-30,0,390
2017-05-31,0,370
2017-06-01,0,360
2017-06-02,0,390
2017-06-05,0,430
2017-06-07,0,520
2017-06-08,0,520
2017-06-09,0,530
2017-06-12,0,470
2017-06-13,0,450
2017-06-14,0,450
2017-06-15,0,440
2017-06-16,0,430
2017-06-19,0,470
2017-06-20,0,470
2017-06-21,0,470
2017-06-22,0,530
2017-06-23,0,580
2017-06-26,0,550
2017-06-27,0,560
2017-06-28,0,560
2017-06-29,0,560
2017-06-30,0,540
2017-07-03,0,600
2017-07-04,0,610
2017-07-05,0,630
2017-07-06,0,580
