date,income,price
2015.0,"317,174.00",554
2016.0,"380,746.00","1,086"
2017.0,"287,772.00",907
2018.0,"83,019.00",928
2019.0,"450,392.70",764
2020.0,"642,776.90","1,187"
2021.0,"66,706.00",894
