,date,sun,price
183,2015-09-25,10.06,1400.0
184,2015-09-30,2.74,1400.0
185,2015-10-01,1.14,1400.0
186,2015-10-02,17.29,1400.0
187,2015-10-05,14.95,1400.0
188,2015-10-06,16.39,1400.0
189,2015-10-07,12.69,1420.0
190,2015-10-08,8.89,1420.0
191,2015-10-12,12.73,1430.0
192,2015-10-13,15.44,1410.0
193,2015-10-14,13.81,1410.0
194,2015-10-15,13.6,1410.0
195,2015-10-16,13.44,1410.0
196,2015-10-19,13.13,1410.0
197,2015-10-20,10.84,1410.0
198,2015-10-21,11.51,1410.0
199,2015-10-22,11.19,1430.0
200,2015-10-23,8.84,1430.0
201,2015-10-26,12.93,1450.0
202,2015-10-27,6.0,1430.0
203,2015-10-28,10.96,1430.0
204,2015-10-29,9.78,1440.0
205,2015-10-30,11.73,1410.0
206,2015-11-02,9.12,1430.0
207,2015-11-03,12.24,1430.0
208,2015-11-04,11.34,1470.0
209,2015-11-05,6.96,1490.0
210,2015-11-06,4.46,1490.0
211,2015-11-09,1.23,1570.0
212,2015-11-10,4.07,1570.0
213,2015-11-11,9.32,1590.0
214,2015-11-12,10.22,1570.0
215,2015-11-13,1.54,1570.0
216,2015-11-16,2.34,1620.0
217,2015-11-17,1.91,1620.0
218,2015-11-18,1.27,1620.0
219,2015-11-19,1.39,1620.0
220,2015-11-20,6.33,1620.0
221,2015-11-23,1.37,1660.0
222,2015-11-24,8.43,1690.0
223,2015-11-25,2.09,1710.0
224,2015-11-26,5.24,1710.0
225,2015-11-27,1.98,1710.0
226,2015-11-30,7.23,1710.0
227,2015-12-01,9.68,1770.0
228,2015-12-02,1.11,1770.0
229,2015-12-03,6.93,1760.0
230,2015-12-07,9.55,1750.0
231,2015-12-08,9.05,1750.0
232,2015-12-09,7.38,1750.0
233,2015-12-10,0.95,1760.0
234,2015-12-11,6.77,1760.0
235,2015-12-14,2.93,1740.0
236,2015-12-15,6.23,1740.0
237,2015-12-16,6.12,1720.0
238,2015-12-17,4.1,1720.0
239,2015-12-18,4.64,1720.0
240,2015-12-21,5.22,1680.0
241,2015-12-22,8.5,1660.0
242,2015-12-23,0.88,1660.0
243,2015-12-24,6.77,1660.0
244,2015-12-28,4.88,1660.0
245,2015-12-29,8.04,1660.0
246,2015-12-30,7.08,1680.0
247,2015-12-31,5.85,1690.0
248,2016-01-05,3.46,1710.0
249,2016-01-06,7.33,1700.0
250,2016-01-07,3.31,1680.0
251,2016-01-08,6.2,1660.0
252,2016-01-11,6.71,1660.0
253,2016-01-12,8.39,1670.0
254,2016-01-13,5.28,1650.0
255,2016-01-14,7.88,1640.0
256,2016-01-15,8.49,1640.0
257,2016-01-18,4.87,1660.0
258,2016-01-19,7.53,1660.0
259,2016-01-20,8.93,1660.0
260,2016-01-21,5.2,1660.0
261,2016-01-22,9.43,1660.0
262,2016-01-25,5.33,1660.0
