,date,snow,price
207,2015-11-03,0,1430
208,2015-11-04,0,1470
209,2015-11-05,0,1490
210,2015-11-06,0,1490
211,2015-11-09,0,1570
212,2015-11-10,0,1570
213,2015-11-11,0,1590
214,2015-11-12,0,1570
215,2015-11-13,0,1570
216,2015-11-16,0,1620
217,2015-11-17,0,1620
218,2015-11-18,0,1620
219,2015-11-19,0,1620
220,2015-11-20,0,1620
221,2015-11-23,0,1660
222,2015-11-24,0,1690
223,2015-11-25,0,1710
224,2015-11-26,0.3,1710
225,2015-11-27,0,1710
226,2015-11-30,0,1710
227,2015-12-01,0,1770
228,2015-12-02,0,1770
229,2015-12-03,0,1760
230,2015-12-07,0,1750
231,2015-12-08,0,1750
232,2015-12-09,0,1750
233,2015-12-10,0,1760
234,2015-12-11,0,1760
235,2015-12-14,0,1740
236,2015-12-15,0,1740
237,2015-12-16,0.2,1720
238,2015-12-17,3.3,1720
239,2015-12-18,0,1720
240,2015-12-21,0,1680
241,2015-12-22,0,1660
242,2015-12-23,0,1660
243,2015-12-24,0,1660
244,2015-12-28,0,1660
245,2015-12-29,0,1660
246,2015-12-30,0,1680
247,2015-12-31,0,1690
248,2016-01-05,0,1710
249,2016-01-06,0,1700
250,2016-01-07,0,1680
251,2016-01-08,0,1660
252,2016-01-11,0,1660
253,2016-01-12,0,1670
254,2016-01-13,0.7,1650
255,2016-01-14,0,1640
256,2016-01-15,0,1640
257,2016-01-18,3.5,1660
258,2016-01-19,6.9,1660
259,2016-01-20,0,1660
260,2016-01-21,0,1660
261,2016-01-22,16.3,1660
262,2016-01-25,11.5,1660
263,2016-01-26,11,1690
264,2016-01-27,0,1710
265,2016-01-28,0,1700
266,2016-01-29,0,1670
267,2016-02-01,0.4,1670
268,2016-02-02,0.2,1650
269,2016-02-03,0,1650
270,2016-02-04,0,1650
271,2016-02-05,0,1650
272,2016-02-11,0,1650
273,2016-02-12,0,1650
274,2016-02-15,2.1,1640
275,2016-02-16,0.3,1640
276,2016-02-17,0,1640
277,2016-02-18,0,1610
278,2016-02-19,0,1610
279,2016-02-22,0,1610
280,2016-02-23,0,1610
281,2016-02-24,0,1610
282,2016-02-25,0,1610
283,2016-02-26,0,1610
284,2016-02-29,0,1610
285,2016-03-02,0,1610
286,2016-03-03,0,1610
287,2016-03-04,0,1610
288,2016-03-07,0,1610
289,2016-03-08,0,1620
290,2016-03-09,0,1620
291,2016-03-10,0,1640
292,2016-03-11,0,1640
293,2016-03-14,0,1630
294,2016-03-15,0,1630
295,2016-03-16,0,1630
296,2016-03-17,0,1610
297,2016-03-18,0,1610
298,2016-03-21,0,1630
299,2016-03-22,0,1630
300,2016-03-23,0,1630
301,2016-03-24,0,1630
302,2016-03-25,0,1600
303,2016-03-28,0,1570
304,2016-03-29,0,1570
305,2016-03-30,0,1540
306,2016-03-31,0,1500
307,2016-04-01,0,1490
308,2016-04-04,0,1510
309,2016-04-05,0,1540
310,2016-04-06,0,1560
311,2016-04-07,0,1580
312,2016-04-08,0,1630
313,2016-04-11,0,1570
314,2016-04-12,0,1550
315,2016-04-14,0,1550
316,2016-04-15,0,1570
317,2016-04-18,0,1590
318,2016-04-19,0,1590
319,2016-04-20,0,1590
320,2016-05-02,0,980
321,2016-05-03,0,840
322,2016-05-04,0,780
323,2016-05-09,0,730
324,2016-05-10,0,730
325,2016-05-11,0,740
326,2016-05-12,0,730
327,2016-05-13,0,700
328,2016-05-16,0,680
329,2016-05-17,0,680
330,2016-05-18,0,680
331,2016-05-19,0,690
332,2016-05-20,0,690
333,2016-05-23,0,690
334,2016-05-24,0,690
335,2016-05-25,0,690
336,2016-05-26,0,730
337,2016-05-27,0,730
338,2016-05-30,0,750
339,2016-05-31,0,750
340,2016-06-01,0,730
341,2016-06-02,0,730
342,2016-06-03,0,730
343,2016-06-07,0,750
344,2016-06-08,0,760
345,2016-06-09,0,760
346,2016-06-10,0,760
347,2016-06-13,0,750
348,2016-06-14,0,750
349,2016-06-15,0,750
350,2016-06-16,0,750
351,2016-06-17,0,740
352,2016-06-20,0,700
353,2016-06-21,0,700
354,2016-06-22,0,700
355,2016-06-23,0,700
356,2016-06-24,0,700
357,2016-06-27,0,690
358,2016-06-28,0,690
359,2016-06-29,0,690
360,2016-06-30,0,690
361,2016-06-01,0,730
362,2016-06-02,0,730
363,2016-06-03,0,730
364,2016-06-07,0,750
365,2016-06-08,0,760
366,2016-06-09,0,760
367,2016-06-10,0,760
368,2016-06-13,0,750
369,2016-06-14,0,750
370,2016-06-15,0,750
371,2016-06-16,0,750
372,2016-06-17,0,740
373,2016-06-20,0,700
374,2016-06-21,0,700
375,2016-06-22,0,700
376,2016-06-23,0,700
377,2016-06-24,0,700
378,2016-06-27,0,690
379,2016-06-28,0,690
380,2016-06-29,0,690
381,2016-06-30,0,690
382,2016-07-01,0,690
383,2016-07-04,0,700
384,2016-07-05,0,700
385,2016-07-06,0,700
386,2016-07-07,0,700
387,2016-07-08,0,680
388,2016-07-11,0,680
389,2016-07-12,0,680
390,2016-07-13,0,690
391,2016-07-14,0,690
392,2016-07-15,0,690
393,2016-07-18,0,700
394,2016-07-19,0,700
395,2016-07-20,0,700
396,2016-07-21,0,700
397,2016-07-22,0,720
398,2016-07-25,0,720
399,2016-07-26,0,740
400,2016-07-27,0,740
401,2016-07-28,0,760
402,2016-07-29,0,760
403,2016-08-01,0,760
404,2016-08-02,0,750
405,2016-08-03,0,780
406,2016-08-04,0,790
407,2016-08-05,0,800
408,2016-08-08,0,810
409,2016-08-09,0,810
410,2016-08-10,0,810
411,2016-08-11,0,810
412,2016-08-12,0,810
413,2016-08-16,0,800
414,2016-08-17,0,800
415,2016-08-18,0,800
416,2016-08-19,0,800
417,2016-08-22,0,830
418,2016-08-23,0,840
419,2016-08-24,0,840
420,2016-08-25,0,840
421,2016-08-26,0,860
422,2016-08-29,0,860
423,2016-08-30,0,880
424,2016-08-31,0,910
425,2016-09-01,0,910
426,2016-09-02,0,910
427,2016-09-05,0,910
428,2016-09-06,0,910
429,2016-09-07,0,920
430,2016-09-08,0,920
431,2016-09-09,0,910
432,2016-09-12,0,910
433,2016-09-13,0,920
434,2016-09-19,0,920
435,2016-09-20,0,920
436,2016-09-21,0,940
437,2016-09-22,0,940
438,2016-09-23,0,940
439,2016-09-26,0,930
440,2016-09-27,0,930
441,2016-09-28,0,920
442,2016-09-29,0,920
443,2016-09-30,0,920
444,2016-10-04,0,920
445,2016-10-05,0,970
446,2016-10-06,0,970
447,2016-10-07,0,970
448,2016-10-10,0,970
449,2016-10-11,0,970
450,2016-10-12,0,970
451,2016-10-13,0,970
452,2016-10-14,0,970
453,2016-10-17,0,970
454,2016-10-18,0,980
