date,illsa,price
2020-01-02,10.96,1189
2020-01-03,10.95,1090
2020-01-06,3.38,1050
2020-01-07,1.07,1110
2020-01-08,3.93,1080
2020-01-09,11.17,1008
2020-01-10,11.92,1008
2020-01-13,12.37,996
2020-01-14,12.09,1016
2020-01-15,13.69,996
2020-01-16,11.79,1016
2020-01-17,4.19,996
2020-01-20,12.48,996
2020-01-21,13.67,996
2020-01-22,6.05,1020
2020-01-23,12.28,1000
2020-01-28,5.64,1025
2020-01-29,5.19,1020
2020-01-30,4.9,1040
2020-01-31,15.0,1000
2020-02-03,14.89,960
2020-02-04,15.67,940
2020-02-05,15.9,940
2020-02-06,16.23,940
2020-02-07,14.9,970
2020-02-10,15.64,960
2020-02-11,15.86,960
2020-02-12,5.39,960
2020-02-13,13.84,960
2020-02-14,14.97,980
2020-02-17,11.34,1020
2020-02-18,18.24,1000
2020-02-19,17.02,1060
2020-02-20,16.79,1020
2020-02-21,10.45,975
2020-02-24,16.12,975
2020-02-25,1.53,1050
2020-02-26,5.76,1025
2020-02-27,16.25,950
2020-02-28,6.02,950
2020-03-02,19.12,950
2020-03-03,14.57,950
2020-03-04,15.8,950
2020-03-05,20.59,975
2020-03-06,19.79,950
2020-03-09,18.77,960
2020-03-10,4.29,1000
2020-03-11,22.15,1000
2020-03-12,21.08,980
2020-03-13,18.93,1000
2020-03-16,19.11,1000
2020-03-17,3.55,960
2020-03-18,23.33,960
2020-03-19,10.33,940
2020-03-20,22.5,920
2020-03-23,22.74,940
2020-03-24,24.23,940
2020-03-25,21.94,940
2020-03-26,19.43,940
2020-03-27,2.54,930
2020-03-30,24.59,1020
2020-03-31,22.32,1000
2020-04-01,4.71,980
2020-04-02,22.15,1020
2020-04-03,25.71,960
2020-04-06,26.2,940
2020-04-07,20.53,940
2020-04-08,26.24,940
2020-04-09,23.68,970
2020-04-10,19.46,970
2020-04-13,24.21,970
2020-04-14,27.12,1010
2020-04-16,23.61,1020
2020-04-17,11.65,1030
2020-04-20,13.07,1030
2020-04-21,24.78,1030
2020-04-22,26.88,1130
2020-04-23,26.87,1190
2020-04-24,28.25,1260
2020-04-27,16.25,1290
2020-04-28,27.66,1460
2020-04-29,26.14,1580
2020-05-04,16.57,1680
2020-05-06,29.02,1420
2020-05-07,23.66,1250
2020-05-08,28.29,1200
2020-05-11,28.56,1121
2020-05-12,26.01,1100
2020-05-13,30.71,1000
2020-05-14,23.79,1000
