날짜,지점,강수량(mm)
2019-01-01,247,0.7
2019-01-02,247,0
2019-01-03,247,
2019-01-04,247,
2019-01-05,247,
2019-01-06,247,
2019-01-07,247,
2019-01-08,247,
2019-01-09,247,
2019-01-10,247,
2019-01-11,247,
2019-01-12,247,6.1
2019-01-13,247,
2019-01-14,247,
2019-01-15,247,
2019-01-16,247,
2019-01-17,247,
2019-01-18,247,
2019-01-19,247,2.2
2019-01-20,247,0.7
2019-01-21,247,
2019-01-22,247,
2019-01-23,247,
2019-01-24,247,
2019-01-25,247,
2019-01-26,247,
2019-01-27,247,
2019-01-28,247,
2019-01-29,247,
2019-01-30,247,
2019-01-31,247,10.5
2019-02-01,247,
2019-02-02,247,
2019-02-03,247,21.5
2019-02-04,247,
2019-02-05,247,
2019-02-06,247,
2019-02-07,247,
2019-02-08,247,
2019-02-09,247,
2019-02-10,247,
2019-02-11,247,
2019-02-12,247,
2019-02-13,247,
2019-02-14,247,
2019-02-15,247,
2019-02-16,247,0.3
2019-02-17,247,
2019-02-18,247,0.4
2019-02-19,247,20.9
2019-02-20,247,
2019-02-21,247,
2019-02-22,247,
2019-02-23,247,
2019-02-24,247,
2019-02-25,247,
2019-02-26,247,
2019-02-27,247,1.7
2019-02-28,247,
2019-03-01,247,
2019-03-02,247,
2019-03-03,247,
2019-03-04,247,
2019-03-05,247,
2019-03-06,247,
2019-03-07,247,
2019-03-08,247,
2019-03-09,247,
2019-03-10,247,6.5
2019-03-11,247,2.5
2019-03-12,247,0.3
2019-03-13,247,
2019-03-14,247,
2019-03-15,247,4
2019-03-16,247,0.2
2019-03-17,247,
2019-03-18,247,
2019-03-19,247,
2019-03-20,247,10.6
2019-03-21,247,0.9
2019-03-22,247,
2019-03-23,247,1.5
2019-03-24,247,
2019-03-25,247,
2019-03-26,247,
2019-03-27,247,
2019-03-28,247,
2019-03-29,247,
2019-03-30,247,1.2
2019-03-31,247,0.1
2019-04-01,247,0.7
2019-04-02,247,
2019-04-03,247,
2019-04-04,247,
2019-04-05,247,
2019-04-06,247,
2019-04-07,247,0
2019-04-08,247,
2019-04-09,247,30.7
2019-04-10,247,1.4
2019-04-11,247,
2019-04-12,247,0
2019-04-13,247,
2019-04-14,247,2
2019-04-15,247,
2019-04-16,247,
2019-04-17,247,
2019-04-18,247,
2019-04-19,247,
2019-04-20,247,
2019-04-21,247,
2019-04-22,247,
2019-04-23,247,3.9
2019-04-24,247,
2019-04-25,247,7.5
2019-04-26,247,1.1
2019-04-27,247,0.1
2019-04-28,247,0.3
2019-04-29,247,32.5
2019-04-30,247,0.3
2019-05-01,247,
2019-05-02,247,
2019-05-03,247,
2019-05-04,247,
2019-05-05,247,
2019-05-06,247,
2019-05-07,247,
2019-05-08,247,
2019-05-09,247,
2019-05-10,247,
2019-05-11,247,
2019-05-12,247,
2019-05-13,247,
2019-05-14,247,0
2019-05-15,247,
2019-05-16,247,
2019-05-17,247,5.9
2019-05-18,247,26.4
2019-05-19,247,1.8
2019-05-20,247,2.9
2019-05-21,247,
2019-05-22,247,
2019-05-23,247,
2019-05-24,247,
2019-05-25,247,
2019-05-26,247,0.3
2019-05-27,247,13.9
2019-05-28,247,
2019-05-29,247,
2019-05-30,247,0
2019-05-31,247,0.5
2019-06-01,247,
2019-06-02,247,
2019-06-03,247,
2019-06-04,247,
2019-06-05,247,
2019-06-06,247,15.6
2019-06-07,247,6.5
2019-06-08,247,
2019-06-09,247,12.6
2019-06-10,247,6.2
2019-06-11,247,16.8
2019-06-12,247,
2019-06-13,247,
2019-06-14,247,13
2019-06-15,247,
2019-06-16,247,
2019-06-17,247,
2019-06-18,247,0
2019-06-19,247,
2019-06-20,247,
2019-06-21,247,
2019-06-22,247,62.6
2019-06-23,247,
2019-06-24,247,
2019-06-25,247,
2019-06-26,247,40.9
2019-06-27,247,1.7
2019-06-28,247,
2019-06-29,247,41.5
2019-06-30,247,0.1
2019-07-01,247,1.6
2019-07-02,247,
2019-07-03,247,
2019-07-04,247,
2019-07-05,247,
2019-07-06,247,
2019-07-07,247,0.4
2019-07-08,247,
2019-07-09,247,
2019-07-10,247,26.1
2019-07-11,247,0.7
2019-07-12,247,
2019-07-13,247,
2019-07-14,247,21.7
2019-07-15,247,144.1
2019-07-16,247,22.8
2019-07-17,247,0.2
2019-07-18,247,12.9
2019-07-19,247,2.3
2019-07-20,247,46
2019-07-21,247,18.6
2019-07-22,247,
2019-07-23,247,0.3
2019-07-24,247,
2019-07-25,247,2.7
2019-07-26,247,1.8
2019-07-27,247,43.1
2019-07-28,247,0.3
2019-07-29,247,
2019-07-30,247,
2019-07-31,247,
2019-08-01,247,0
2019-08-02,247,
2019-08-03,247,0.1
2019-08-04,247,0
2019-08-05,247,
2019-08-06,247,0.2
2019-08-07,247,1.2
2019-08-08,247,0.9
2019-08-09,247,
2019-08-10,247,
2019-08-11,247,0.4
2019-08-12,247,4.5
2019-08-13,247,
2019-08-14,247,
2019-08-15,247,3.7
2019-08-16,247,4.8
2019-08-17,247,5.8
2019-08-18,247,
2019-08-19,247,
2019-08-20,247,
2019-08-21,247,28
2019-08-22,247,53.2
2019-08-23,247,
2019-08-24,247,
2019-08-25,247,0.6
2019-08-26,247,
2019-08-27,247,25.7
2019-08-28,247,1.1
2019-08-29,247,
2019-08-30,247,
2019-08-31,247,
2019-09-01,247,0.2
2019-09-02,247,4.6
2019-09-03,247,20.5
2019-09-04,247,0.9
2019-09-05,247,0.3
2019-09-06,247,0.2
2019-09-07,247,15.6
2019-09-08,247,0.2
2019-09-09,247,3.8
2019-09-10,247,
2019-09-11,247,6.3
2019-09-12,247,1.6
2019-09-13,247,
2019-09-14,247,
2019-09-15,247,
2019-09-16,247,
2019-09-17,247,
2019-09-18,247,
2019-09-19,247,
2019-09-20,247,
2019-09-21,247,62.6
2019-09-22,247,38.6
2019-09-23,247,
2019-09-24,247,
2019-09-25,247,
2019-09-26,247,
2019-09-27,247,
2019-09-28,247,13.7
2019-09-29,247,0.9
2019-09-30,247,
2019-10-01,247,58.9
2019-10-02,247,101.4
2019-10-03,247,12.8
2019-10-04,247,
2019-10-05,247,
2019-10-06,247,
2019-10-07,247,8.5
2019-10-08,247,
2019-10-09,247,
2019-10-10,247,
2019-10-11,247,
2019-10-12,247,
2019-10-13,247,
2019-10-14,247,
2019-10-15,247,
2019-10-16,247,
2019-10-17,247,
2019-10-18,247,0
2019-10-19,247,
2019-10-20,247,
2019-10-21,247,
2019-10-22,247,
2019-10-23,247,
2019-10-24,247,
2019-10-25,247,
2019-10-26,247,
2019-10-27,247,
2019-10-28,247,
2019-10-29,247,0.3
2019-10-30,247,
2019-10-31,247,
2019-11-01,247,
2019-11-02,247,
2019-11-03,247,
2019-11-04,247,
2019-11-05,247,
2019-11-06,247,
2019-11-07,247,
2019-11-08,247,
2019-11-09,247,
2019-11-10,247,10
2019-11-11,247,0.6
2019-11-12,247,
2019-11-13,247,
2019-11-14,247,
2019-11-15,247,
2019-11-16,247,
2019-11-17,247,0.2
2019-11-18,247,15.7
2019-11-19,247,0
2019-11-20,247,
2019-11-21,247,
2019-11-22,247,
2019-11-23,247,
2019-11-24,247,
2019-11-25,247,
2019-11-26,247,
2019-11-27,247,
2019-11-28,247,
2019-11-29,247,
2019-11-30,247,
2019-12-01,247,24.7
2019-12-02,247,0.1
2019-12-03,247,
2019-12-04,247,
2019-12-05,247,
2019-12-06,247,
2019-12-07,247,
2019-12-08,247,
2019-12-09,247,
2019-12-10,247,
2019-12-11,247,0
2019-12-12,247,
2019-12-13,247,
