날짜,지점,강수량(mm)
2018-01-01,247,
2018-01-02,247,0
2018-01-03,247,
2018-01-04,247,
2018-01-05,247,
2018-01-06,247,
2018-01-07,247,1.4
2018-01-08,247,4
2018-01-09,247,4.5
2018-01-10,247,5.6
2018-01-11,247,0
2018-01-12,247,
2018-01-13,247,
2018-01-14,247,
2018-01-15,247,
2018-01-16,247,17.3
2018-01-17,247,5.2
2018-01-18,247,0
2018-01-19,247,
2018-01-20,247,
2018-01-21,247,
2018-01-22,247,3
2018-01-23,247,
2018-01-24,247,
2018-01-25,247,
2018-01-26,247,
2018-01-27,247,
2018-01-28,247,
2018-01-29,247,
2018-01-30,247,
2018-01-31,247,
2018-02-01,247,
2018-02-02,247,
2018-02-03,247,
2018-02-04,247,
2018-02-05,247,
2018-02-06,247,
2018-02-07,247,0.4
2018-02-08,247,
2018-02-09,247,
2018-02-10,247,
2018-02-11,247,2.7
2018-02-12,247,0.9
2018-02-13,247,0.7
2018-02-14,247,
2018-02-15,247,
2018-02-16,247,
2018-02-17,247,
2018-02-18,247,
2018-02-19,247,
2018-02-20,247,
2018-02-21,247,
2018-02-22,247,
2018-02-23,247,0
2018-02-24,247,
2018-02-25,247,
2018-02-26,247,
2018-02-27,247,
2018-02-28,247,16
2018-03-01,247,1.1
2018-03-02,247,
2018-03-03,247,
2018-03-04,247,9.7
2018-03-05,247,6.9
2018-03-06,247,
2018-03-07,247,7.6
2018-03-08,247,17.6
2018-03-09,247,
2018-03-10,247,
2018-03-11,247,
2018-03-12,247,
2018-03-13,247,
2018-03-14,247,
2018-03-15,247,28
2018-03-16,247,
2018-03-17,247,
2018-03-18,247,9.1
2018-03-19,247,17.1
2018-03-20,247,0.8
2018-03-21,247,4.8
2018-03-22,247,
2018-03-23,247,
2018-03-24,247,
2018-03-25,247,
2018-03-26,247,
2018-03-27,247,
2018-03-28,247,
2018-03-29,247,
2018-03-30,247,
2018-03-31,247,
2018-04-01,247,
2018-04-02,247,
2018-04-03,247,
2018-04-04,247,8
2018-04-05,247,17.4
2018-04-06,247,24.9
2018-04-07,247,0.6
2018-04-08,247,1.1
2018-04-09,247,
2018-04-10,247,0.1
2018-04-11,247,13.8
2018-04-12,247,
2018-04-13,247,
2018-04-14,247,36.3
2018-04-15,247,
2018-04-16,247,
2018-04-17,247,
2018-04-18,247,
2018-04-19,247,
2018-04-20,247,
2018-04-21,247,
2018-04-22,247,5.4
2018-04-23,247,44.5
2018-04-24,247,6.1
2018-04-25,247,
2018-04-26,247,
2018-04-27,247,
2018-04-28,247,
2018-04-29,247,
2018-04-30,247,
2018-05-01,247,
2018-05-02,247,3.2
2018-05-03,247,0
2018-05-04,247,
2018-05-05,247,0
2018-05-06,247,13.6
2018-05-07,247,28.7
2018-05-08,247,
2018-05-09,247,
2018-05-10,247,
2018-05-11,247,
2018-05-12,247,12.3
2018-05-13,247,4.8
2018-05-14,247,
2018-05-15,247,0
2018-05-16,247,0.1
2018-05-17,247,
2018-05-18,247,1.1
2018-05-19,247,
2018-05-20,247,
2018-05-21,247,
2018-05-22,247,11.4
2018-05-23,247,15.2
2018-05-24,247,
2018-05-25,247,
2018-05-26,247,
2018-05-27,247,
2018-05-28,247,
2018-05-29,247,
2018-05-30,247,
2018-05-31,247,
2018-06-01,247,
2018-06-02,247,
2018-06-03,247,
2018-06-04,247,
2018-06-05,247,0
2018-06-06,247,
2018-06-07,247,
2018-06-08,247,
2018-06-09,247,0
2018-06-10,247,0
2018-06-11,247,26.4
2018-06-12,247,15.2
2018-06-13,247,
2018-06-14,247,
2018-06-15,247,
2018-06-16,247,
2018-06-17,247,
2018-06-18,247,
2018-06-19,247,1.1
2018-06-20,247,
2018-06-21,247,
2018-06-22,247,
2018-06-23,247,
2018-06-24,247,
2018-06-25,247,
2018-06-26,247,2.8
2018-06-27,247,117.1
2018-06-28,247,49.5
2018-06-29,247,0.8
2018-06-30,247,12.6
2018-07-01,247,54.6
2018-07-02,247,28.2
2018-07-03,247,0.1
2018-07-04,247,
2018-07-05,247,6.9
2018-07-06,247,0.7
2018-07-07,247,
2018-07-08,247,
2018-07-09,247,2.1
2018-07-10,247,
2018-07-11,247,
2018-07-12,247,
2018-07-13,247,
2018-07-14,247,
2018-07-15,247,
2018-07-16,247,
2018-07-17,247,
2018-07-18,247,
2018-07-19,247,
2018-07-20,247,
2018-07-21,247,
2018-07-22,247,
2018-07-23,247,
2018-07-24,247,
2018-07-25,247,
2018-07-26,247,
2018-07-27,247,
2018-07-28,247,7.4
2018-07-29,247,
2018-07-30,247,
2018-07-31,247,
2018-08-01,247,
2018-08-02,247,
2018-08-03,247,
2018-08-04,247,
2018-08-05,247,
2018-08-06,247,
2018-08-07,247,90.7
2018-08-08,247,
2018-08-09,247,
2018-08-10,247,1.8
2018-08-11,247,
2018-08-12,247,
2018-08-13,247,
2018-08-14,247,
2018-08-15,247,0.6
2018-08-16,247,0
2018-08-17,247,
2018-08-18,247,
2018-08-19,247,
2018-08-20,247,
2018-08-21,247,
2018-08-22,247,
2018-08-23,247,32.3
2018-08-24,247,8
2018-08-25,247,
2018-08-26,247,158.9
2018-08-27,247,97.5
2018-08-28,247,0.5
2018-08-29,247,
2018-08-30,247,8.9
2018-08-31,247,37.8
2018-09-01,247,
2018-09-02,247,1.2
2018-09-03,247,4.2
2018-09-04,247,48.5
2018-09-05,247,
2018-09-06,247,0.1
2018-09-07,247,10.3
2018-09-08,247,
2018-09-09,247,
2018-09-10,247,
2018-09-11,247,
2018-09-12,247,
2018-09-13,247,0.9
2018-09-14,247,1.3
2018-09-15,247,3.6
2018-09-16,247,0.3
2018-09-17,247,0.2
2018-09-18,247,
2018-09-19,247,
2018-09-20,247,0.7
2018-09-21,247,20
2018-09-22,247,
2018-09-23,247,
2018-09-24,247,
2018-09-25,247,
2018-09-26,247,
2018-09-27,247,
2018-09-28,247,
2018-09-29,247,
2018-09-30,247,
2018-10-01,247,0.7
2018-10-02,247,
2018-10-03,247,
2018-10-04,247,0.5
2018-10-05,247,30.6
2018-10-06,247,36.7
2018-10-07,247,
2018-10-08,247,
2018-10-09,247,
2018-10-10,247,3.8
2018-10-11,247,
2018-10-12,247,
2018-10-13,247,
2018-10-14,247,
2018-10-15,247,
2018-10-16,247,
2018-10-17,247,
2018-10-18,247,
2018-10-19,247,
2018-10-20,247,
2018-10-21,247,
2018-10-22,247,
2018-10-23,247,0.5
2018-10-24,247,
2018-10-25,247,
2018-10-26,247,7.3
2018-10-27,247,1.8
2018-10-28,247,7.6
2018-10-29,247,0.7
2018-10-30,247,
2018-10-31,247,
2018-11-01,247,
2018-11-02,247,
2018-11-03,247,
2018-11-04,247,
2018-11-05,247,
2018-11-06,247,
2018-11-07,247,3.6
2018-11-08,247,21.1
2018-11-09,247,0.3
2018-11-10,247,0
2018-11-11,247,4.4
2018-11-12,247,1.6
2018-11-13,247,
2018-11-14,247,
2018-11-15,247,
2018-11-16,247,1.2
2018-11-17,247,
2018-11-18,247,
2018-11-19,247,
2018-11-20,247,
2018-11-21,247,
2018-11-22,247,
2018-11-23,247,
2018-11-24,247,5.9
2018-11-25,247,
2018-11-26,247,0
2018-11-27,247,
2018-11-28,247,
2018-11-29,247,
2018-11-30,247,
2018-12-01,247,
2018-12-02,247,
2018-12-03,247,7.7
2018-12-04,247,15.7
2018-12-05,247,
2018-12-06,247,4.6
2018-12-07,247,
2018-12-08,247,
2018-12-09,247,
2018-12-10,247,
2018-12-11,247,1.5
2018-12-12,247,
2018-12-13,247,0.1
2018-12-14,247,
2018-12-15,247,
2018-12-16,247,2.7
2018-12-17,247,0.5
2018-12-18,247,
2018-12-19,247,
2018-12-20,247,
2018-12-21,247,
2018-12-22,247,
2018-12-23,247,3.7
2018-12-24,247,
2018-12-25,247,
2018-12-26,247,
2018-12-27,247,
2018-12-28,247,
2018-12-29,247,0.1
2018-12-30,247,
2018-12-31,247,
,,
,,
,,
,,
,,
,,
,,
