날짜,지점,강수량(mm)
2016-10-17,247,1.5
2016-10-18,247,
2016-10-19,247,
2016-10-20,247,
2016-10-21,247,
2016-10-22,247,
2016-10-23,247,
2016-10-24,247,
2016-10-25,247,10.3
2016-10-26,247,
2016-10-27,247,
2016-10-28,247,3.4
2016-10-29,247,
2016-10-30,247,
2016-10-31,247,0.1
2016-11-01,247,
2016-11-02,247,
2016-11-03,247,0.1
2016-11-04,247,
2016-11-05,247,
2016-11-06,247,
2016-11-07,247,
2016-11-08,247,0.8
2016-11-09,247,
2016-11-10,247,2.9
2016-11-11,247,0.6
2016-11-12,247,
2016-11-13,247,
2016-11-14,247,0.1
2016-11-15,247,
2016-11-16,247,
2016-11-17,247,
2016-11-18,247,5
2016-11-19,247,0.6
2016-11-20,247,
2016-11-21,247,
2016-11-22,247,
2016-11-23,247,
2016-11-24,247,
2016-11-25,247,
2016-11-26,247,5.4
2016-11-27,247,
2016-11-28,247,
2016-11-29,247,
2016-11-30,247,3.6
2016-12-01,247,0.6
2016-12-02,247,
2016-12-03,247,
2016-12-04,247,
2016-12-05,247,
2016-12-06,247,
2016-12-07,247,0.2
2016-12-08,247,0.2
2016-12-09,247,2
2016-12-10,247,
2016-12-11,247,
2016-12-12,247,
2016-12-13,247,
2016-12-14,247,
2016-12-15,247,
2016-12-16,247,
2016-12-17,247,
2016-12-18,247,0.2
2016-12-19,247,3.9
2016-12-20,247,
2016-12-21,247,11.3
2016-12-22,247,12.2
2016-12-23,247,3.3
2016-12-24,247,
2016-12-25,247,
2016-12-26,247,12.5
2016-12-27,247,
2016-12-28,247,
2016-12-29,247,0.3
2016-12-30,247,
2016-12-31,247,
,,
,,
,,
,,
,,
,,
,,
