지점,지점명,일시,일 최심신적설(cm)
146,전주,2020-02-05,.6
146,전주,2020-02-16,2.9
146,전주,2020-02-17,7.5
146,전주,2020-12-25,.4
146,전주,2020-12-29,3.2
146,전주,2020-12-30,2.3
146,전주,2020-12-31,2.4
