지점,지점명,일시,일 최심신적설(cm)
146,전주,2015-01-01,0
146,전주,2015-01-02,1
146,전주,2015-01-29,.5
146,전주,2015-01-30,.8
146,전주,2015-11-26,18.5
146,전주,2015-11-27,1.5
146,전주,2015-12-03,3
146,전주,2015-12-04,2.3
146,전주,2015-12-16,6
146,전주,2015-12-17,0
