지점,지점명,일시,일 최심신적설(cm)
146,전주,2021-01-01,0
146,전주,2021-01-02,.1
146,전주,2021-01-06,7
146,전주,2021-01-07,4.9
146,전주,2021-01-09,0
146,전주,2021-01-12,1.3
146,전주,2021-01-18,6.9
146,전주,2021-01-28,.6
146,전주,2021-02-02,.3
146,전주,2021-02-03,0
146,전주,2021-02-04,1.8
146,전주,2021-02-16,.5
146,전주,2021-02-17,1.4
146,전주,2021-12-17,2.4
146,전주,2021-12-18,1
146,전주,2021-12-19,0
146,전주,2021-12-30,.4
