지점,지점명,일시,일 최심신적설(cm)
146,전주,2016-01-08,0
146,전주,2016-01-13,3.7
146,전주,2016-01-14,.1
146,전주,2016-01-18,5
146,전주,2016-01-19,3.8
146,전주,2016-01-23,8.8
146,전주,2016-01-24,5
146,전주,2016-02-15,1.2
146,전주,2016-02-16,4.2
146,전주,2016-02-17,1.2
146,전주,2016-02-26,1.4
146,전주,2016-12-23,.2
146,전주,2016-12-29,.3
