지점,지점명,일시,일 최심신적설(cm)
146,전주,2017-01-20,2.5
146,전주,2017-01-21,3.5
146,전주,2017-01-22,0
146,전주,2017-03-07,3.5
146,전주,2017-03-08,.6
146,전주,2017-11-23,3.8
146,전주,2017-11-24,.9
146,전주,2017-12-06,.8
146,전주,2017-12-11,1
146,전주,2017-12-26,1.2
