瘤痢,瘤痢疙,老矫,钦拌 老荤樊(MJ/m2)
146,傈林,2015-01-01,11.04
146,傈林,2015-01-02,5.26
146,傈林,2015-01-03,9.95
146,傈林,2015-01-04,6.27
146,傈林,2015-01-05,7.96
146,傈林,2015-01-06,9.35
146,傈林,2015-01-07,11.32
146,傈林,2015-01-08,11.52
146,傈林,2015-01-09,6.26
146,傈林,2015-01-10,12.05
146,傈林,2015-01-11,10.77
146,傈林,2015-01-12,11.59
146,傈林,2015-01-13,9.21
146,傈林,2015-01-14,2.87
146,傈林,2015-01-15,7.15
146,傈林,2015-01-16,.71
146,傈林,2015-01-17,12.32
146,傈林,2015-01-18,12.13
146,傈林,2015-01-19,7.17
146,傈林,2015-01-20,11.7
146,傈林,2015-01-21,2.03
146,傈林,2015-01-22,3.28
146,傈林,2015-01-23,6.92
146,傈林,2015-01-24,8.28
146,傈林,2015-01-25,3.94
146,傈林,2015-01-26,.82
146,傈林,2015-01-27,8.93
146,傈林,2015-01-28,12.92
146,傈林,2015-01-29,3.63
146,傈林,2015-01-30,8.18
146,傈林,2015-01-31,14.45
146,傈林,2015-02-01,14.9
146,傈林,2015-02-02,13.2
146,傈林,2015-02-03,10.72
146,傈林,2015-02-04,6.37
146,傈林,2015-02-05,10.2
146,傈林,2015-02-06,14.13
146,傈林,2015-02-07,7.48
146,傈林,2015-02-08,14.3
146,傈林,2015-02-09,14.82
146,傈林,2015-02-10,11.21
146,傈林,2015-02-11,8.91
146,傈林,2015-02-12,14.48
146,傈林,2015-02-13,15.93
146,傈林,2015-02-14,10.42
146,傈林,2015-02-15,3.49
146,傈林,2015-02-16,1.02
146,傈林,2015-02-17,5.06
146,傈林,2015-02-18,2.83
146,傈林,2015-02-19,15.57
146,傈林,2015-02-20,13.28
146,傈林,2015-02-21,2.21
146,傈林,2015-02-22,6.04
146,傈林,2015-02-23,14.95
146,傈林,2015-02-24,16.77
146,傈林,2015-02-25,7.02
146,傈林,2015-02-26,12.8
146,傈林,2015-02-27,16.37
146,傈林,2015-02-28,6.02
146,傈林,2015-03-01,7.72
146,傈林,2015-03-02,19.78
146,傈林,2015-03-03,7.41
146,傈林,2015-03-04,19.12
146,傈林,2015-03-05,17.31
146,傈林,2015-03-06,18.7
146,傈林,2015-03-07,19.56
146,傈林,2015-03-08,17.81
146,傈林,2015-03-09,16.84
146,傈林,2015-03-10,21.49
146,傈林,2015-03-11,16.12
146,傈林,2015-03-12,20.81
146,傈林,2015-03-13,2.29
146,傈林,2015-03-14,18.99
146,傈林,2015-03-15,18.27
146,傈林,2015-03-16,18.59
146,傈林,2015-03-17,14.51
146,傈林,2015-03-18,1.98
146,傈林,2015-03-19,20.24
146,傈林,2015-03-20,15.71
146,傈林,2015-03-21,19.45
146,傈林,2015-03-22,20.06
146,傈林,2015-03-23,23.28
146,傈林,2015-03-24,23.01
146,傈林,2015-03-25,23.47
146,傈林,2015-03-26,23.51
146,傈林,2015-03-27,17.28
146,傈林,2015-03-28,17.01
146,傈林,2015-03-29,16.19
146,傈林,2015-03-30,21.25
146,傈林,2015-03-31,1.98
146,傈林,2015-04-01,4.5
146,傈林,2015-04-02,16.87
146,傈林,2015-04-03,5.35
146,傈林,2015-04-04,8.88
146,傈林,2015-04-05,3.18
146,傈林,2015-04-06,4.89
146,傈林,2015-04-07,12.63
146,傈林,2015-04-08,14.83
146,傈林,2015-04-09,19.11
146,傈林,2015-04-10,23.2
146,傈林,2015-04-11,23.55
146,傈林,2015-04-12,10.36
146,傈林,2015-04-13,7.39
146,傈林,2015-04-14,14.52
146,傈林,2015-04-15,22.52
146,傈林,2015-04-16,7.81
146,傈林,2015-04-17,25.38
146,傈林,2015-04-18,14.7
146,傈林,2015-04-19,4.75
146,傈林,2015-04-20,2.63
146,傈林,2015-04-21,26.14
146,傈林,2015-04-22,21.81
146,傈林,2015-04-23,22.99
146,傈林,2015-04-24,21.91
146,傈林,2015-04-25,27.38
146,傈林,2015-04-26,25.9
146,傈林,2015-04-27,24.66
146,傈林,2015-04-28,12.23
146,傈林,2015-04-29,9.87
146,傈林,2015-04-30,17.91
146,傈林,2015-05-01,22.5
146,傈林,2015-05-02,20.74
146,傈林,2015-05-03,5.5
146,傈林,2015-05-04,22.39
146,傈林,2015-05-05,29.34
146,傈林,2015-05-06,18.69
146,傈林,2015-05-07,27.1
146,傈林,2015-05-08,16.92
146,傈林,2015-05-09,24.53
146,傈林,2015-05-10,26.35
146,傈林,2015-05-11,12.35
146,傈林,2015-05-12,23.01
146,傈林,2015-05-13,28.01
146,傈林,2015-05-14,23.86
146,傈林,2015-05-15,8.78
146,傈林,2015-05-16,27.25
146,傈林,2015-05-17,23.02
146,傈林,2015-05-18,11.5
146,傈林,2015-05-19,22.05
146,傈林,2015-05-20,29.58
146,傈林,2015-05-21,29.3
146,傈林,2015-05-22,24.86
146,傈林,2015-05-23,17.7
146,傈林,2015-05-24,28.47
146,傈林,2015-05-25,29.17
146,傈林,2015-05-26,29.54
146,傈林,2015-05-27,29.29
146,傈林,2015-05-28,27.41
146,傈林,2015-05-29,27.06
146,傈林,2015-05-30,9.66
146,傈林,2015-05-31,26.97
146,傈林,2015-06-01,24.94
146,傈林,2015-06-02,11.29
146,傈林,2015-06-03,28.18
146,傈林,2015-06-04,25.26
146,傈林,2015-06-05,14.95
146,傈林,2015-06-06,26.96
146,傈林,2015-06-07,26.86
146,傈林,2015-06-08,8.52
146,傈林,2015-06-09,21.38
146,傈林,2015-06-10,24.07
146,傈林,2015-06-11,7.38
146,傈林,2015-06-12,27.59
146,傈林,2015-06-13,18.91
146,傈林,2015-06-14,5.87
146,傈林,2015-06-15,13.85
146,傈林,2015-06-16,18.62
146,傈林,2015-06-17,9.95
146,傈林,2015-06-18,24.38
146,傈林,2015-06-19,23.69
146,傈林,2015-06-20,7.6
146,傈林,2015-06-21,15.99
146,傈林,2015-06-22,19.17
146,傈林,2015-06-23,24.46
146,傈林,2015-06-24,14.39
146,傈林,2015-06-25,11.03
146,傈林,2015-06-26,4.92
146,傈林,2015-06-27,16.43
146,傈林,2015-06-28,24.13
146,傈林,2015-06-29,22.66
146,傈林,2015-06-30,6.16
146,傈林,2015-07-01,20.7
146,傈林,2015-07-02,27.64
146,傈林,2015-07-03,21.62
146,傈林,2015-07-04,28.49
146,傈林,2015-07-05,25.2
146,傈林,2015-07-06,18.52
146,傈林,2015-07-07,6.5
146,傈林,2015-07-08,11.62
146,傈林,2015-07-09,10.34
146,傈林,2015-07-10,26
146,傈林,2015-07-11,15.1
146,傈林,2015-07-12,5.19
146,傈林,2015-07-13,7.98
146,傈林,2015-07-14,24.8
146,傈林,2015-07-15,19.08
146,傈林,2015-07-16,26.62
146,傈林,2015-07-17,22.06
146,傈林,2015-07-18,14.16
146,傈林,2015-07-19,22.22
146,傈林,2015-07-20,13.11
146,傈林,2015-07-21,10.98
146,傈林,2015-07-22,14.27
146,傈林,2015-07-23,6.47
146,傈林,2015-07-24,3.85
146,傈林,2015-07-25,12.89
146,傈林,2015-07-26,26.1
146,傈林,2015-07-27,8.01
146,傈林,2015-07-28,15.11
146,傈林,2015-07-29,15.51
146,傈林,2015-07-30,23.44
146,傈林,2015-07-31,26.87
