瘤痢,瘤痢疙,老矫,钦拌 老荤樊(MJ/m2)
146,傈林,2019-07-06,29.95
146,傈林,2019-07-07,20.23
146,傈林,2019-07-08,24.04
146,傈林,2019-07-09,19.2
146,傈林,2019-07-10,5.5
146,傈林,2019-07-11,7.01
146,傈林,2019-07-12,19.67
146,傈林,2019-07-13,18.92
146,傈林,2019-07-14,26.38
146,傈林,2019-07-15,17
146,傈林,2019-07-16,18.6
146,傈林,2019-07-17,19.32
146,傈林,2019-07-18,13.06
146,傈林,2019-07-19,9.67
146,傈林,2019-07-20,6.63
146,傈林,2019-07-21,6.09
146,傈林,2019-07-22,21.12
146,傈林,2019-07-23,19.27
146,傈林,2019-07-24,9.51
146,傈林,2019-07-25,9.89
146,傈林,2019-07-26,7.67
146,傈林,2019-07-27,8.47
146,傈林,2019-07-28,8.93
146,傈林,2019-07-29,21.55
146,傈林,2019-07-30,19.95
146,傈林,2019-07-31,22.86
146,傈林,2019-08-01,24.01
146,傈林,2019-08-02,25.02
146,傈林,2019-08-03,18.7
146,傈林,2019-08-04,20.35
146,傈林,2019-08-05,20.81
146,傈林,2019-08-06,19.83
146,傈林,2019-08-07,20.85
146,傈林,2019-08-08,13.41
146,傈林,2019-08-09,17.87
146,傈林,2019-08-10,25.09
146,傈林,2019-08-11,20.28
146,傈林,2019-08-12,14.82
146,傈林,2019-08-13,20.09
146,傈林,2019-08-14,18.82
146,傈林,2019-08-15,7.73
146,傈林,2019-08-16,13.78
146,傈林,2019-08-17,19.54
146,傈林,2019-08-18,26.5
146,傈林,2019-08-19,24.45
146,傈林,2019-08-20,17.66
146,傈林,2019-08-21,14.58
146,傈林,2019-08-22,17.27
146,傈林,2019-08-23,16.71
146,傈林,2019-08-24,12.5
146,傈林,2019-08-25,20.88
146,傈林,2019-08-26,24.51
146,傈林,2019-08-27,5.8
146,傈林,2019-08-28,9.16
146,傈林,2019-08-29,10.79
146,傈林,2019-08-30,23.18
146,傈林,2019-08-31,21.27
146,傈林,2019-09-01,14.05
146,傈林,2019-09-02,5.91
146,傈林,2019-09-03,7.65
146,傈林,2019-09-04,9.68
146,傈林,2019-09-05,6.92
146,傈林,2019-09-06,9.41
146,傈林,2019-09-07,10.18
146,傈林,2019-09-08,11.77
146,傈林,2019-09-09,9.39
146,傈林,2019-09-10,20.07
146,傈林,2019-09-11,11.61
146,傈林,2019-09-12,5
146,傈林,2019-09-13,22.66
146,傈林,2019-09-14,14.88
146,傈林,2019-09-15,17.27
146,傈林,2019-09-16,17.61
146,傈林,2019-09-17,23.59
146,傈林,2019-09-18,22.99
146,傈林,2019-09-19,22.96
146,傈林,2019-09-20,7.26
146,傈林,2019-09-21,3.11
146,傈林,2019-09-22,1.64
146,傈林,2019-09-23,20.36
146,傈林,2019-09-24,21.58
146,傈林,2019-09-25,16.12
146,傈林,2019-09-26,12.89
146,傈林,2019-09-27,19.2
146,傈林,2019-09-28,16
146,傈林,2019-09-29,18.23
146,傈林,2019-09-30,19.24
146,傈林,2019-10-01,3.79
146,傈林,2019-10-02,1.83
146,傈林,2019-10-03,13.07
146,傈林,2019-10-04,17.7
146,傈林,2019-10-05,4.71
146,傈林,2019-10-06,13.25
146,傈林,2019-10-07,3.08
146,傈林,2019-10-08,16.12
146,傈林,2019-10-09,20
146,傈林,2019-10-10,14.54
146,傈林,2019-10-11,17.81
146,傈林,2019-10-12,18.81
146,傈林,2019-10-13,18.76
146,傈林,2019-10-14,14.62
146,傈林,2019-10-15,16.81
146,傈林,2019-10-16,17.2
146,傈林,2019-10-17,10.18
146,傈林,2019-10-18,9.16
146,傈林,2019-10-19,14.43
146,傈林,2019-10-20,16.49
146,傈林,2019-10-21,17.1
146,傈林,2019-10-22,16.12
146,傈林,2019-10-23,5.13
146,傈林,2019-10-24,14.15
146,傈林,2019-10-25,13.88
146,傈林,2019-10-26,12.08
146,傈林,2019-10-27,16.54
146,傈林,2019-10-28,15.34
146,傈林,2019-10-29,12.35
146,傈林,2019-10-30,15.48
146,傈林,2019-10-31,15.45
146,傈林,2019-11-01,13.51
146,傈林,2019-11-02,10.48
146,傈林,2019-11-03,13.27
146,傈林,2019-11-04,11.43
146,傈林,2019-11-05,13.28
146,傈林,2019-11-06,13.97
146,傈林,2019-11-07,10.67
146,傈林,2019-11-08,15.2
146,傈林,2019-11-09,14.55
146,傈林,2019-11-10,7.37
146,傈林,2019-11-11,9.93
146,傈林,2019-11-12,12.1
146,傈林,2019-11-13,3.55
146,傈林,2019-11-14,14.47
146,傈林,2019-11-15,12.51
146,傈林,2019-11-16,7.84
146,傈林,2019-11-17,1.64
146,傈林,2019-11-18,4.01
146,傈林,2019-11-19,9.43
146,傈林,2019-11-20,13.59
146,傈林,2019-11-21,10.4
146,傈林,2019-11-22,12.78
146,傈林,2019-11-23,12.04
146,傈林,2019-11-24,10.14
146,傈林,2019-11-25,4.88
146,傈林,2019-11-26,11.42
146,傈林,2019-11-27,5.97
146,傈林,2019-11-28,11.39
146,傈林,2019-11-29,12.93
146,傈林,2019-11-30,11.12
146,傈林,2019-12-01,1.76
146,傈林,2019-12-02,9.64
146,傈林,2019-12-03,9.78
146,傈林,2019-12-04,10.34
146,傈林,2019-12-05,11.7
146,傈林,2019-12-06,12.59
