瘤痢,瘤痢疙,老矫,钦拌 老荤樊(MJ/m2)
146,傈林,2021-01-01,8.93
146,傈林,2021-01-02,10.58
146,傈林,2021-01-03,6.85
146,傈林,2021-01-04,7.28
146,傈林,2021-01-05,7.21
146,傈林,2021-01-06,11.11
146,傈林,2021-01-07,11.07
146,傈林,2021-01-08,11.45
146,傈林,2021-01-09,12
146,傈林,2021-01-10,7.6
146,傈林,2021-01-11,5.12
146,傈林,2021-01-12,9.87
146,傈林,2021-01-13,9.95
146,傈林,2021-01-14,10.14
146,傈林,2021-01-15,4.23
146,傈林,2021-01-16,7.98
146,傈林,2021-01-17,12.32
146,傈林,2021-01-18,7.1
146,傈林,2021-01-19,12.54
146,傈林,2021-01-20,12.2
146,傈林,2021-01-21,4.38
146,傈林,2021-01-22,3.22
146,傈林,2021-01-23,3.71
146,傈林,2021-01-24,11.16
146,傈林,2021-01-25,10.99
146,傈林,2021-01-26,3.16
146,傈林,2021-01-27,12.63
146,傈林,2021-01-28,4.91
146,傈林,2021-01-29,13.45
146,傈林,2021-01-30,7.14
146,傈林,2021-01-31,10.41
146,傈林,2021-02-01,5.44
146,傈林,2021-02-02,14.72
146,傈林,2021-02-03,14.8
146,傈林,2021-02-04,14.93
146,傈林,2021-02-05,12.2
146,傈林,2021-02-06,3.42
146,傈林,2021-02-07,9.88
146,傈林,2021-02-08,15.34
146,傈林,2021-02-09,15.4
146,傈林,2021-02-10,12.87
146,傈林,2021-02-11,10.36
146,傈林,2021-02-12,14.24
146,傈林,2021-02-13,14.82
146,傈林,2021-02-14,6.6
146,傈林,2021-02-15,7.13
146,傈林,2021-02-16,8.78
146,傈林,2021-02-17,11.78
146,傈林,2021-02-18,13.9
146,傈林,2021-02-19,15.83
146,傈林,2021-02-20,13.91
146,傈林,2021-02-21,16.14
146,傈林,2021-02-22,14.7
146,傈林,2021-02-23,15.16
146,傈林,2021-02-24,11.27
146,傈林,2021-02-25,5.28
146,傈林,2021-02-26,16.65
146,傈林,2021-02-27,16.46
146,傈林,2021-02-28,5.03
146,傈林,2021-03-01,2.52
146,傈林,2021-03-02,9.58
146,傈林,2021-03-03,13.85
146,傈林,2021-03-04,5.38
146,傈林,2021-03-05,17.01
146,傈林,2021-03-06,9.7
146,傈林,2021-03-07,9.57
146,傈林,2021-03-08,15.33
146,傈林,2021-03-09,16.37
146,傈林,2021-03-10,18.74
146,傈林,2021-03-11,15.99
146,傈林,2021-03-12,5.06
146,傈林,2021-03-13,18.03
146,傈林,2021-03-14,15.53
146,傈林,2021-03-15,16.7
146,傈林,2021-03-16,19.62
146,傈林,2021-03-17,20.21
146,傈林,2021-03-18,19.75
146,傈林,2021-03-19,15.78
146,傈林,2021-03-20,2.84
146,傈林,2021-03-21,13.22
146,傈林,2021-03-22,21.68
146,傈林,2021-03-23,20.72
146,傈林,2021-03-24,20.61
146,傈林,2021-03-25,21.45
146,傈林,2021-03-26,17.65
146,傈林,2021-03-27,3.25
146,傈林,2021-03-28,3.9
146,傈林,2021-03-29,16.26
146,傈林,2021-03-30,22.61
146,傈林,2021-03-31,21.94
146,傈林,2021-04-01,17.62
146,傈林,2021-04-02,17.11
146,傈林,2021-04-03,2.1
146,傈林,2021-04-04,5.31
146,傈林,2021-04-05,24.64
146,傈林,2021-04-06,21.34
146,傈林,2021-04-07,23.83
146,傈林,2021-04-08,24.11
146,傈林,2021-04-09,23.58
146,傈林,2021-04-10,22.77
146,傈林,2021-04-11,23.22
146,傈林,2021-04-12,3.8
146,傈林,2021-04-13,17.53
146,傈林,2021-04-14,25.71
146,傈林,2021-04-15,22.98
146,傈林,2021-04-16,5.79
146,傈林,2021-04-17,20.2
146,傈林,2021-04-18,24.25
146,傈林,2021-04-19,25.81
146,傈林,2021-04-20,23.77
146,傈林,2021-04-21,22.34
