瘤痢,瘤痢疙,老矫,钦拌 老荤樊(MJ/m2)
146,傈林,2017-01-01,8.75
146,傈林,2017-01-02,4.01
146,傈林,2017-01-03,10.14
146,傈林,2017-01-04,6.37
146,傈林,2017-01-05,5.23
146,傈林,2017-01-06,11.13
146,傈林,2017-01-07,6.83
146,傈林,2017-01-08,9.92
146,傈林,2017-01-09,9.3
146,傈林,2017-01-10,9.39
146,傈林,2017-01-11,9.55
146,傈林,2017-01-12,8
146,傈林,2017-01-13,4.55
146,傈林,2017-01-14,12.66
146,傈林,2017-01-15,13.06
146,傈林,2017-01-16,13.18
146,傈林,2017-01-17,8.66
146,傈林,2017-01-18,8.02
146,傈林,2017-01-19,11.24
146,傈林,2017-01-20,6.51
146,傈林,2017-01-21,7.64
146,傈林,2017-01-22,9.64
146,傈林,2017-01-23,11.27
146,傈林,2017-01-24,13.72
146,傈林,2017-01-25,14.32
146,傈林,2017-01-26,12.81
146,傈林,2017-01-27,13.32
146,傈林,2017-01-28,13.87
146,傈林,2017-01-29,1.61
146,傈林,2017-01-30,9.47
146,傈林,2017-01-31,14.92
146,傈林,2017-02-01,12.38
146,傈林,2017-02-02,15.72
146,傈林,2017-02-03,12.99
146,傈林,2017-02-04,7.69
146,傈林,2017-02-05,1.39
146,傈林,2017-02-06,13.14
146,傈林,2017-02-07,12.84
146,傈林,2017-02-08,7.85
146,傈林,2017-02-09,11.12
146,傈林,2017-02-10,12.15
146,傈林,2017-02-11,12.89
146,傈林,2017-02-12,16.51
146,傈林,2017-02-13,12.12
146,傈林,2017-02-14,16.04
146,傈林,2017-02-15,15.63
146,傈林,2017-02-16,14.59
146,傈林,2017-02-17,10.68
146,傈林,2017-02-18,17.65
146,傈林,2017-02-19,11.77
146,傈林,2017-02-20,14.91
146,傈林,2017-02-21,17.41
146,傈林,2017-02-22,1.09
146,傈林,2017-02-23,12.69
146,傈林,2017-02-24,18.77
146,傈林,2017-02-25,18.56
146,傈林,2017-02-26,17.15
146,傈林,2017-02-27,18.28
146,傈林,2017-02-28,18.62
146,傈林,2017-03-01,10.65
146,傈林,2017-03-02,13.83
146,傈林,2017-03-03,19.45
146,傈林,2017-03-04,19.49
146,傈林,2017-03-05,14.36
146,傈林,2017-03-06,20.9
146,傈林,2017-03-07,17.43
146,傈林,2017-03-08,13.81
146,傈林,2017-03-09,19.46
146,傈林,2017-03-10,21.03
146,傈林,2017-03-11,19.87
146,傈林,2017-03-12,16.99
146,傈林,2017-03-13,17.92
146,傈林,2017-03-14,21.13
146,傈林,2017-03-15,21.13
146,傈林,2017-03-16,18.29
146,傈林,2017-03-17,21.17
146,傈林,2017-03-18,16.42
146,傈林,2017-03-19,20.51
146,傈林,2017-03-20,5.72
146,傈林,2017-03-21,21.85
146,傈林,2017-03-22,18
146,傈林,2017-03-23,15.52
146,傈林,2017-03-24,16.49
146,傈林,2017-03-25,6.82
146,傈林,2017-03-26,14.43
146,傈林,2017-03-27,12.5
146,傈林,2017-03-28,18.23
146,傈林,2017-03-29,16.42
146,傈林,2017-03-30,23.26
146,傈林,2017-03-31,14.47
146,傈林,2017-04-01,14.75
146,傈林,2017-04-02,23.59
146,傈林,2017-04-03,25.09
146,傈林,2017-04-04,22.75
146,傈林,2017-04-05,2.62
146,傈林,2017-04-06,2.63
146,傈林,2017-04-07,22.78
146,傈林,2017-04-08,23.62
146,傈林,2017-04-09,17.5
146,傈林,2017-04-10,23.01
146,傈林,2017-04-11,18.69
146,傈林,2017-04-12,24.69
146,傈林,2017-04-13,23.12
146,傈林,2017-04-14,14.96
146,傈林,2017-04-15,26.2
146,傈林,2017-04-16,23.8
146,傈林,2017-04-17,3.12
146,傈林,2017-04-18,14.95
146,傈林,2017-04-19,26.56
146,傈林,2017-04-20,5.49
146,傈林,2017-04-21,21.44
146,傈林,2017-04-22,24.47
146,傈林,2017-04-23,26.95
146,傈林,2017-04-24,27.92
146,傈林,2017-04-25,17.02
146,傈林,2017-04-26,23.78
146,傈林,2017-04-27,26.42
146,傈林,2017-04-28,27.51
146,傈林,2017-04-29,27.26
146,傈林,2017-04-30,24.87
146,傈林,2017-05-01,26.77
146,傈林,2017-05-02,21.74
146,傈林,2017-05-03,27.31
146,傈林,2017-05-04,18.94
146,傈林,2017-05-05,13.32
146,傈林,2017-05-06,27.18
146,傈林,2017-05-07,27.53
146,傈林,2017-05-08,16.02
146,傈林,2017-05-09,7.47
146,傈林,2017-05-10,8.2
146,傈林,2017-05-11,23.26
146,傈林,2017-05-12,7.16
146,傈林,2017-05-13,19.87
146,傈林,2017-05-14,29.14
146,傈林,2017-05-15,29.03
146,傈林,2017-05-16,24.24
146,傈林,2017-05-17,22.49
146,傈林,2017-05-18,28.19
146,傈林,2017-05-19,29.13
146,傈林,2017-05-20,24.52
146,傈林,2017-05-21,25.32
146,傈林,2017-05-22,29.14
146,傈林,2017-05-23,17.54
146,傈林,2017-05-24,17.85
146,傈林,2017-05-25,29.86
146,傈林,2017-05-26,31.69
146,傈林,2017-05-27,30.32
146,傈林,2017-05-28,27.11
146,傈林,2017-05-29,27.82
146,傈林,2017-05-30,22.64
146,傈林,2017-05-31,14.27
