瘤痢,瘤痢疙,老矫,钦拌 老荤樊(MJ/m2)
146,傈林,2018-01-01,10.96
146,傈林,2018-01-02,5.98
146,傈林,2018-01-03,10.99
146,傈林,2018-01-04,8.16
146,傈林,2018-01-05,10.54
146,傈林,2018-01-06,12.14
146,傈林,2018-01-07,4.32
146,傈林,2018-01-08,1.89
146,傈林,2018-01-09,5.94
146,傈林,2018-01-10,5.41
146,傈林,2018-01-11,4.29
146,傈林,2018-01-12,7.79
146,傈林,2018-01-13,11.6
146,傈林,2018-01-14,10.38
146,傈林,2018-01-15,9.18
146,傈林,2018-01-16,2.68
146,傈林,2018-01-17,4.89
146,傈林,2018-01-18,7.41
146,傈林,2018-01-19,9.58
146,傈林,2018-01-20,11.04
146,傈林,2018-01-21,9.85
146,傈林,2018-01-22,7.52
146,傈林,2018-01-23,12.86
146,傈林,2018-01-24,13.82
146,傈林,2018-01-25,13.06
146,傈林,2018-01-26,14.41
146,傈林,2018-01-27,13.95
146,傈林,2018-01-28,12.76
146,傈林,2018-01-29,12.54
146,傈林,2018-01-30,13.25
146,傈林,2018-01-31,9
146,傈林,2018-02-01,15.27
146,傈林,2018-02-02,12.91
146,傈林,2018-02-03,13.65
146,傈林,2018-02-04,14.8
146,傈林,2018-02-05,12.43
146,傈林,2018-02-06,14.2
146,傈林,2018-02-07,16
146,傈林,2018-02-08,14.81
146,傈林,2018-02-09,13.19
146,傈林,2018-02-10,9.7
146,傈林,2018-02-11,11.06
146,傈林,2018-02-12,11.23
146,傈林,2018-02-13,17.81
146,傈林,2018-02-14,11.02
146,傈林,2018-02-15,14.07
146,傈林,2018-02-16,13.38
146,傈林,2018-02-17,17.15
146,傈林,2018-02-18,10.27
146,傈林,2018-02-19,12.85
146,傈林,2018-02-20,13.1
146,傈林,2018-02-21,13.13
146,傈林,2018-02-22,15.72
146,傈林,2018-02-23,10.09
146,傈林,2018-02-24,12.6
146,傈林,2018-02-25,12.52
146,傈林,2018-02-26,18.86
146,傈林,2018-02-27,15.16
146,傈林,2018-02-28,2.14
146,傈林,2018-03-01,17.79
146,傈林,2018-03-02,19.78
146,傈林,2018-03-03,18.35
146,傈林,2018-03-04,15.33
146,傈林,2018-03-05,8.38
146,傈林,2018-03-06,20.97
146,傈林,2018-03-07,9.75
146,傈林,2018-03-08,3.59
146,傈林,2018-03-09,6.66
146,傈林,2018-03-10,20.04
146,傈林,2018-03-11,19.08
146,傈林,2018-03-12,19.12
146,傈林,2018-03-13,19.4
146,傈林,2018-03-14,18.45
146,傈林,2018-03-15,1.56
146,傈林,2018-03-16,12.41
146,傈林,2018-03-17,20.84
146,傈林,2018-03-18,5.4
146,傈林,2018-03-19,4.01
146,傈林,2018-03-20,13.15
146,傈林,2018-03-21,5.75
146,傈林,2018-03-22,22.64
146,傈林,2018-03-23,22.44
146,傈林,2018-03-24,17.87
146,傈林,2018-03-25,22.29
146,傈林,2018-03-26,22.31
146,傈林,2018-03-27,21.87
146,傈林,2018-03-28,22.45
146,傈林,2018-03-29,15.16
146,傈林,2018-03-30,19.81
146,傈林,2018-03-31,20.87
146,傈林,2018-04-01,9.45
146,傈林,2018-04-02,22.95
146,傈林,2018-04-03,17.4
146,傈林,2018-04-04,4.41
146,傈林,2018-04-05,2.83
146,傈林,2018-04-06,18.08
146,傈林,2018-04-07,23.14
146,傈林,2018-04-08,21.49
146,傈林,2018-04-09,24.21
146,傈林,2018-04-10,22.94
146,傈林,2018-04-11,25.44
146,傈林,2018-04-12,21.89
146,傈林,2018-04-13,9.64
146,傈林,2018-04-14,2.15
146,傈林,2018-04-15,22.38
146,傈林,2018-04-16,24.78
146,傈林,2018-04-17,25.2
146,傈林,2018-04-18,27.61
146,傈林,2018-04-19,25.21
146,傈林,2018-04-20,25.39
146,傈林,2018-04-21,26.03
146,傈林,2018-04-22,10.55
146,傈林,2018-04-23,2.33
146,傈林,2018-04-24,5.85
146,傈林,2018-04-25,26.93
146,傈林,2018-04-26,21.09
146,傈林,2018-04-27,24.6
146,傈林,2018-04-28,27.98
146,傈林,2018-04-29,27.85
146,傈林,2018-04-30,18.87
146,傈林,2018-05-01,20.63
146,傈林,2018-05-02,9.67
146,傈林,2018-05-03,19.16
146,傈林,2018-05-04,29.81
146,傈林,2018-05-05,22.96
146,傈林,2018-05-06,2.72
146,傈林,2018-05-07,11.54
146,傈林,2018-05-08,22.48
146,傈林,2018-05-09,28.79
146,傈林,2018-05-10,25.69
146,傈林,2018-05-11,27.07
146,傈林,2018-05-12,3.05
146,傈林,2018-05-13,16.33
146,傈林,2018-05-14,26.37
146,傈林,2018-05-15,19.99
146,傈林,2018-05-16,7.58
146,傈林,2018-05-17,13.92
146,傈林,2018-05-18,3.18
146,傈林,2018-05-19,15.37
146,傈林,2018-05-20,19.86
146,傈林,2018-05-21,25.17
146,傈林,2018-05-22,17.76
146,傈林,2018-05-23,29.53
146,傈林,2018-05-24,30.14
146,傈林,2018-05-25,22.8
146,傈林,2018-05-26,29.47
146,傈林,2018-05-27,16.24
146,傈林,2018-05-28,23.22
146,傈林,2018-05-29,25.66
146,傈林,2018-05-30,11.47
146,傈林,2018-05-31,28.37
146,傈林,2018-06-01,29.86
146,傈林,2018-06-02,29.91
146,傈林,2018-06-03,27.51
146,傈林,2018-06-04,22.55
146,傈林,2018-06-05,17.59
146,傈林,2018-06-06,25
146,傈林,2018-06-07,25.83
146,傈林,2018-06-08,17.45
