瘤痢,瘤痢疙,老矫,钦拌 老荤樊(MJ/m2)
146,傈林,2016-01-01,7.9
146,傈林,2016-01-02,8.23
146,傈林,2016-01-03,9.88
146,傈林,2016-01-04,9.26
146,傈林,2016-01-05,6.47
146,傈林,2016-01-06,6.04
146,傈林,2016-01-07,8.41
146,傈林,2016-01-08,9.19
146,傈林,2016-01-09,7.77
146,傈林,2016-01-10,8.68
146,傈林,2016-01-11,10.58
146,傈林,2016-01-12,12.22
146,傈林,2016-01-13,1.76
146,傈林,2016-01-14,11.8
146,傈林,2016-01-15,5.86
146,傈林,2016-01-16,10.53
146,傈林,2016-01-17,1.89
146,傈林,2016-01-18,6.18
146,傈林,2016-01-19,6.11
146,傈林,2016-01-20,10.12
146,傈林,2016-01-21,7.99
146,傈林,2016-01-22,11.76
146,傈林,2016-01-23,10.49
146,傈林,2016-01-24,1.67
146,傈林,2016-01-25,8.05
146,傈林,2016-01-26,7.75
146,傈林,2016-01-27,11.97
146,傈林,2016-01-28,2.28
146,傈林,2016-01-29,2.44
146,傈林,2016-01-30,7.81
146,傈林,2016-01-31,8.45
146,傈林,2016-02-01,13.91
146,傈林,2016-02-02,15.35
146,傈林,2016-02-03,14.45
146,傈林,2016-02-04,10.41
146,傈林,2016-02-05,14.54
146,傈林,2016-02-06,11.92
146,傈林,2016-02-07,15.98
146,傈林,2016-02-08,13.45
146,傈林,2016-02-09,16.02
146,傈林,2016-02-10,15.98
146,傈林,2016-02-11,9.49
146,傈林,2016-02-12,1.7
146,傈林,2016-02-13,7.25
146,傈林,2016-02-14,5.59
146,傈林,2016-02-15,15.71
146,傈林,2016-02-16,8.67
146,傈林,2016-02-17,16.7
146,傈林,2016-02-18,13.29
146,傈林,2016-02-19,7.82
146,傈林,2016-02-20,13.51
146,傈林,2016-02-21,15.4
146,傈林,2016-02-22,6.34
146,傈林,2016-02-23,13.17
146,傈林,2016-02-24,14.03
146,傈林,2016-02-25,17.09
146,傈林,2016-02-26,4.62
146,傈林,2016-02-27,14.62
146,傈林,2016-02-28,5.25
146,傈林,2016-02-29,12.11
146,傈林,2016-03-01,18.32
146,傈林,2016-03-02,19.59
146,傈林,2016-03-03,17.98
146,傈林,2016-03-04,2.02
146,傈林,2016-03-05,6.92
146,傈林,2016-03-06,12.04
146,傈林,2016-03-07,10.3
146,傈林,2016-03-08,5.71
