날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2016-01-01,247,0,-5,6.8
2016-01-02,247,3.5,-2.5,11.7
2016-01-03,247,5,0.6,13.7
2016-01-04,247,4.2,-1.1,11.1
2016-01-05,247,0.4,-2.9,5.2
2016-01-06,247,0.6,-5.8,6.2
2016-01-07,247,1.2,-0.4,4.3
2016-01-08,247,-0.2,-2.7,3.1
2016-01-09,247,0.5,-2.4,5.5
2016-01-10,247,1.1,-3.6,7.7
2016-01-11,247,-0.3,-4.3,5
2016-01-12,247,-2.2,-7.9,3.8
2016-01-13,247,-1.6,-4.2,0.8
2016-01-14,247,-1.2,-4.7,3.7
2016-01-15,247,-0.1,-5.7,7.3
2016-01-16,247,1.6,-2.7,9.2
2016-01-17,247,1.6,-1.3,5.2
2016-01-18,247,-1.8,-6,2.4
2016-01-19,247,-7.2,-9.9,-5.2
2016-01-20,247,-7.4,-12.2,-3.1
2016-01-21,247,-5.6,-9,-1.1
2016-01-22,247,-5.5,-12.4,0.5
2016-01-23,247,-7.2,-11,-4.4
2016-01-24,247,-11.2,-13.1,-8.2
2016-01-25,247,-8.6,-17,-1
2016-01-26,247,-2.2,-6.9,2.5
2016-01-27,247,-0.9,-5.1,6.6
2016-01-28,247,0.8,-3.8,3.3
2016-01-29,247,3.9,2.6,5
2016-01-30,247,3.2,-0.9,8.3
2016-01-31,247,-1.5,-4,2.5
2016-02-01,247,-3.5,-6.8,1.3
2016-02-02,247,-4.1,-9.6,2.4
2016-02-03,247,-2.7,-9.1,5
2016-02-04,247,-1.6,-7.6,5.5
2016-02-05,247,-1.7,-7.1,5.3
2016-02-06,247,-2.2,-6.3,2.6
2016-02-07,247,-3.4,-10,5.3
2016-02-08,247,1.4,-7.3,7.6
2016-02-09,247,1.6,-3.3,7.1
2016-02-10,247,2.5,-6,13.2
2016-02-11,247,8.7,-0.6,17.1
2016-02-12,247,11.7,8.1,13.4
2016-02-13,247,14.3,9.9,20.5
2016-02-14,247,0,-3.5,9.9
2016-02-15,247,-3.2,-5.8,-0.1
2016-02-16,247,-0.5,-3.5,2.4
2016-02-17,247,0.3,-4.2,6.3
2016-02-18,247,2.1,-4.2,10.2
2016-02-19,247,4.2,-1.8,11.2
