날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2017-01-01,247,2.2,-3.2,10.7
2017-01-02,247,4,-0.9,11.3
2017-01-03,247,2.2,-2.4,10.1
2017-01-04,247,1.5,-3.9,10.1
2017-01-05,247,4.4,-1.7,9.8
2017-01-06,247,6.8,2.1,12.7
2017-01-07,247,4.3,-1.9,8.9
2017-01-08,247,8.7,5.4,14.3
2017-01-09,247,3.3,-2.3,7.4
2017-01-10,247,0.5,-3.1,5.5
2017-01-11,247,-1.9,-6.4,2.9
2017-01-12,247,-0.3,-4.2,4.9
2017-01-13,247,-3.1,-7.2,2.5
2017-01-14,247,-4.7,-7.4,-1.2
2017-01-15,247,-6.2,-12.7,1.9
2017-01-16,247,-4.3,-10.5,4.6
2017-01-17,247,-2.4,-8.8,5.2
2017-01-18,247,0.3,-5,6.9
2017-01-19,247,-0.4,-6.5,7.9
2017-01-20,247,-2.6,-5.7,-0.4
2017-01-21,247,-3,-9.1,1.4
2017-01-22,247,-3.7,-7.9,-0.4
2017-01-23,247,-7.4,-13.1,-1.5
2017-01-24,247,-4.9,-10.8,1.4
2017-01-25,247,-4.7,-10.6,2.5
2017-01-26,247,-2.6,-10.9,7.2
2017-01-27,247,0.7,-3.8,5
2017-01-28,247,0.9,-7.9,10.9
2017-01-29,247,3.3,1.3,4.8
2017-01-30,247,-1.1,-6.4,4
2017-01-31,247,-2.9,-9.2,4.9
2017-02-01,247,-1.5,-5.9,4.3
2017-02-02,247,-2.6,-9.8,7
2017-02-03,247,0.6,-6.5,8.1
2017-02-04,247,5.2,-1.8,11.9
2017-02-05,247,3.7,0.1,5.3
2017-02-06,247,0.3,-3.8,3.9
2017-02-07,247,-0.2,-4.9,6.6
2017-02-08,247,0.5,-3,5.2
2017-02-09,247,-2.6,-5.3,0.2
2017-02-10,247,-4.7,-8,-1.4
2017-02-11,247,-3.3,-8.3,0.8
2017-02-12,247,-1,-5,5.5
2017-02-13,247,0.9,-7.1,7.9
2017-02-14,247,1.8,-3.3,7.8
2017-02-15,247,1.9,-6.8,12.6
2017-02-16,247,6.3,-5.6,15.2
2017-02-17,247,4.9,-2.9,12
2017-02-18,247,-1.4,-5.8,4.5
2017-02-19,247,3.2,-7.7,10.7
2017-02-20,247,2.8,-3.8,12.3
2017-02-21,247,0.8,-7.3,10.2
2017-02-22,247,4.7,0.5,6.3
2017-02-23,247,0.4,-3.3,4.3
2017-02-24,247,-0.8,-6.6,5.5
2017-02-25,247,1.8,-3.6,9.9
2017-02-26,247,2.5,-3.9,10.3
2017-02-27,247,3.3,-3.8,12.5
2017-02-28,247,4,-4.4,13.5
2017-03-01,247,5.6,-0.9,13.5
2017-03-02,247,1.1,-3.2,4.9
2017-03-03,247,2.8,-5.7,12.7
2017-03-04,247,5.3,-2.3,14.8
2017-03-05,247,5.7,-1.2,15.1
2017-03-06,247,2,-3,7.4
2017-03-07,247,-1.5,-5.3,2.5
2017-03-08,247,0.6,-3.4,4.9
2017-03-09,247,4.6,-2.1,11.3
2017-03-10,247,4.6,-3.4,13.1
2017-03-11,247,6.6,-4,17.7
2017-03-12,247,7.8,-2.1,17.2
2017-03-13,247,7.4,-0.3,14.9
2017-03-14,247,4.2,-1.7,11.1
2017-03-15,247,4,-4.6,13.2
2017-03-16,247,4.7,-2,13.1
2017-03-17,247,6.4,-3.8,17
2017-03-18,247,7.7,0.4,17.2
2017-03-19,247,9.1,-1,19.7
2017-03-20,247,7.1,1.5,13.4
2017-03-21,247,6,0.3,10.8
2017-03-22,247,5.8,-2,13.8
2017-03-23,247,8,2.1,15.3
2017-03-24,247,7.7,-0.3,14.1
2017-03-25,247,5.4,2.3,9
2017-03-26,247,4.9,0.8,10.8
2017-03-27,247,4.5,0.5,11
2017-03-28,247,6.4,-1.9,13.9
2017-03-29,247,7,3.7,9.8
2017-03-30,247,11.1,3.6,19.7
2017-03-31,247,9.9,6.5,15.3
2017-04-01,247,7.5,2.4,14.4
2017-04-02,247,6.8,-0.8,15.3
2017-04-03,247,9.1,-1.5,20.1
2017-04-04,247,13,1.7,22.7
2017-04-05,247,13.4,9.2,16.1
2017-04-06,247,14.2,10.3,16.1
2017-04-07,247,14.7,8.2,24.8
2017-04-08,247,16,8.1,26.3
2017-04-09,247,14.7,11.1,22.8
2017-04-10,247,14.9,10,21.3
2017-04-11,247,11.3,7.1,17.6
2017-04-12,247,10.3,4.3,18.1
2017-04-13,247,10.9,1.3,20.3
2017-04-14,247,13.5,3.6,20
2017-04-15,247,16.9,10.3,25.5
2017-04-16,247,17.8,7.5,29.1
2017-04-17,247,13.8,11.7,16.5
2017-04-18,247,13.4,8.3,22.7
2017-04-19,247,11.6,4.1,18.4
2017-04-20,247,10.9,7.4,16.1
2017-04-21,247,12.6,6.2,21
2017-04-22,247,13.1,5.1,20.9
2017-04-23,247,14.1,5.8,22.4
2017-04-24,247,14.9,5.1,23
2017-04-25,247,16.8,10.6,22.3
2017-04-26,247,14.4,8.8,20.7
2017-04-27,247,11.2,4.3,18.5
2017-04-28,247,13.9,2.5,24.2
2017-04-29,247,16.5,6.5,25.8
2017-04-30,247,18.6,8.5,27.5
2017-05-01,247,18.7,10.7,27.7
2017-05-02,247,17.7,10.4,26.3
2017-05-03,247,18.9,9.1,27.6
2017-05-04,247,19.1,11.4,26.9
2017-05-05,247,17.9,14.9,22.5
2017-05-06,247,15.6,8.6,23.1
2017-05-07,247,15.5,5.9,25.5
2017-05-08,247,16.7,7.5,23.5
2017-05-09,247,13.9,12.4,22.1
2017-05-10,247,14.5,12,18
2017-05-11,247,18.8,11.5,27.9
2017-05-12,247,16.9,13.7,20.2
2017-05-13,247,17.8,11.1,26.1
2017-05-14,247,14.9,8.9,22.9
2017-05-15,247,14.4,6.3,22.3
2017-05-16,247,15.3,8.1,23
2017-05-17,247,16.9,8.2,25.4
2017-05-18,247,18.9,9.9,27.5
2017-05-19,247,19.8,10.8,29.8
2017-05-20,247,19.2,10.5,28.2
2017-05-21,247,19.1,11.8,27.6
2017-05-22,247,20.7,11.5,29
2017-05-23,247,20.2,13.1,26
2017-05-24,247,20.4,16.8,26.5
2017-05-25,247,18.7,10.9,28
2017-05-26,247,14.6,8.4,21.3
2017-05-27,247,17.1,7.8,26.2
2017-05-28,247,20.6,11.6,29.5
2017-05-29,247,22.8,13.9,32.3
2017-05-30,247,21.9,13.8,29.6
2017-05-31,247,20.9,15.5,28.2
2017-06-01,247,20.7,15.2,28.9
2017-06-02,247,18.6,10.8,26.5
2017-06-03,247,18.7,13.5,24.8
2017-06-04,247,19.3,9.8,28
2017-06-05,247,20.8,12.5,29.7
2017-06-06,247,18.3,15.7,22
2017-06-07,247,18.2,15.9,21.3
2017-06-08,247,19.4,15.2,26.3
2017-06-09,247,20.8,12.8,28.5
2017-06-10,247,21.3,14.4,27.3
2017-06-11,247,23.4,19.2,30.2
2017-06-12,247,21.1,17,25.7
2017-06-13,247,18.8,15.2,26.2
2017-06-14,247,19.8,12.7,27.4
2017-06-15,247,21.3,13.3,29.1
2017-06-16,247,23.5,14.9,32.2
2017-06-17,247,23.9,17,32.4
2017-06-18,247,23.7,14.9,33.4
2017-06-19,247,24.2,14.8,33.3
2017-06-20,247,22,17.8,27.3
2017-06-21,247,23.7,17.9,29.9
2017-06-22,247,24.6,17.6,32
2017-06-23,247,25.3,18.6,32.3
2017-06-24,247,23.5,19.5,30.3
2017-06-25,247,24,18.6,30
2017-06-26,247,23.6,19.8,27.8
2017-06-27,247,23.8,19.5,29
2017-06-28,247,24.8,18.5,31.8
2017-06-29,247,24,20.7,28.1
2017-06-30,247,23.9,20.7,29.5
2017-07-01,247,25.9,22.4,30.2
2017-07-02,247,27,23.8,30.1
2017-07-03,247,26.7,23.5,30.7
2017-07-04,247,25.5,23,29.7
2017-07-05,247,26.9,23.4,32.8
2017-07-06,247,25.1,22.6,30.3
2017-07-07,247,26.2,23.4,29.5
2017-07-08,247,25.3,22.1,30.5
2017-07-09,247,26.7,22.5,32.9
2017-07-10,247,27.9,24.6,30.4
2017-07-11,247,26.8,23.5,31.6
2017-07-12,247,28.1,23.7,34
2017-07-13,247,27.3,22.2,33.7
2017-07-14,247,23.7,,31.5
2017-07-15,247,23.4,21,27.1
2017-07-16,247,27.6,23.8,32
2017-07-17,247,25.2,22,30.2
2017-07-18,247,24.7,21.7,28.4
2017-07-19,247,27.6,23.5,33.1
2017-07-20,247,28.1,23.5,33.8
2017-07-21,247,29.4,24.9,34.8
2017-07-22,247,28.8,25.1,33.4
2017-07-23,247,27.9,24.7,30.9
2017-07-24,247,28.7,25.9,32.3
2017-07-25,247,27.9,25.6,33.7
2017-07-26,247,27.2,23.8,32
2017-07-27,247,27,21,33.4
