날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-01-01,247,-3.9,-10.3,2.2
2021-01-02,247,-2.1,-6.9,2
2021-01-03,247,-3,-7.6,2.7
2021-01-04,247,-1.7,-7.8,5.8
2021-01-05,247,-1.7,-6.8,1.7
2021-01-06,247,-4.8,-11,0.3
2021-01-07,247,-10.6,-17.1,-3.2
2021-01-08,247,-13.9,-19.7,-6.9
2021-01-09,247,-12,-18.6,-3.7
2021-01-10,247,-8.7,-15.5,-1.6
2021-01-11,247,-5.2,-8.7,-1.1
2021-01-12,247,-3.7,-10.4,2.1
2021-01-13,247,2,-6.1,10.3
2021-01-14,247,3.8,-2,12.8
2021-01-15,247,6.4,-0.4,14.4
2021-01-16,247,-1.3,-4.6,3.2
2021-01-17,247,-3.5,-7.9,0.9
2021-01-18,247,-1.6,-4.6,4.2
2021-01-19,247,-4.5,-10.4,2.4
2021-01-20,247,-0.7,-9.2,9.4
2021-01-21,247,4.9,0,9.8
2021-01-22,247,7.9,5.3,10.6
2021-01-23,247,9.5,6.6,11.1
2021-01-24,247,8.1,3.5,12
2021-01-25,247,8.3,1.3,14.5
2021-01-26,247,5.5,3.8,7.5
2021-01-27,247,4,-0.5,9.7
2021-01-28,247,-1,-5.9,5.9
2021-01-29,247,-5.3,-9.1,-0.9
2021-01-30,247,-1,-8.2,7.3
2021-01-31,247,3.7,-4.8,11.8
2021-02-01,247,7.4,3.4,10.5
2021-02-02,247,-2,-5.6,3.4
2021-02-03,247,-1.9,-8.4,3.9
2021-02-04,247,-0.3,-4.8,4.3
2021-02-05,247,-0.1,-7,7.9
2021-02-06,247,2.8,-4.3,9.1
2021-02-07,247,5.8,0.5,12.9
2021-02-08,247,-1.3,-5.2,3.1
2021-02-09,247,-1,-8,7.4
2021-02-10,247,1.1,-6.3,10.7
2021-02-11,247,3.7,-2.6,11.6
2021-02-12,247,6.1,-1.2,15.7
2021-02-13,247,7.6,-2.3,18.9
2021-02-14,247,9.8,3.2,17.8
2021-02-15,247,2.8,-2.4,9
2021-02-16,247,-1.2,-6,5.2
2021-02-17,247,-6.4,-7.8,-4
2021-02-18,247,-4.6,-8.3,-1.3
2021-02-19,247,1,-5.4,8.8
2021-02-20,247,6.5,-2.5,17.2
2021-02-21,247,11.5,-0.1,22.3
2021-02-22,247,9.2,1.6,19.7
2021-02-23,247,2.4,-3.5,9.3
2021-02-24,247,2.5,-3.1,10
2021-02-25,247,3.3,-0.5,5.5
2021-02-26,247,9,5.5,13.5
2021-02-27,247,7.9,5.2,12.2
2021-02-28,247,8.3,4.8,12.8
2021-03-01,247,12,5.5,16
2021-03-02,247,3.6,-1.1,8
2021-03-03,247,3.8,-3.6,11.5
2021-03-04,247,5.3,1.3,9.1
2021-03-05,247,9.5,2.1,19.3
2021-03-06,247,8.1,2.2,16.7
2021-03-07,247,7.5,4.3,12.2
2021-03-08,247,7.6,2.8,15.1
2021-03-09,247,8.1,4.2,14.9
2021-03-10,247,9,-0.7,18.8
2021-03-11,247,10.4,2.3,18.5
2021-03-12,247,8.4,6.4,10.7
2021-03-13,247,8,1.4,15.9
2021-03-14,247,7.8,1.3,14.5
2021-03-15,247,10.5,1.5,18
2021-03-16,247,11,3.6,17.8
2021-03-17,247,8.7,-1,19.4
2021-03-18,247,11.1,1.8,20.6
2021-03-19,247,13.5,7.6,20.2
2021-03-20,247,9.1,6.8,12.3
2021-03-21,247,5.6,3.6,9.6
2021-03-22,247,5.5,-0.4,11.3
2021-03-23,247,7.4,-1.3,17
2021-03-24,247,7.7,0.2,15.3
2021-03-25,247,11.6,1.6,21.5
2021-03-26,247,13.2,2.4,24.7
2021-03-27,247,12.6,5.5,17.4
2021-03-28,247,11.5,8.2,14.9
2021-03-29,247,12,7.1,17.7
2021-03-30,247,12.3,6,21.4
2021-03-31,247,13.1,2.2,23.6
2021-04-01,247,15,7.8,21
2021-04-02,247,18.1,12.6,24.1
2021-04-03,247,16.5,15.4,18.4
2021-04-04,247,11.7,9.2,16.1
2021-04-05,247,11.1,5.2,18.2
2021-04-06,247,10.7,3.3,19.5
2021-04-07,247,12.4,3.1,22.7
2021-04-08,247,11.4,5.2,18.9
2021-04-09,247,11,1.4,19.3
2021-04-10,247,12.5,6,19.4
2021-04-11,247,13.4,4.6,22.5
2021-04-12,247,13,10.8,15.5
2021-04-13,247,10.1,4,15.3
2021-04-14,247,8.4,2.4,15.2
2021-04-15,247,9.7,-0.4,18.9
2021-04-16,247,11.1,4,18.1
2021-04-17,247,9.7,3.4,15.9
2021-04-18,247,9.6,3.2,15.9
2021-04-19,247,10.8,0.5,20.7
2021-04-20,247,14.9,2.6,26.3
2021-04-21,247,18.3,9,27.6
2021-04-22,247,19.3,13.2,25.5
2021-04-23,247,19.6,15.4,25.2
2021-04-24,247,19,13.8,26.3
2021-04-25,247,17,8.8,25.5
2021-04-26,247,15.4,10.9,22
2021-04-27,247,14.6,8.8,20.9
2021-04-28,247,16.3,11.1,22.4
2021-04-29,247,16.2,11.3,22.9
2021-04-30,247,14.7,10.9,19.2
2021-05-01,247,9.5,8.2,12.8
2021-05-02,247,11.2,6.7,17.6
2021-05-03,247,14.4,4.9,23.4
2021-05-04,247,16.3,11,20.2
2021-05-05,247,14.2,6.9,20.4
2021-05-06,247,14,3,23.6
2021-05-07,247,13.6,7.2,21.8
2021-05-08,247,15.1,3.8,24.6
2021-05-09,247,15.6,7.9,23.5
2021-05-10,247,15.1,10.7,19.2
2021-05-11,247,17.3,13.1,20.8
2021-05-12,247,21.2,15.9,28.1
2021-05-13,247,22.1,13.1,30.3
2021-05-14,247,22.7,15.9,29.6
2021-05-15,247,21.3,18.2,24.1
2021-05-16,247,,,
2021-05-17,247,,,
2021-05-18,247,17.9,14.3,23.7
2021-05-19,247,19.7,12.1,28
2021-05-20,247,15.9,13.5,19.6
2021-05-21,247,15.6,13.3,19.2
2021-05-22,247,18.8,12,25.6
2021-05-23,247,20.8,12,29.7
2021-05-24,247,19.3,13.4,24.1
2021-05-25,247,15.4,10.5,21.7
2021-05-26,247,17,10.4,24.5
2021-05-27,247,15.5,11.3,22.1
2021-05-28,247,16.6,9.5,24.4
2021-05-29,247,17.9,10.9,24.6
2021-05-30,247,20.2,11.7,28.5
2021-05-31,247,21.2,14.5,28.6
2021-06-01,247,22.2,15.2,29.3
2021-06-02,247,22.1,16.5,28.7
2021-06-03,247,18,15.9,19.9
2021-06-04,247,18.7,13.8,24.9
2021-06-05,247,19.7,10.4,27.8
2021-06-06,247,21.6,15.4,29.1
2021-06-07,247,22.7,14.9,30.2
2021-06-08,247,24.3,16.8,32.3
2021-06-09,247,24.9,17.9,32.1
2021-06-10,247,23.5,18.1,27.8
2021-06-11,247,23.3,18.8,28.9
2021-06-12,247,25,19.9,30.8
2021-06-13,247,24.4,21.3,29.3
2021-06-14,247,23.6,20.1,28.5
2021-06-15,247,20.7,18.8,22.4
2021-06-16,247,21.6,19.8,25.3
2021-06-17,247,21.6,19.1,25.8
2021-06-18,247,21,18.9,23.2
2021-06-19,247,22.2,16.8,29
2021-06-20,247,23.1,16.2,31
2021-06-21,247,22.7,15.4,30
2021-06-22,247,21.8,16.7,29.2
2021-06-23,247,21.3,18.1,27.5
2021-06-24,247,22.4,17.8,27.2
2021-06-25,247,23.2,18.1,29.4
2021-06-26,247,23,19.8,27.8
2021-06-27,247,23.9,17.8,29.6
2021-06-28,247,23.9,21.2,30.1
2021-06-29,247,22.2,19.4,29.2
2021-06-30,247,23,19.1,28.9
2021-07-01,247,24.7,18.9,31.5
2021-07-02,247,25.4,19.9,30.8
2021-07-03,247,23,21.5,25
2021-07-04,247,24.1,21.4,26.9
2021-07-05,247,21.3,20.2,22.6
2021-07-06,247,22.2,21.3,22.9
2021-07-07,247,23.9,22.5,25.6
2021-07-08,247,24.7,22.7,28.5
2021-07-09,247,25.3,22.9,30
2021-07-10,247,25,22.1,31.2
2021-07-11,247,25.8,21.6,31.8
2021-07-12,247,27.5,22.7,33.6
2021-07-13,247,27.6,22.8,33.4
2021-07-14,247,27.5,23.6,31.8
2021-07-15,247,27.1,22.3,33.1
2021-07-16,247,26.1,21.4,32.8
2021-07-17,247,25,20.3,30.9
2021-07-18,247,25.5,20.9,32.2
2021-07-19,247,26,22.6,30.9
2021-07-20,247,26.3,23.7,29.6
2021-07-21,247,27.3,21.8,32.8
2021-07-22,247,27.4,22.6,32
2021-07-23,247,27.8,23.3,33.7
2021-07-24,247,27.5,23.1,32.9
2021-07-25,247,27.2,22.3,33.2
2021-07-26,247,26.9,21.8,33.5
2021-07-27,247,27.4,20.6,33.5
2021-07-28,247,28.2,22.9,34.2
2021-07-29,247,27.9,23.6,32.9
2021-07-30,247,28.1,21.9,34.3
2021-07-31,247,29.1,24.6,34.8
2021-08-01,247,27.2,24.5,33.5
2021-08-02,247,26.8,24,31.9
2021-08-03,247,26.6,23.9,31.5
2021-08-04,247,26.8,21.9,33
2021-08-05,247,27.8,22.6,33.5
2021-08-06,247,27.3,22.7,34.6
2021-08-07,247,27.6,21.6,34.4
2021-08-08,247,26.7,23.6,30.5
2021-08-09,247,26.9,21.4,32.8
2021-08-10,247,25.2,22.1,31.8
2021-08-11,247,25.4,20.6,31.3
2021-08-12,247,24.4,21.1,30.4
2021-08-13,247,25,21,29.9
2021-08-14,247,23.5,21.4,27
2021-08-15,247,25.7,20.5,30.3
2021-08-16,247,25.2,22.3,29.4
2021-08-17,247,25.5,22.2,30.6
2021-08-18,247,23.7,19.2,28.4
2021-08-19,247,22.2,18.7,29.2
2021-08-20,247,23.8,17.7,30.5
2021-08-21,247,23.4,21.4,26.1
2021-08-22,247,24.8,21.4,29.7
2021-08-23,247,22.7,21.7,23.8
2021-08-24,247,24.7,22,27.6
2021-08-25,247,24.4,21.9,28.6
2021-08-26,247,25.2,21.2,31.2
2021-08-27,247,22.3,20.5,29.4
2021-08-28,247,23.9,19.5,29.4
2021-08-29,247,24.2,22,27.3
2021-08-30,247,24.8,21.8,29.7
2021-08-31,247,25.6,22,30.9
2021-09-01,247,24.6,22,27.4
2021-09-02,247,21.7,19.4,24.9
2021-09-03,247,21.5,19.1,23.9
2021-09-04,247,22.4,18,27.1
2021-09-05,247,21.2,18.4,24
2021-09-06,247,19.3,17.8,20.8
2021-09-07,247,21.3,19.4,23.9
2021-09-08,247,21.2,17.6,26.5
2021-09-09,247,21.4,15.9,27.6
2021-09-10,247,20.8,19.3,23.2
2021-09-11,247,23.1,18,29.5
2021-09-12,247,23.9,18.3,30
2021-09-13,247,23.4,19.8,27
2021-09-14,247,21.9,20.8,23.5
2021-09-15,247,22.9,20.1,27.1
2021-09-16,247,22,18.8,25.8
2021-09-17,247,21.6,19.4,24.5
2021-09-18,247,22,18.4,27.9
2021-09-19,247,21.6,16,28.5
2021-09-20,247,22.9,17.7,28
2021-09-21,247,22.6,18.5,25.9
2021-09-22,247,21,17.6,27.2
2021-09-23,247,19.5,14.8,25.8
2021-09-24,247,19.7,12.5,26.2
2021-09-25,247,21,15.9,26.3
2021-09-26,247,21.7,19.4,25.3
2021-09-27,247,21.9,18.6,26.3
2021-09-28,247,21.5,19.3,25.1
2021-09-29,247,21.8,20.3,27.1
2021-09-30,247,22,17.7,28.4
2021-10-01,247,20.9,14.7,28.2
2021-10-02,247,20.5,15.3,27.8
2021-10-03,247,21,14.3,29.8
2021-10-04,247,23.3,16.1,29.7
2021-10-05,247,21.8,16.3,29
2021-10-06,247,21.1,15.2,28.3
2021-10-07,247,20.7,16.2,27
2021-10-08,247,20.8,17.7,24.9
2021-10-09,247,22.7,18.2,29.4
2021-10-10,247,22.5,17.3,29
2021-10-11,247,15.1,13.8,21.1
2021-10-12,247,16.4,15.1,17
2021-10-13,247,18.7,15.8,22.2
2021-10-14,247,19.1,15,25.7
2021-10-15,247,17,12.6,21.2
2021-10-16,247,12.4,6.2,16.4
2021-10-17,247,5.6,0,12.3
2021-10-18,247,8.1,-1.2,17.2
2021-10-19,247,9.7,5.2,16.7
2021-10-20,247,8.1,2.6,15.6
2021-10-21,247,8.4,2.7,16.6
2021-10-22,247,8.6,1.8,15.8
2021-10-23,247,9.4,1.7,18.7
2021-10-24,247,9.7,2.6,19.1
2021-10-25,247,10.1,3.4,18.6
2021-10-26,247,10.2,1.8,19.9
2021-10-27,247,11.6,6.4,19.6
2021-10-28,247,10.7,2.2,21.1
2021-10-29,247,12.1,5.4,19.6
2021-10-30,247,11.3,7.5,16.2
2021-10-31,247,11.5,4.4,20.9
2021-11-01,247,12.2,7.7,19.5
2021-11-02,247,9.2,4.3,16.6
2021-11-03,247,9,2.8,17.4
2021-11-04,247,10.3,4,19.9
2021-11-05,247,10.6,3.8,18.9
2021-11-06,247,12.7,4.5,20.3
2021-11-07,247,14.4,6.5,21.5
2021-11-08,247,10.6,6.3,18.8
2021-11-09,247,6.5,4.3,8.9
2021-11-10,247,5.7,3.7,8.6
2021-11-11,247,6.1,3.8,8.5
2021-11-12,247,4.4,1.8,7.9
2021-11-13,247,6.1,1.2,13.1
2021-11-14,247,6.9,0.9,16
2021-11-15,247,7.1,1.6,15.5
2021-11-16,247,7.5,2,16.2
2021-11-17,247,6.3,-0.5,14.7
2021-11-18,247,7.4,0.8,16
2021-11-19,247,8.2,1.5,17.3
2021-11-20,247,7.7,3.4,16.2
2021-11-21,247,9.3,4.1,14.3
2021-11-22,247,5.1,0.9,10.8
2021-11-23,247,1.8,0.3,3.8
2021-11-24,247,4.7,0.8,10.6
2021-11-25,247,5.6,0,14.3
2021-11-26,247,3.5,-1.8,11.6
2021-11-27,247,3.3,-2.3,11.9
2021-11-28,247,3.8,-3.4,13.5
2021-11-29,247,4.9,-3,15
2021-11-30,247,6,2.2,10.4
2021-12-01,247,0.2,-3.6,2.9
2021-12-02,247,1.3,-5.1,7.2
2021-12-03,247,3.4,0.3,7.7
2021-12-04,247,1.2,-3.4,6.4
2021-12-05,247,2.3,-4.1,10.6
2021-12-06,247,5.6,-0.2,14.1
2021-12-07,247,4.8,-1.2,13.3
2021-12-08,247,4.1,-2.2,13.4
2021-12-09,247,4.2,-2.2,11
2021-12-10,247,6.7,2.7,13.6
2021-12-11,247,5.6,-0.1,12.5
2021-12-12,247,4,-1.7,9.1
2021-12-13,247,-2.1,-6.7,4.3
2021-12-14,247,-0.2,-7.1,7
2021-12-15,247,4.6,-1,12.9
2021-12-16,247,4.5,1.1,9.8
2021-12-17,247,-1.5,-7,5.1
2021-12-18,247,-4.2,-11.6,1.1
2021-12-19,247,0,-3.5,5.2
2021-12-20,247,2.3,-3.1,10.7
2021-12-21,247,3.6,-1.6,12.4
2021-12-22,247,2.1,-3.6,12.1
2021-12-23,247,1.6,-5.3,10.9
2021-12-24,247,1.3,-3.9,9.9
2021-12-25,247,-6.2,-9.8,-1.1
2021-12-26,247,-8.1,-11.8,-3.5
2021-12-27,247,-3.9,-12.5,2.8
2021-12-28,247,1.7,-1,5.2
2021-12-29,247,2.6,-2.3,7.5
2021-12-30,247,-0.3,-2.7,2.9
2021-12-31,247,-4.4,-8.8,-0.3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
