지점,지점명,일시,합계 일사량(MJ/m2)
100,대관령,2020-01-01,11.59
100,대관령,2020-01-02,10.96
100,대관령,2020-01-03,10.95
100,대관령,2020-01-04,11.31
100,대관령,2020-01-05,12.25
100,대관령,2020-01-06,3.38
100,대관령,2020-01-07,1.07
100,대관령,2020-01-08,3.93
100,대관령,2020-01-09,11.17
100,대관령,2020-01-10,11.92
100,대관령,2020-01-11,12.31
100,대관령,2020-01-12,11.84
100,대관령,2020-01-13,12.37
100,대관령,2020-01-14,12.09
100,대관령,2020-01-15,13.69
100,대관령,2020-01-16,11.79
100,대관령,2020-01-17,4.19
100,대관령,2020-01-18,9.62
100,대관령,2020-01-19,6.39
100,대관령,2020-01-20,12.48
100,대관령,2020-01-21,13.67
100,대관령,2020-01-22,6.05
100,대관령,2020-01-23,12.28
100,대관령,2020-01-24,6.83
100,대관령,2020-01-25,8.12
100,대관령,2020-01-26,4.42
100,대관령,2020-01-27,1.63
100,대관령,2020-01-28,5.64
100,대관령,2020-01-29,5.19
100,대관령,2020-01-30,4.9
100,대관령,2020-01-31,15
100,대관령,2020-02-01,14.64
100,대관령,2020-02-02,12.16
100,대관령,2020-02-03,14.89
100,대관령,2020-02-04,15.67
100,대관령,2020-02-05,15.9
100,대관령,2020-02-06,16.23
100,대관령,2020-02-07,14.9
100,대관령,2020-02-08,15.78
100,대관령,2020-02-09,16.79
100,대관령,2020-02-10,15.64
100,대관령,2020-02-11,15.86
100,대관령,2020-02-12,5.39
100,대관령,2020-02-13,13.84
100,대관령,2020-02-14,14.97
100,대관령,2020-02-15,11.64
100,대관령,2020-02-16,4.28
100,대관령,2020-02-17,11.34
100,대관령,2020-02-18,18.24
100,대관령,2020-02-19,17.02
100,대관령,2020-02-20,16.79
100,대관령,2020-02-21,10.45
100,대관령,2020-02-22,7.88
100,대관령,2020-02-23,18.52
100,대관령,2020-02-24,16.12
100,대관령,2020-02-25,1.53
100,대관령,2020-02-26,5.76
100,대관령,2020-02-27,16.25
100,대관령,2020-02-28,6.02
100,대관령,2020-02-29,19.7
100,대관령,2020-03-01,12.58
100,대관령,2020-03-02,19.12
100,대관령,2020-03-03,14.57
100,대관령,2020-03-04,15.8
100,대관령,2020-03-05,20.59
100,대관령,2020-03-06,19.79
100,대관령,2020-03-07,14
100,대관령,2020-03-08,20.93
100,대관령,2020-03-09,18.77
100,대관령,2020-03-10,4.29
100,대관령,2020-03-11,22.15
100,대관령,2020-03-12,21.08
100,대관령,2020-03-13,18.93
100,대관령,2020-03-14,22.4
100,대관령,2020-03-15,15.66
