지점,지점명,일시,합계 일사량(MJ/m2)
100,대관령,2021-07-06,22.01
100,대관령,2021-07-07,18.16
100,대관령,2021-07-08,23.47
100,대관령,2021-07-09,25.23
100,대관령,2021-07-10,17.33
100,대관령,2021-07-11,21.15
100,대관령,2021-07-12,27.59
100,대관령,2021-07-13,26.6
100,대관령,2021-07-14,24.87
100,대관령,2021-07-15,17.01
100,대관령,2021-07-16,26.63
100,대관령,2021-07-17,16.01
100,대관령,2021-07-18,23.17
100,대관령,2021-07-19,19.93
100,대관령,2021-07-20,22
100,대관령,2021-07-21,25.79
100,대관령,2021-07-22,28.6
100,대관령,2021-07-23,29.18
100,대관령,2021-07-24,26.14
100,대관령,2021-07-25,27.99
100,대관령,2021-07-26,28.75
100,대관령,2021-07-27,28.53
100,대관령,2021-07-28,29.83
100,대관령,2021-07-29,22.85
100,대관령,2021-07-30,23.44
100,대관령,2021-07-31,17.73
100,대관령,2021-08-01,14.71
100,대관령,2021-08-02,13.28
100,대관령,2021-08-03,16.46
100,대관령,2021-08-04,25.34
100,대관령,2021-08-05,21.37
100,대관령,2021-08-06,18.03
100,대관령,2021-08-07,20.92
100,대관령,2021-08-08,9.22
100,대관령,2021-08-09,9.91
100,대관령,2021-08-10,18.09
100,대관령,2021-08-11,21.7
100,대관령,2021-08-12,11.73
100,대관령,2021-08-13,10.2
100,대관령,2021-08-14,4.76
100,대관령,2021-08-15,9.89
100,대관령,2021-08-16,15.82
100,대관령,2021-08-17,5.61
100,대관령,2021-08-18,8.26
100,대관령,2021-08-19,8.67
100,대관령,2021-08-20,17.15
100,대관령,2021-08-21,6.7
100,대관령,2021-08-22,9.5
100,대관령,2021-08-23,6.24
100,대관령,2021-08-24,6.06
100,대관령,2021-08-25,5.78
100,대관령,2021-08-26,10.02
100,대관령,2021-08-27,6.57
100,대관령,2021-08-28,15.34
100,대관령,2021-08-29,16.92
100,대관령,2021-08-30,16.64
100,대관령,2021-08-31,4.94
100,대관령,2021-09-01,6.34
100,대관령,2021-09-02,17.79
100,대관령,2021-09-03,23.29
100,대관령,2021-09-04,14.05
100,대관령,2021-09-05,13.36
100,대관령,2021-09-06,8.52
100,대관령,2021-09-07,4.11
100,대관령,2021-09-08,17.37
100,대관령,2021-09-09,20.8
100,대관령,2021-09-10,17.93
100,대관령,2021-09-11,22.74
100,대관령,2021-09-12,18.96
100,대관령,2021-09-13,17.62
100,대관령,2021-09-14,13.81
100,대관령,2021-09-15,7.65
100,대관령,2021-09-16,15.03
100,대관령,2021-09-17,3.9
100,대관령,2021-09-18,19.24
100,대관령,2021-09-19,15.55
100,대관령,2021-09-20,15.21
100,대관령,2021-09-21,8.09
100,대관령,2021-09-22,14.98
100,대관령,2021-09-23,19.03
100,대관령,2021-09-24,6.46
100,대관령,2021-09-25,6.98
100,대관령,2021-09-26,12.79
100,대관령,2021-09-27,10.79
100,대관령,2021-09-28,10.81
100,대관령,2021-09-29,3.44
100,대관령,2021-09-30,19.92
100,대관령,2021-10-01,19.6
100,대관령,2021-10-02,16.04
100,대관령,2021-10-03,19.23
100,대관령,2021-10-04,5.72
100,대관령,2021-10-05,15.62
100,대관령,2021-10-06,3.78
100,대관령,2021-10-07,6.5
100,대관령,2021-10-08,3.51
100,대관령,2021-10-09,4.92
100,대관령,2021-10-10,10.85
100,대관령,2021-10-11,4.44
100,대관령,2021-10-12,4.31
100,대관령,2021-10-13,10.06
100,대관령,2021-10-14,17.65
100,대관령,2021-10-15,2.4
100,대관령,2021-10-16,5.4
100,대관령,2021-10-17,19.25
100,대관령,2021-10-18,17.58
100,대관령,2021-10-19,10.65
100,대관령,2021-10-20,16.52
100,대관령,2021-10-21,11.17
100,대관령,2021-10-22,9.22
100,대관령,2021-10-23,17.21
100,대관령,2021-10-24,17.37
100,대관령,2021-10-25,16.82
100,대관령,2021-10-26,14.79
100,대관령,2021-10-27,15.97
100,대관령,2021-10-28,15.96
100,대관령,2021-10-29,10.98
100,대관령,2021-10-30,11.96
100,대관령,2021-10-31,14.36
100,대관령,2021-11-01,14.16
100,대관령,2021-11-02,6.98
100,대관령,2021-11-03,15.04
100,대관령,2021-11-04,11.24
100,대관령,2021-11-05,13.84
100,대관령,2021-11-06,9.82
100,대관령,2021-11-07,8.5
100,대관령,2021-11-08,2.94
100,대관령,2021-11-09,3.22
100,대관령,2021-11-10,10.27
100,대관령,2021-11-11,12.16
100,대관령,2021-11-12,14.46
100,대관령,2021-11-13,13.7
100,대관령,2021-11-14,8.35
100,대관령,2021-11-15,12.12
100,대관령,2021-11-16,12.66
100,대관령,2021-11-17,12.99
100,대관령,2021-11-18,6.23
100,대관령,2021-11-19,8.85
100,대관령,2021-11-20,9.47
100,대관령,2021-11-21,7.01
100,대관령,2021-11-22,8.92
100,대관령,2021-11-23,12.81
100,대관령,2021-11-24,8.55
100,대관령,2021-11-25,12.02
100,대관령,2021-11-26,11.81
100,대관령,2021-11-27,12.97
100,대관령,2021-11-28,12.97
100,대관령,2021-11-29,10.07
100,대관령,2021-11-30,1.52
100,대관령,2021-12-01,11.66
100,대관령,2021-12-02,10.66
100,대관령,2021-12-03,11.26
100,대관령,2021-12-04,11.66
100,대관령,2021-12-05,11.73
100,대관령,2021-12-06,11.51
100,대관령,2021-12-07,2.7
100,대관령,2021-12-08,11.68
100,대관령,2021-12-09,6.77
100,대관령,2021-12-10,7.14
100,대관령,2021-12-11,8.26
100,대관령,2021-12-12,10.68
100,대관령,2021-12-13,11.85
100,대관령,2021-12-14,8.14
100,대관령,2021-12-15,3.93
100,대관령,2021-12-16,7.36
100,대관령,2021-12-17,11.48
100,대관령,2021-12-18,10.49
100,대관령,2021-12-19,11.27
100,대관령,2021-12-20,6.65
100,대관령,2021-12-21,9.7
100,대관령,2021-12-22,9.68
100,대관령,2021-12-23,10.45
100,대관령,2021-12-24,4.73
100,대관령,2021-12-25,10.92
100,대관령,2021-12-26,11.75
100,대관령,2021-12-27,11.33
100,대관령,2021-12-28,11.18
100,대관령,2021-12-29,2.97
100,대관령,2021-12-30,10.59
100,대관령,2021-12-31,11.78
