지점,지점명,일시,합계 일사량(MJ/m2)
100,대관령,2019-01-01,7.21
100,대관령,2019-01-02,9.26
100,대관령,2019-01-03,9.18
100,대관령,2019-01-04,8.76
100,대관령,2019-01-05,8.68
100,대관령,2019-01-06,8.05
100,대관령,2019-01-07,8.58
100,대관령,2019-01-08,9.22
100,대관령,2019-01-09,8.46
100,대관령,2019-01-10,7.46
100,대관령,2019-01-11,8.49
100,대관령,2019-01-12,3.28
100,대관령,2019-01-13,8.96
100,대관령,2019-01-14,8.03
100,대관령,2019-01-15,5.96
100,대관령,2019-01-16,8.35
100,대관령,2019-01-17,9.68
100,대관령,2019-01-18,10.26
100,대관령,2019-01-19,6.64
100,대관령,2019-01-20,9.79
100,대관령,2019-01-21,8.46
100,대관령,2019-01-22,10.3
100,대관령,2019-01-23,9.67
100,대관령,2019-01-24,10.61
100,대관령,2019-01-25,10.52
100,대관령,2019-01-26,11.1
100,대관령,2019-01-27,11.3
100,대관령,2019-01-28,10.09
100,대관령,2019-01-29,10.68
100,대관령,2019-01-30,9.02
100,대관령,2019-01-31,3.24
100,대관령,2019-02-01,11.71
100,대관령,2019-02-02,10.26
100,대관령,2019-02-03,1.49
100,대관령,2019-02-04,11.52
100,대관령,2019-02-05,10.85
100,대관령,2019-02-06,10.54
100,대관령,2019-02-07,9.55
100,대관령,2019-02-08,10.31
100,대관령,2019-02-09,11.76
100,대관령,2019-02-10,8.68
100,대관령,2019-02-11,13.09
100,대관령,2019-02-12,11.75
100,대관령,2019-02-13,12.34
100,대관령,2019-02-14,6.64
100,대관령,2019-02-15,9.68
100,대관령,2019-02-16,13.03
100,대관령,2019-02-17,14.86
100,대관령,2019-02-18,11.31
100,대관령,2019-02-19,3.18
100,대관령,2019-02-20,10.58
100,대관령,2019-02-21,16.7
100,대관령,2019-02-22,17.23
100,대관령,2019-02-23,10.99
100,대관령,2019-02-24,18.7
100,대관령,2019-02-25,16.09
100,대관령,2019-02-26,18.32
100,대관령,2019-02-27,12.25
100,대관령,2019-02-28,16.18
100,대관령,2019-03-01,18.32
100,대관령,2019-03-02,16.92
100,대관령,2019-03-03,16.71
100,대관령,2019-03-04,14.36
100,대관령,2019-03-05,15.1
100,대관령,2019-03-06,11.16
100,대관령,2019-03-07,10
100,대관령,2019-03-08,20.19
100,대관령,2019-03-09,16.6
100,대관령,2019-03-10,6.02
100,대관령,2019-03-11,13.78
100,대관령,2019-03-12,11.95
100,대관령,2019-03-13,20.01
100,대관령,2019-03-14,18.85
100,대관령,2019-03-15,13.46
100,대관령,2019-03-16,8.89
100,대관령,2019-03-17,20.04
100,대관령,2019-03-18,18.27
100,대관령,2019-03-19,19.45
100,대관령,2019-03-20,8.97
100,대관령,2019-03-21,8.85
100,대관령,2019-03-22,18.54
100,대관령,2019-03-23,17.16
100,대관령,2019-03-24,23.96
100,대관령,2019-03-25,19.96
100,대관령,2019-03-26,22.55
100,대관령,2019-03-27,13
100,대관령,2019-03-28,4.54
100,대관령,2019-03-29,18.32
100,대관령,2019-03-30,14.93
100,대관령,2019-03-31,10.73
100,대관령,2019-04-01,23.44
100,대관령,2019-04-02,21.49
100,대관령,2019-04-03,25.65
100,대관령,2019-04-04,25.43
100,대관령,2019-04-05,20.87
100,대관령,2019-04-06,13.54
100,대관령,2019-04-07,23.17
100,대관령,2019-04-08,25.64
100,대관령,2019-04-09,10.59
100,대관령,2019-04-10,10.74
100,대관령,2019-04-11,15.32
100,대관령,2019-04-12,21.85
100,대관령,2019-04-13,25.51
100,대관령,2019-04-14,11.99
100,대관령,2019-04-15,25.97
100,대관령,2019-04-16,26.92
100,대관령,2019-04-17,27.44
100,대관령,2019-04-18,10.97
100,대관령,2019-04-19,11.8
100,대관령,2019-04-20,27.09
100,대관령,2019-04-21,19.34
100,대관령,2019-04-22,24.03
100,대관령,2019-04-23,19.31
100,대관령,2019-04-24,16.16
100,대관령,2019-04-25,6.29
100,대관령,2019-04-26,4.98
100,대관령,2019-04-27,27.9
100,대관령,2019-04-28,8.76
100,대관령,2019-04-29,10.67
100,대관령,2019-04-30,24.37
100,대관령,2019-05-01,26.63
100,대관령,2019-05-02,29.22
100,대관령,2019-05-03,28.17
100,대관령,2019-05-04,23.27
100,대관령,2019-05-05,23.92
100,대관령,2019-05-06,26.47
100,대관령,2019-05-07,29.8
100,대관령,2019-05-08,26.13
100,대관령,2019-05-09,27.4
100,대관령,2019-05-10,27.17
100,대관령,2019-05-11,23.57
100,대관령,2019-05-12,6.9
100,대관령,2019-05-13,16.68
100,대관령,2019-05-14,26.27
100,대관령,2019-05-15,26.2
100,대관령,2019-05-16,28.85
100,대관령,2019-05-17,18.24
100,대관령,2019-05-18,13.26
100,대관령,2019-05-19,17.89
100,대관령,2019-05-20,24.31
100,대관령,2019-05-21,30.57
100,대관령,2019-05-22,31.2
100,대관령,2019-05-23,31.21
100,대관령,2019-05-24,30.49
100,대관령,2019-05-25,23.6
100,대관령,2019-05-26,28.65
100,대관령,2019-05-27,9.47
100,대관령,2019-05-28,27.19
100,대관령,2019-05-29,30.84
100,대관령,2019-05-30,20.52
100,대관령,2019-05-31,27.78
100,대관령,2019-06-01,26.25
100,대관령,2019-06-02,28.8
100,대관령,2019-06-03,28.49
100,대관령,2019-06-04,28.98
100,대관령,2019-06-05,27.02
100,대관령,2019-06-06,9.7
100,대관령,2019-06-07,4.32
100,대관령,2019-06-08,28.18
100,대관령,2019-06-09,26.56
100,대관령,2019-06-10,7.17
100,대관령,2019-06-11,8.7
100,대관령,2019-06-12,31.72
100,대관령,2019-06-13,31.47
100,대관령,2019-06-14,13
100,대관령,2019-06-15,18.07
100,대관령,2019-06-16,18.85
100,대관령,2019-06-17,28.93
100,대관령,2019-06-18,11.4
100,대관령,2019-06-19,23.98
100,대관령,2019-06-20,29.46
100,대관령,2019-06-21,13.69
100,대관령,2019-06-22,27.97
100,대관령,2019-06-23,21.74
100,대관령,2019-06-24,31.21
100,대관령,2019-06-25,28.24
100,대관령,2019-06-26,14.5
100,대관령,2019-06-27,20.33
100,대관령,2019-06-28,19.79
100,대관령,2019-06-29,13.75
100,대관령,2019-06-30,20.32
100,대관령,2019-07-01,18.62
100,대관령,2019-07-02,28.56
100,대관령,2019-07-03,22.56
100,대관령,2019-07-04,30.37
100,대관령,2019-07-05,28.95
100,대관령,2019-07-06,19.84
100,대관령,2019-07-07,9.53
100,대관령,2019-07-08,6.01
100,대관령,2019-07-09,5.65
100,대관령,2019-07-10,4.96
100,대관령,2019-07-11,8.43
100,대관령,2019-07-12,20.87
100,대관령,2019-07-13,19.73
100,대관령,2019-07-14,10.89
100,대관령,2019-07-15,10.86
100,대관령,2019-07-16,18.41
100,대관령,2019-07-17,15.28
100,대관령,2019-07-18,22.56
100,대관령,2019-07-19,21.11
100,대관령,2019-07-20,4.87
100,대관령,2019-07-21,10.01
100,대관령,2019-07-22,25.85
100,대관령,2019-07-23,22.77
100,대관령,2019-07-24,14.67
100,대관령,2019-07-25,12.79
100,대관령,2019-07-26,4.54
100,대관령,2019-07-27,18.15
100,대관령,2019-07-28,7.82
100,대관령,2019-07-29,11.03
100,대관령,2019-07-30,21.98
100,대관령,2019-07-31,14.79
100,대관령,2019-08-01,22.68
100,대관령,2019-08-02,26.48
100,대관령,2019-08-03,21.2
100,대관령,2019-08-04,23.46
100,대관령,2019-08-05,26.94
100,대관령,2019-08-06,19.5
100,대관령,2019-08-07,6.91
100,대관령,2019-08-08,22.21
100,대관령,2019-08-09,25.64
100,대관령,2019-08-10,16.61
100,대관령,2019-08-11,9.47
100,대관령,2019-08-12,14.23
100,대관령,2019-08-13,19.11
100,대관령,2019-08-14,3.8
100,대관령,2019-08-15,4.63
100,대관령,2019-08-16,16.04
100,대관령,2019-08-17,12.48
100,대관령,2019-08-18,21.24
100,대관령,2019-08-19,21.58
100,대관령,2019-08-20,21.34
100,대관령,2019-08-21,20.29
100,대관령,2019-08-22,21.83
100,대관령,2019-08-23,21.84
100,대관령,2019-08-24,11.89
100,대관령,2019-08-25,19.2
100,대관령,2019-08-26,23.36
100,대관령,2019-08-27,11.99
100,대관령,2019-08-28,18.4
100,대관령,2019-08-29,13.64
100,대관령,2019-08-30,24.92
100,대관령,2019-08-31,21.39
100,대관령,2019-09-01,18.04
100,대관령,2019-09-02,18.56
100,대관령,2019-09-03,4.07
100,대관령,2019-09-04,6.59
100,대관령,2019-09-05,11.6
100,대관령,2019-09-06,10.85
100,대관령,2019-09-07,6.57
100,대관령,2019-09-08,6.85
100,대관령,2019-09-09,10.06
100,대관령,2019-09-10,9.47
100,대관령,2019-09-11,7.86
100,대관령,2019-09-12,6.76
100,대관령,2019-09-13,20.78
100,대관령,2019-09-14,12.61
100,대관령,2019-09-15,6.42
100,대관령,2019-09-16,20.24
100,대관령,2019-09-17,18.84
100,대관령,2019-09-18,20.52
100,대관령,2019-09-19,20.21
100,대관령,2019-09-20,11.08
100,대관령,2019-09-21,3.17
100,대관령,2019-09-22,.75
100,대관령,2019-09-23,6.49
100,대관령,2019-09-24,22.18
100,대관령,2019-09-25,18.35
100,대관령,2019-09-26,14.06
100,대관령,2019-09-27,12.88
100,대관령,2019-09-28,19.74
100,대관령,2019-09-29,19.85
100,대관령,2019-09-30,20.4
100,대관령,2019-10-01,11.28
100,대관령,2019-10-02,3.25
100,대관령,2019-10-03,2.72
100,대관령,2019-10-04,15.81
100,대관령,2019-10-05,2.65
100,대관령,2019-10-06,10.8
100,대관령,2019-10-07,5.4
100,대관령,2019-10-08,17.87
100,대관령,2019-10-09,18.54
100,대관령,2019-10-10,8.7
100,대관령,2019-10-11,15.64
100,대관령,2019-10-12,5.02
100,대관령,2019-10-13,8.64
100,대관령,2019-10-14,11.54
100,대관령,2019-10-15,8.24
100,대관령,2019-10-16,16.31
100,대관령,2019-10-17,9.63
100,대관령,2019-10-18,2.74
100,대관령,2019-10-19,14.32
100,대관령,2019-10-20,16.54
100,대관령,2019-10-21,16.31
100,대관령,2019-10-22,11.93
100,대관령,2019-10-23,6.85
100,대관령,2019-10-24,8.67
100,대관령,2019-10-25,11.61
100,대관령,2019-10-26,14.79
100,대관령,2019-10-27,15.95
100,대관령,2019-10-28,14.68
100,대관령,2019-10-29,15.06
100,대관령,2019-10-30,15.94
100,대관령,2019-10-31,14.65
100,대관령,2019-11-01,14.56
100,대관령,2019-11-02,9.74
100,대관령,2019-11-03,1.71
100,대관령,2019-11-04,11.51
100,대관령,2019-11-05,15.01
100,대관령,2019-11-06,12.78
100,대관령,2019-11-07,13.48
100,대관령,2019-11-08,13.73
100,대관령,2019-11-09,6.38
100,대관령,2019-11-10,7.46
100,대관령,2019-11-11,4.62
100,대관령,2019-11-12,9.02
100,대관령,2019-11-13,7.24
100,대관령,2019-11-14,14.32
100,대관령,2019-11-15,.93
100,대관령,2019-11-16,11.36
100,대관령,2019-11-17,3.4
100,대관령,2019-11-18,9.3
100,대관령,2019-11-19,13.39
100,대관령,2019-11-20,13.18
100,대관령,2019-11-21,10.4
100,대관령,2019-11-22,11.82
100,대관령,2019-11-23,9.97
100,대관령,2019-11-24,11.11
100,대관령,2019-11-25,4.42
100,대관령,2019-11-26,11.86
100,대관령,2019-11-27,10.59
100,대관령,2019-11-28,3.39
100,대관령,2019-11-29,13.48
100,대관령,2019-11-30,9.21
100,대관령,2019-12-01,4.14
100,대관령,2019-12-02,12.02
100,대관령,2019-12-03,10.22
100,대관령,2019-12-04,11.47
100,대관령,2019-12-05,12.23
100,대관령,2019-12-06,12.21
100,대관령,2019-12-07,9.28
100,대관령,2019-12-08,12.99
100,대관령,2019-12-09,10.1
100,대관령,2019-12-10,4.58
100,대관령,2019-12-11,5.07
100,대관령,2019-12-12,11.43
100,대관령,2019-12-13,9.39
100,대관령,2019-12-14,10.77
100,대관령,2019-12-15,10.48
100,대관령,2019-12-16,10.76
100,대관령,2019-12-17,2.57
100,대관령,2019-12-18,5.52
100,대관령,2019-12-19,10.92
100,대관령,2019-12-20,11.32
100,대관령,2019-12-21,6.88
100,대관령,2019-12-22,7.32
100,대관령,2019-12-23,8.64
100,대관령,2019-12-24,11.59
100,대관령,2019-12-25,10.08
100,대관령,2019-12-26,3.5
100,대관령,2019-12-27,11.75
100,대관령,2019-12-28,10.7
100,대관령,2019-12-29,4.36
100,대관령,2019-12-30,7.97
100,대관령,2019-12-31,11.9
