지점,지점명,일시,합계 일사량(MJ/m2)
100,대관령,2016-01-01,10.4
100,대관령,2016-01-02,8.54
100,대관령,2016-01-03,8.42
100,대관령,2016-01-04,9.43
100,대관령,2016-01-05,9.18
100,대관령,2016-01-06,9.93
100,대관령,2016-01-07,10.75
100,대관령,2016-01-08,10.84
100,대관령,2016-01-09,10.7
100,대관령,2016-01-10,9.46
100,대관령,2016-01-11,10.99
100,대관령,2016-01-12,11.68
100,대관령,2016-01-13,10.78
100,대관령,2016-01-14,11.02
100,대관령,2016-01-15,11.49
100,대관령,2016-01-16,7.68
100,대관령,2016-01-17,4.56
100,대관령,2016-01-18,8.96
100,대관령,2016-01-19,11.79
100,대관령,2016-01-20,11
100,대관령,2016-01-21,7.51
100,대관령,2016-01-22,9.58
100,대관령,2016-01-23,12.14
100,대관령,2016-01-24,12.21
100,대관령,2016-01-25,12.58
100,대관령,2016-01-26,10.93
100,대관령,2016-01-27,11.08
100,대관령,2016-01-28,4.46
100,대관령,2016-01-29,2.11
100,대관령,2016-01-30,9.31
100,대관령,2016-01-31,11.68
100,대관령,2016-02-01,13.43
100,대관령,2016-02-02,14.22
100,대관령,2016-02-03,14.9
100,대관령,2016-02-04,13.91
100,대관령,2016-02-05,13.17
100,대관령,2016-02-06,9.1
100,대관령,2016-02-07,15.01
100,대관령,2016-02-08,7.49
100,대관령,2016-02-09,14.72
100,대관령,2016-02-10,14.88
100,대관령,2016-02-11,12.21
100,대관령,2016-02-12,3.29
100,대관령,2016-02-13,6.37
100,대관령,2016-02-14,6.23
100,대관령,2016-02-15,16.67
100,대관령,2016-02-16,12.23
100,대관령,2016-02-17,16.44
100,대관령,2016-02-18,12.94
100,대관령,2016-02-19,9.06
100,대관령,2016-02-20,11.14
100,대관령,2016-02-21,16.35
100,대관령,2016-02-22,8.97
100,대관령,2016-02-23,10.2
100,대관령,2016-02-24,10.06
100,대관령,2016-02-25,13.5
100,대관령,2016-02-26,17.58
100,대관령,2016-02-27,15.23
100,대관령,2016-02-28,4.96
100,대관령,2016-02-29,13.52
100,대관령,2016-03-01,18.87
100,대관령,2016-03-02,15.67
100,대관령,2016-03-03,15.81
100,대관령,2016-03-04,10.06
100,대관령,2016-03-05,8.76
100,대관령,2016-03-06,15.78
100,대관령,2016-03-07,11
100,대관령,2016-03-08,8.93
100,대관령,2016-03-09,9.32
100,대관령,2016-03-10,19.35
100,대관령,2016-03-11,20.35
100,대관령,2016-03-12,17.85
100,대관령,2016-03-13,9.1
100,대관령,2016-03-14,10.33
100,대관령,2016-03-15,20.51
100,대관령,2016-03-16,16.23
100,대관령,2016-03-17,16.58
100,대관령,2016-03-18,12.76
100,대관령,2016-03-19,19.53
100,대관령,2016-03-20,2.66
100,대관령,2016-03-21,19.73
100,대관령,2016-03-22,13.73
100,대관령,2016-03-23,6.6
100,대관령,2016-03-24,10.74
100,대관령,2016-03-25,12.04
100,대관령,2016-03-26,16.02
100,대관령,2016-03-27,16.73
100,대관령,2016-03-28,21.35
100,대관령,2016-03-29,16.51
100,대관령,2016-03-30,21.4
100,대관령,2016-03-31,17.75
100,대관령,2016-04-01,21.27
100,대관령,2016-04-02,19.51
100,대관령,2016-04-03,4.14
100,대관령,2016-04-04,19.36
100,대관령,2016-04-05,23.41
100,대관령,2016-04-06,18.54
100,대관령,2016-04-07,14.44
100,대관령,2016-04-08,22.96
100,대관령,2016-04-09,17.95
100,대관령,2016-04-10,8.06
100,대관령,2016-04-11,19.4
100,대관령,2016-04-12,18.58
100,대관령,2016-04-13,13.79
100,대관령,2016-04-14,22.67
100,대관령,2016-04-15,24.11
100,대관령,2016-04-16,16.12
100,대관령,2016-04-17,10.65
100,대관령,2016-04-18,23.04
100,대관령,2016-04-19,22.31
100,대관령,2016-04-20,18.35
100,대관령,2016-04-21,7.84
100,대관령,2016-04-22,24.32
100,대관령,2016-04-23,20.59
100,대관령,2016-04-24,23.98
100,대관령,2016-04-25,24.58
100,대관령,2016-04-26,20.96
100,대관령,2016-04-27,2.76
100,대관령,2016-04-28,19.58
100,대관령,2016-04-29,24.16
100,대관령,2016-04-30,18.34
100,대관령,2016-05-01,20.64
100,대관령,2016-05-02,25.07
100,대관령,2016-05-03,15.95
100,대관령,2016-05-04,15.72
100,대관령,2016-05-05,22.9
100,대관령,2016-05-06,7.09
100,대관령,2016-05-07,27.12
100,대관령,2016-05-08,23.82
100,대관령,2016-05-09,21.15
100,대관령,2016-05-10,2.95
100,대관령,2016-05-11,23.58
100,대관령,2016-05-12,26.95
100,대관령,2016-05-13,18.37
100,대관령,2016-05-14,27.99
100,대관령,2016-05-15,23.1
100,대관령,2016-05-16,24.45
100,대관령,2016-05-17,28.24
100,대관령,2016-05-18,28.23
100,대관령,2016-05-19,27.76
100,대관령,2016-05-20,28.78
100,대관령,2016-05-21,28.53
100,대관령,2016-05-22,28.15
100,대관령,2016-05-23,24.86
100,대관령,2016-05-24,10.72
100,대관령,2016-05-25,28.52
100,대관령,2016-05-26,10.03
100,대관령,2016-05-27,26.12
100,대관령,2016-05-28,27.98
100,대관령,2016-05-29,18.54
100,대관령,2016-05-30,28.06
100,대관령,2016-05-31,25.1
100,대관령,2016-06-01,29
100,대관령,2016-06-02,28.52
100,대관령,2016-06-03,27.58
100,대관령,2016-06-04,14.35
100,대관령,2016-06-05,28.19
100,대관령,2016-06-06,18.49
100,대관령,2016-06-07,12.4
100,대관령,2016-06-08,18.41
100,대관령,2016-06-09,23.89
100,대관령,2016-06-10,20.51
100,대관령,2016-06-11,23.38
100,대관령,2016-06-12,12.7
100,대관령,2016-06-13,12.26
100,대관령,2016-06-14,23.97
100,대관령,2016-06-15,13.55
100,대관령,2016-06-16,19.2
100,대관령,2016-06-17,26.8
100,대관령,2016-06-18,27.31
100,대관령,2016-06-19,17.43
100,대관령,2016-06-20,21.77
100,대관령,2016-06-21,22.83
100,대관령,2016-06-22,15.6
100,대관령,2016-06-23,23.2
100,대관령,2016-06-24,7
100,대관령,2016-06-25,15.28
100,대관령,2016-06-26,21.37
100,대관령,2016-06-27,17.98
100,대관령,2016-06-28,27.09
100,대관령,2016-06-29,20.76
100,대관령,2016-06-30,20.24
100,대관령,2016-07-01,8.84
100,대관령,2016-07-02,16.71
100,대관령,2016-07-03,10.97
100,대관령,2016-07-04,3.15
100,대관령,2016-07-05,5.25
100,대관령,2016-07-06,11.25
100,대관령,2016-07-07,15.25
100,대관령,2016-07-08,27.84
100,대관령,2016-07-09,28.27
100,대관령,2016-07-10,23.06
100,대관령,2016-07-11,21.12
100,대관령,2016-07-12,5.87
100,대관령,2016-07-13,12.68
100,대관령,2016-07-14,8.88
100,대관령,2016-07-15,14.34
100,대관령,2016-07-16,3.43
100,대관령,2016-07-17,17.08
100,대관령,2016-07-18,25.02
100,대관령,2016-07-19,22.45
100,대관령,2016-07-20,13.98
100,대관령,2016-07-21,18.69
100,대관령,2016-07-22,27.09
100,대관령,2016-07-23,14.41
100,대관령,2016-07-24,7.16
100,대관령,2016-07-25,16.42
100,대관령,2016-07-26,22.22
100,대관령,2016-07-27,10.31
100,대관령,2016-07-28,18.95
100,대관령,2016-07-29,8.05
100,대관령,2016-07-30,23.27
100,대관령,2016-07-31,15.64
100,대관령,2016-08-01,19.78
100,대관령,2016-08-02,11.39
100,대관령,2016-08-03,22.94
100,대관령,2016-08-04,25.82
100,대관령,2016-08-05,26.34
100,대관령,2016-08-06,25.63
100,대관령,2016-08-07,17.79
100,대관령,2016-08-08,20.04
100,대관령,2016-08-09,19.23
100,대관령,2016-08-10,22.36
100,대관령,2016-08-11,23.09
100,대관령,2016-08-12,24.45
100,대관령,2016-08-13,23.54
100,대관령,2016-08-14,16.49
100,대관령,2016-08-15,20.28
100,대관령,2016-08-16,22.69
100,대관령,2016-08-17,18.33
100,대관령,2016-08-18,15.83
100,대관령,2016-08-19,11.42
100,대관령,2016-08-20,22.41
100,대관령,2016-08-21,15.32
100,대관령,2016-08-22,19.21
100,대관령,2016-08-23,21.51
100,대관령,2016-08-24,14.18
100,대관령,2016-08-25,20.35
100,대관령,2016-08-26,12.67
100,대관령,2016-08-27,9.54
100,대관령,2016-08-28,2.89
100,대관령,2016-08-29,3.93
100,대관령,2016-08-30,6.72
100,대관령,2016-08-31,4.71
100,대관령,2016-09-01,19.82
100,대관령,2016-09-02,4.14
100,대관령,2016-09-03,6.36
100,대관령,2016-09-04,6.62
100,대관령,2016-09-05,12.1
100,대관령,2016-09-06,16.4
100,대관령,2016-09-07,14.07
100,대관령,2016-09-08,13.12
100,대관령,2016-09-09,14.63
100,대관령,2016-09-10,14.27
100,대관령,2016-09-11,8.39
