date,uga,price
2021-01-04,52.49,755
2021-01-05,50.5,795
2021-01-06,53.51,829
2021-01-07,54.52,811
2021-01-08,54.58,751
2021-01-11,55.33,749
2021-01-12,55.71,801
2021-01-13,56.44,809
2021-01-14,55.7,799
2021-01-15,55.39,779
2021-01-18,54.19,721
2021-01-19,55.19,696
2021-01-20,56.24,676
2021-01-21,55.49,676
2021-01-22,55.2,670
2021-01-25,55.41,655
2021-01-26,55.32,641
2021-01-27,55.74,641
2021-01-28,54.77,645
2021-01-29,54.65,620
2021-02-01,55.0,622
2021-02-02,56.77,592
2021-02-03,57.64,559
2021-02-04,58.36,575
2021-02-05,58.94,549
2021-02-08,59.8,555
2021-02-09,60.49,549
2021-02-10,60.39,522
2021-02-15,62.48,472
2021-02-16,62.3,467
2021-02-17,62.8,493
2021-02-18,63.26,507
2021-02-19,60.83,502
2021-02-22,61.28,502
2021-02-23,63.54,502
2021-02-24,62.89,459
2021-02-25,65.39,447
2021-02-26,64.29,445
2021-03-02,61.41,459
2021-03-03,61.44,453
2021-03-04,63.11,463
2021-03-05,66.37,473
2021-03-08,68.32,463
2021-03-09,66.4,429
2021-03-10,65.3,439
2021-03-11,66.82,445
2021-03-12,67.9,429
2021-03-15,68.25,422
2021-03-16,66.46,432
2021-03-17,66.57,459
2021-03-18,65.29,492
2021-03-19,62.2,492
2021-03-22,63.18,463
2021-03-23,63.0,463
2021-03-24,60.98,453
2021-03-25,62.43,413
2021-03-26,62.07,403
2021-03-29,63.11,423
2021-03-30,63.9,443
2021-03-31,63.36,433
2021-04-01,61.51,443
2021-04-02,61.6,492
2021-04-05,61.91,492
2021-04-06,61.34,492
2021-04-07,60.88,473
2021-04-08,61.24,453
2021-04-09,60.94,463
2021-04-12,61.1,473
2021-04-13,61.58,463
2021-04-14,62.56,463
2021-04-15,64.17,507
2021-04-16,65.12,496
2021-04-19,64.83,466
2021-04-20,65.74,461
2021-04-21,63.71,461
2021-04-22,62.25,471
2021-04-23,62.93,471
2021-04-26,62.37,502
2021-04-27,63.27,522
2021-04-28,63.57,493
2021-04-29,65.1,493
2021-04-30,65.27,493
2021-05-03,64.38,493
2021-05-04,65.83,512
2021-05-06,67.17,492
2021-05-07,65.9,492
2021-05-10,66.74,512
2021-05-11,65.54,502
2021-05-12,66.56,502
2021-05-13,65.37,512
2021-05-14,65.26,492
2021-05-17,67.17,492
2021-05-18,68.41,463
2021-05-20,65.03,453
2021-05-21,63.25,453
2021-05-24,66.26,476
2021-05-25,67.37,472
2021-05-26,66.835,453
2021-05-27,66.41,453
2021-05-28,67.41,453
2021-05-31,67.94,439
2021-06-01,69.1,428
2021-06-02,69.21,409
2021-06-03,69.97,490
2021-06-04,70.1,487
2021-06-07,70.03,535
2021-06-08,69.34,540
2021-06-09,71.14,540
2021-06-10,70.71,545
2021-06-11,71.18,565
2021-06-14,72.01,507
2021-06-15,71.79,468
2021-06-16,72.78,458
2021-06-17,72.35,458
2021-06-18,70.98,487
2021-06-21,71.79,537
2021-06-22,72.52,517
2021-06-23,73.43,527
2021-06-24,73.73,527
2021-06-25,73.46,507
2021-06-28,73.88,492
2021-06-29,72.85,548
2021-06-30,72.87,548
2021-07-01,73.85,552
2021-07-02,74.09,572
2021-07-05,74.68,752
2021-07-06,75.88,732
2021-07-07,73.29,792
2021-07-08,70.63,792
2021-07-09,73.03,752
2021-07-12,73.54,703
2021-07-13,74.36,559
2021-07-14,74.72,522
2021-07-15,72.23,473
2021-07-16,72.18,498
2021-07-19,71.68,566
2021-07-20,71.565,582
2021-07-21,68.67,546
2021-07-22,71.43,510
2021-07-23,72.25,516
2021-07-26,71.59,572
2021-07-27,73.02,612
2021-07-28,72.82,746
2021-07-29,73.68,686
2021-07-30,73.9,700
2021-08-02,73.28,762
2021-08-03,71.88,788
2021-08-04,71.37,736
2021-08-05,68.8,782
2021-08-06,70.72,762
2021-08-09,69.935,746
2021-08-10,68.91,764
2021-08-11,69.77,768
2021-08-12,70.52,692
2021-08-13,70.03,648
2021-08-17,68.45,578
2021-08-18,68.58,586
2021-08-19,65.35,638
2021-08-20,65.37,636
2021-08-23,66.09,624
2021-08-24,68.7,602
2021-08-25,69.69,639
2021-08-26,70.11,599
2021-08-27,70.76,559
2021-08-30,71.13,599
2021-08-31,71.19,592
2021-09-01,70.43,612
2021-09-02,69.74,650
2021-09-03,71.26,635
2021-09-06,69.99,587
2021-09-07,70.35,589
2021-09-08,69.78,604
2021-09-09,70.65,584
2021-09-10,70.85,533
2021-09-13,71.73,541
2021-09-14,72.29,516
2021-09-15,72.26,542
2021-09-16,73.09,623
2021-09-17,73.06,605
2021-09-23,74.11,605
2021-09-24,74.77,640
2021-09-27,76.17,518
2021-09-28,77.34,438
2021-09-29,75.7,439
2021-09-30,75.92,480
2021-10-01,75.68,453
2021-10-05,79.57,437
2021-10-06,80.55,448
2021-10-07,77.41,505
2021-10-08,81.23,546
2021-10-12,82.07,484
2021-10-13,81.43,449
2021-10-14,82.28,431
2021-10-15,82.99,411
2021-10-18,83.89,421
2021-10-19,83.03,596
2021-10-20,82.56,716
2021-10-21,83.12,636
2021-10-22,82.57,638
2021-10-25,84.37,544
2021-10-26,83.94,534
2021-10-27,83.46,570
2021-10-28,81.91,597
2021-10-29,82.57,602
2021-11-01,81.99,584
2021-11-02,83.31,573
2021-11-03,81.89,592
2021-11-04,81.555,581
2021-11-05,79.48,556
2021-11-08,81.99,572
2021-11-09,82.24,660
2021-11-10,83.97,684
2021-11-11,81.83,712
2021-11-12,81.57,748
2021-11-15,80.89,664
2021-11-16,81.96,637
2021-11-17,81.01,586
2021-11-18,78.66,590
2021-11-19,80.89,566
2021-11-22,78.42,572
2021-11-23,78.47,630
2021-11-24,81.86,597
2021-11-25,81.44,614
2021-11-26,77.38,604
2021-11-29,75.17,606
2021-11-30,71.88,612
2021-12-01,71.13,574
2021-12-02,69.13,596
2021-12-06,70.12,578
2021-12-07,73.22,574
2021-12-08,73.83,568
2021-12-09,74.48,566
2021-12-10,72.73,545
