date,uga,price
2020-01-02,65.69,1345
2020-01-03,67.79,1390
2020-01-06,69.65,1355
2020-01-07,68.34,1290
2020-01-08,69.24,1205
2020-01-09,66.17,1120
2020-01-10,65.93,1095
2020-01-13,65.68,1170
2020-01-14,64.78,1140
2020-01-15,64.61,1170
2020-01-16,64.74,1130
2020-01-17,65.1,1070
2020-01-20,65.24,1005
2020-01-21,64.27,955
2020-01-22,64.26,970
2020-01-23,62.77,960
2020-01-28,58.57,925
2020-01-29,59.37,840
2020-01-30,57.76,860
2020-01-31,58.45,810
2020-02-03,55.23,710
2020-02-04,53.99,690
2020-02-05,53.57,620
2020-02-06,55.18,600
2020-02-07,54.37,590
2020-02-10,53.33,560
2020-02-11,53.03,630
2020-02-12,54.23,645
2020-02-13,54.54,595
2020-02-14,55.23,605
2020-02-17,55.98,605
2020-02-18,55.11,605
2020-02-19,56.39,605
2020-02-20,56.92,605
2020-02-21,56.41,613
2020-02-24,54.64,575
2020-02-25,54.48,538
2020-02-26,52.28,525
2020-02-27,50.62,525
2020-02-28,49.05,513
2020-03-02,50.58,513
2020-03-03,51.72,575
2020-03-04,50.81,563
2020-03-05,50.78,575
2020-03-06,48.58,550
2020-03-09,32.87,520
2020-03-10,34.18,520
2020-03-11,34.58,480
2020-03-12,32.69,490
2020-03-13,33.93,510
2020-03-16,31.49,510
2020-03-17,30.83,510
2020-03-18,28.26,510
2020-03-19,25.82,510
2020-03-20,28.67,450
2020-03-23,24.6,490
2020-03-24,26.64,490
2020-03-25,27.05,490
2020-03-26,25.74,560
2020-03-27,25.04,550
2020-03-30,23.24,505
2020-03-31,23.43,510
2020-04-01,21.23,510
2020-04-02,21.55,485
2020-04-03,24.51,490
2020-04-06,24.87,490
2020-04-07,24.88,490
2020-04-08,23.52,440
2020-04-09,23.32,450
2020-04-10,22.76,450
2020-04-13,22.31,460
2020-04-14,21.66,540
2020-04-16,19.72,540
2020-04-17,20.61,535
2020-04-20,20.78,525
2020-04-21,17.37,540
2020-04-22,13.52,550
