date,place,gangsu,price
2018-11-05,100.0,,810
2018-11-06,100.0,,830
2018-11-07,100.0,3.9,810
2018-11-08,100.0,39.7,820
2018-11-09,100.0,2.1,820
2018-11-12,100.0,1.2,760
2018-11-13,100.0,0.0,760
2018-11-14,100.0,,780
2018-11-15,100.0,,780
2018-11-16,100.0,,720
2018-11-19,100.0,,740
2018-11-20,100.0,,720
2018-11-21,100.0,0.8,720
2018-11-22,100.0,,700
2018-11-23,100.0,,750
2018-11-26,100.0,,700
2018-11-27,100.0,,640
2018-11-28,100.0,,660
2018-11-29,100.0,,660
2018-11-30,100.0,,680
2018-12-03,100.0,4.4,663
2018-12-04,100.0,11.1,650
2018-12-05,100.0,,657
2018-12-06,100.0,3.7,670
2018-12-10,100.0,,697
2018-12-11,100.0,1.7,697
2018-12-12,100.0,,697
2018-12-13,100.0,0.1,697
2018-12-14,100.0,,647
2018-12-17,100.0,0.0,610
2018-12-18,100.0,0.0,570
2018-12-19,100.0,,560
2018-12-20,100.0,,560
2018-12-21,100.0,,560
2018-12-24,100.0,,560
2018-12-26,100.0,,580
2018-12-27,100.0,,547
2018-12-28,100.0,,547
2018-12-31,100.0,,553
