date,place,gangsu,price
2016-01-04,100.0,,440
2016-01-05,100.0,,450
2016-01-06,100.0,,450
2016-01-07,100.0,,455
2016-01-08,100.0,,455
2016-01-11,100.0,,470
2016-01-12,100.0,,470
2016-01-13,100.0,0.0,470
2016-01-14,100.0,0.0,480
2016-01-15,100.0,0.0,480
2016-01-18,100.0,0.0,510
2016-01-19,100.0,,530
2016-01-20,100.0,,570
2016-01-21,100.0,,580
2016-01-22,100.0,,630
2016-01-25,100.0,,690
2016-01-26,100.0,,670
2016-01-27,100.0,,740
2016-01-28,100.0,,740
2016-01-29,100.0,2.6,760
2016-02-01,100.0,,710
2016-02-02,100.0,,700
2016-02-03,100.0,,710
2016-02-04,100.0,,710
2016-02-05,100.0,,720
2016-02-11,100.0,,700
2016-02-12,100.0,8.6,700
2016-02-15,100.0,0.0,760
2016-02-16,100.0,0.2,800
2016-02-17,100.0,,840
2016-02-18,100.0,,880
2016-02-19,100.0,,900
2016-02-22,100.0,,880
2016-02-23,100.0,0.0,940
2016-02-24,100.0,0.0,960
2016-02-25,100.0,0.0,920
2016-02-26,100.0,,980
2016-03-02,100.0,,1110
2016-03-03,100.0,,1100
2016-03-04,100.0,,1100
2016-03-07,100.0,,1160
2016-03-08,100.0,,1180
2016-03-09,100.0,0.0,1180
2016-03-10,100.0,,1180
2016-03-11,100.0,,1180
2016-03-14,100.0,0.6,1160
2016-03-15,100.0,,1160
2016-03-16,100.0,,1180
2016-03-17,100.0,,1180
2016-03-18,100.0,,1200
2016-03-21,100.0,,1200
2016-03-22,100.0,,1220
2016-03-23,100.0,2.7,1220
2016-03-24,100.0,0.2,1200
2016-03-25,100.0,0.0,1220
2016-03-28,100.0,,1320
2016-03-29,100.0,0.1,1320
2016-03-30,100.0,,1320
2016-03-31,100.0,,1320
2016-04-01,100.0,,1440
2016-04-04,100.0,,1460
2016-04-05,100.0,,1500
2016-04-06,100.0,2.0,1520
2016-04-07,100.0,24.8,1560
2016-04-08,100.0,,1560
2016-04-11,100.0,0.4,1560
2016-04-12,100.0,,1540
2016-04-14,100.0,,1520
2016-04-15,100.0,,1500
2016-04-18,100.0,5.4,1520
2016-04-19,100.0,,1480
2016-04-20,100.0,0.3,1480
2016-04-21,100.0,21.4,1489
2016-04-22,100.0,,1500
2016-04-25,100.0,,1520
2016-04-26,100.0,,1520
2016-04-27,100.0,,1460
2016-04-28,100.0,,1520
2016-04-29,100.0,,1510
2016-05-02,100.0,0.9,1400
2016-05-03,100.0,5.3,1360
2016-05-04,100.0,3.0,1260
2016-05-09,100.0,,1140
2016-05-10,100.0,23.5,1140
2016-05-11,100.0,1.4,1140
2016-05-12,100.0,,1100
2016-05-13,100.0,,1080
2016-05-16,100.0,4.5,1200
