date,place,gangsu,price
2021-01-04,100.0,0.0,473
2021-01-05,100.0,0.1,510
2021-01-06,100.0,0.5,520
2021-01-07,100.0,1.1,510
2021-01-08,100.0,,510
2021-01-11,100.0,,522
2021-01-12,100.0,0.0,592
2021-01-13,100.0,,592
2021-01-14,100.0,,602
2021-01-15,100.0,0.4,602
2021-01-18,100.0,1.2,622
2021-01-19,100.0,,662
2021-01-20,100.0,,610
2021-01-21,100.0,0.0,610
2021-01-22,100.0,0.0,610
2021-01-25,100.0,,622
2021-01-26,100.0,0.0,612
2021-01-27,100.0,,702
2021-01-28,100.0,2.6,722
2021-01-29,100.0,,732
2021-02-01,100.0,0.0,702
2021-02-02,100.0,,712
2021-02-03,100.0,0.0,722
2021-02-04,100.0,0.6,738
2021-02-05,100.0,,805
2021-02-08,100.0,,715
2021-02-09,100.0,,755
2021-02-10,100.0,,815
2021-02-15,100.0,0.1,795
2021-02-16,100.0,0.0,825
2021-02-17,100.0,,845
2021-02-18,100.0,,945
2021-02-19,100.0,,982
2021-02-22,100.0,,972
2021-02-23,100.0,,984
2021-02-24,100.0,,922
2021-02-25,100.0,,902
2021-02-26,100.0,0.0,1012
2021-03-02,100.0,4.4,1046
2021-03-03,100.0,,1046
2021-03-04,100.0,,1002
2021-03-05,100.0,,962
2021-03-08,100.0,,1022
2021-03-09,100.0,,1022
2021-03-10,100.0,,1022
2021-03-11,100.0,,1074
2021-03-12,100.0,10.5,1014
2021-03-15,100.0,,1062
2021-03-16,100.0,0.7,1034
2021-03-17,100.0,,1034
2021-03-18,100.0,0.0,1004
2021-03-19,100.0,,1004
2021-03-22,100.0,,1104
2021-03-23,100.0,,1064
2021-03-24,100.0,,1064
2021-03-25,100.0,,1044
2021-03-26,100.0,,1064
2021-03-29,100.0,0.1,1084
2021-03-30,100.0,,1084
2021-03-31,100.0,,1024
2021-04-01,100.0,,1104
2021-04-02,100.0,0.0,1104
2021-04-05,100.0,,1084
2021-04-06,100.0,,1104
2021-04-07,100.0,,1084
2021-04-08,100.0,0.2,1084
2021-04-09,100.0,5.1,1084
2021-04-12,100.0,10.7,1064
2021-04-13,100.0,5.2,1104
2021-04-14,100.0,,1104
2021-04-15,100.0,,1084
2021-04-16,100.0,,1082
2021-04-19,100.0,,1102
2021-04-20,100.0,,1064
2021-04-21,100.0,,1064
2021-04-22,100.0,,1044
2021-04-23,100.0,,1064
2021-04-26,100.0,,1064
2021-04-27,100.0,0.0,1064
2021-04-28,100.0,,1064
2021-04-29,100.0,4.8,955
2021-04-30,100.0,18.9,975
2021-05-03,100.0,,890
2021-05-04,100.0,0.4,872
2021-05-06,100.0,,878
2021-05-07,100.0,4.7,828
2021-05-10,100.0,,863
2021-05-11,100.0,,843
2021-05-12,100.0,,734
2021-05-13,100.0,,734
2021-05-14,100.0,,552
2021-05-17,100.0,8.1,590
2021-05-18,100.0,,542
2021-05-20,100.0,5.6,582
2021-05-21,100.0,2.2,685
2021-05-24,100.0,,625
2021-05-25,100.0,5.3,625
2021-05-26,100.0,,625
2021-05-27,100.0,1.6,705
2021-05-28,100.0,19.5,705
2021-05-31,100.0,5.0,725
2021-06-01,100.0,0.1,705
2021-06-02,100.0,,625
2021-06-03,100.0,17.7,685
2021-06-04,100.0,1.9,625
2021-06-07,100.0,,695
2021-06-08,100.0,0.4,605
2021-06-09,100.0,,585
2021-06-10,100.0,0.0,633
2021-06-11,100.0,3.0,602
2021-06-14,100.0,0.0,550
2021-06-15,100.0,9.1,620
2021-06-16,100.0,34.5,580
2021-06-17,100.0,,580
2021-06-18,100.0,0.0,580
2021-06-21,100.0,0.8,665
2021-06-22,100.0,1.7,605
2021-06-23,100.0,0.1,605
2021-06-24,100.0,0.0,605
2021-06-25,100.0,2.0,585
2021-06-28,100.0,,665
2021-06-29,100.0,0.0,585
2021-06-30,100.0,3.4,582
2021-07-01,100.0,,665
2021-07-02,100.0,,634
2021-07-05,100.0,,857
2021-07-06,100.0,,833
2021-07-07,100.0,0.0,837
2021-07-08,100.0,2.2,864
2021-07-09,100.0,12.3,850
2021-07-12,100.0,0.0,831
2021-07-13,100.0,,707
2021-07-14,100.0,,676
2021-07-15,100.0,,597
2021-07-16,100.0,,609
2021-07-19,100.0,,675
2021-07-20,100.0,0.0,745
2021-07-21,100.0,,694
2021-07-22,100.0,,639
2021-07-23,100.0,,643
2021-07-26,100.0,,819
2021-07-27,100.0,0.0,879
2021-07-28,100.0,,951
2021-07-29,100.0,,843
2021-07-30,100.0,13.2,959
2021-08-02,100.0,2.7,1082
2021-08-03,100.0,,1172
2021-08-04,100.0,,1132
2021-08-05,100.0,0.0,1090
2021-08-06,100.0,14.6,1082
2021-08-09,100.0,33.5,1032
2021-08-10,100.0,8.5,1036
2021-08-11,100.0,,1020
2021-08-12,100.0,,957
2021-08-13,100.0,0.0,986
2021-08-17,100.0,9.8,913
2021-08-18,100.0,34.9,1044
2021-08-19,100.0,0.9,1108
2021-08-20,100.0,0.1,1032
2021-08-23,100.0,5.9,927
2021-08-24,100.0,15.0,827
2021-08-25,100.0,3.3,956
2021-08-26,100.0,,972
2021-08-27,100.0,0.6,940
2021-08-30,100.0,,1104
2021-08-31,100.0,34.5,1034
2021-09-01,100.0,69.0,1126
2021-09-02,100.0,0.1,1320
2021-09-03,100.0,,1252
2021-09-06,100.0,0.8,1276
2021-09-07,100.0,22.5,1414
2021-09-08,100.0,1.2,1414
2021-09-09,100.0,,1308
2021-09-10,100.0,,1308
2021-09-13,100.0,,1532
2021-09-14,100.0,0.0,1516
2021-09-15,100.0,1.1,1520
2021-09-16,100.0,0.2,1520
2021-09-17,100.0,9.9,1524
2021-09-23,100.0,,1524
2021-09-24,100.0,7.2,1392
2021-09-27,100.0,0.5,1156
2021-09-28,100.0,,1126
2021-09-29,100.0,14.9,1084
2021-09-30,100.0,0.3,1060
2021-10-01,100.0,,1020
2021-10-05,100.0,0.6,956
2021-10-06,100.0,8.2,890
2021-10-07,100.0,2.4,833
2021-10-08,100.0,6.0,766
2021-10-12,100.0,2.4,674
2021-10-13,100.0,0.0,614
2021-10-14,100.0,,584
2021-10-15,100.0,18.1,584
2021-10-18,100.0,,604
2021-10-19,100.0,0.2,721
2021-10-20,100.0,0.0,725
2021-10-21,100.0,,660
2021-10-22,100.0,0.0,748
2021-10-25,100.0,,752
2021-10-26,100.0,,752
2021-10-27,100.0,0.7,712
2021-10-28,100.0,,736
2021-10-29,100.0,,739
2021-11-01,100.0,,796
2021-11-02,100.0,0.1,834
2021-11-03,100.0,1.5,868
2021-11-04,100.0,,924
2021-11-05,100.0,,1085
2021-11-08,100.0,14.3,1136
2021-11-09,100.0,2.0,1188
2021-11-10,100.0,0.0,1220
2021-11-11,100.0,,1340
2021-11-12,100.0,,1356
2021-11-15,100.0,,1206
2021-11-16,100.0,,1124
2021-11-17,100.0,,1032
2021-11-18,100.0,,1140
2021-11-19,100.0,,1104
2021-11-22,100.0,0.7,1138
2021-11-23,100.0,,1092
2021-11-24,100.0,,1128
2021-11-25,100.0,,1068
2021-11-26,100.0,,1092
2021-11-29,100.0,,1080
2021-11-30,100.0,14.0,937
2021-12-01,100.0,,969
2021-12-02,100.0,0.0,1024
2021-12-06,100.0,,917
2021-12-07,100.0,6.2,929
2021-12-08,100.0,,917
2021-12-09,100.0,,849
2021-12-10,100.0,0.0,842
2021-12-13,100.0,,891
2021-12-14,100.0,,883
2021-12-15,100.0,0.1,886
2021-12-16,100.0,,857
2021-12-17,100.0,,800
2021-12-20,100.0,0.1,886
2021-12-21,100.0,,833
2021-12-22,100.0,,813
2021-12-23,100.0,,817
2021-12-24,100.0,0.0,797
2021-12-27,100.0,,925
2021-12-28,100.0,,894
2021-12-29,100.0,0.0,922
2021-12-30,100.0,0.0,926
2021-12-31,100.0,,896
