date,gangsu,price
2016-03-10,,750
2016-03-11,,740
2016-03-14,,720
2016-03-15,,720
2016-03-16,,760
2016-03-17,,740
2016-03-18,5.5,740
2016-03-21,,740
2016-03-22,,750
2016-03-23,,730
2016-03-24,,730
2016-03-25,,730
2016-03-28,,740
2016-03-29,,780
2016-03-30,,810
2016-03-31,,830
2016-04-01,,840
2016-04-04,1,880
2016-04-05,,960
2016-04-06,33,970
2016-04-07,24.5,1020
2016-04-08,,1020
2016-04-11,,1030
2016-04-12,0,1000
2016-04-14,,990
2016-04-15,,990
2016-04-18,,990
2016-04-19,,940
2016-04-20,0.1,930
2016-04-21,33.4,900
2016-04-22,,870
2016-04-25,,890
2016-04-26,3.6,930
2016-04-27,25.8,970
2016-04-28,4.5,1000
2016-04-29,,1070
2016-05-02,0.7,1090
2016-05-03,10.7,1080
2016-05-04,,1070
2016-05-09,,1050
2016-05-10,22,1050
2016-05-11,0.2,1050
2016-05-12,,1040
2016-05-13,,990
2016-05-16,17.4,950
2016-05-17,,920
2016-05-18,,910
2016-05-19,,850
2016-05-20,,830
2016-05-23,,730
2016-05-24,26.6,730
2016-05-25,,730
2016-05-26,,685
2016-05-27,,660
2016-05-30,,665
2016-05-31,,640
2016-06-01,,625
2016-06-02,,600
2016-06-03,,575
2016-06-07,0,575
2016-06-08,,570
2016-06-09,,550
2016-06-10,,530
2016-06-13,,520
2016-06-14,,510
2016-06-15,13.8,510
2016-06-16,,530
2016-06-17,,550
2016-06-20,6.3,550
2016-06-21,0.2,560
2016-06-22,4.9,610
2016-06-23,,700
2016-06-24,41.5,660
2016-06-27,,620
2016-06-28,,560
2016-06-29,0.3,550
2016-06-30,,550
2016-07-01,31.9,570
2016-07-04,1,700
2016-07-05,38.4,720
2016-07-06,81.5,700
2016-07-07,0,710
2016-07-08,,670
2016-07-11,0.4,570
2016-07-12,8.1,560
2016-07-13,0.1,570
2016-07-14,,570
2016-07-15,,580
2016-07-18,,640
2016-07-19,5.6,590
2016-07-20,,600
2016-07-21,,610
2016-07-22,,610
2016-07-25,,610
2016-07-26,,650
2016-07-27,5,630
2016-07-28,5.5,630
2016-07-29,,610
2016-08-01,,585
2016-08-02,0.3,595
2016-08-03,,595
2016-08-04,,600
2016-08-05,,625
2016-08-08,51.1,625
2016-08-09,1.4,640
2016-08-10,,635
2016-08-11,,700
2016-08-12,,670
2016-08-16,,720
2016-08-17,,780
2016-08-18,,780
2016-08-19,,810
2016-08-22,,850
2016-08-23,13.1,860
2016-08-24,,890
2016-08-25,,950
2016-08-26,8.9,980
2016-08-29,,1060
2016-08-30,0.1,1150
2016-08-31,0.4,1260
2016-09-01,,1440
2016-09-02,20.4,1350
2016-09-05,,1280
2016-09-06,,1220
