date,gangsu,price
2020-01-02,,1345
2020-01-03,,1390
2020-01-06,13.2,1355
2020-01-07,24.8,1290
2020-01-08,2.4,1205
2020-01-09,0.0,1120
2020-01-10,,1095
2020-01-13,0.0,1170
2020-01-14,,1140
2020-01-15,,1170
2020-01-16,,1130
2020-01-17,,1070
2020-01-20,0.0,1005
2020-01-21,,955
2020-01-22,5.1,970
2020-01-23,1.0,960
2020-01-28,,925
2020-01-29,8.2,840
2020-01-30,,860
2020-01-31,,810
2020-02-03,,710
2020-02-04,,690
2020-02-05,0.0,620
2020-02-06,,600
2020-02-07,,590
2020-02-10,,560
2020-02-11,,630
2020-02-12,10.5,645
2020-02-13,0.1,595
2020-02-14,0.0,605
2020-02-17,7.7,605
2020-02-18,0.0,605
2020-02-19,,605
2020-02-20,,605
2020-02-21,3.8,613
2020-02-24,0.3,575
2020-02-25,22.6,538
2020-02-26,0.0,525
2020-02-27,,525
2020-02-28,3.9,513
2020-03-02,,513
2020-03-03,,575
2020-03-04,0.0,563
2020-03-05,,575
2020-03-06,,550
2020-03-09,1.7,520
2020-03-10,6.8,520
2020-03-11,,480
2020-03-12,,490
2020-03-13,,510
2020-03-16,,510
2020-03-17,,510
2020-03-18,,510
2020-03-19,,510
2020-03-20,,450
2020-03-23,,490
2020-03-24,,490
2020-03-25,,490
2020-03-26,9.3,560
2020-03-27,9.5,550
2020-03-30,,505
2020-03-31,,510
2020-04-01,0.0,510
2020-04-02,,485
2020-04-03,,490
2020-04-06,,490
2020-04-07,,490
2020-04-08,,440
2020-04-09,,450
2020-04-10,,450
2020-04-13,,460
2020-04-14,,540
2020-04-16,,540
2020-04-17,20.8,535
2020-04-20,0.0,525
2020-04-21,,540
2020-04-22,,550
2020-04-23,,540
2020-04-24,,540
2020-04-27,,540
2020-04-28,,580
2020-04-29,,580
2020-05-04,,560
2020-05-06,,570
2020-05-07,,540
2020-05-08,2.6,595
2020-05-11,,575
2020-05-12,,565
2020-05-13,,493
2020-05-14,,478
2020-05-15,16.7,448
2020-05-18,14.4,448
2020-05-19,1.6,460
2020-05-20,,430
2020-05-21,,433
2020-05-22,,443
2020-05-25,,455
2020-05-26,,455
2020-05-27,,450
2020-05-28,,445
2020-05-29,,460
2020-06-01,0.3,543
2020-06-02,0.0,565
2020-06-03,,550
2020-06-04,0.3,528
2020-06-05,,523
2020-06-08,,523
2020-06-09,,553
2020-06-10,10.5,545
2020-06-11,5.9,575
2020-06-12,28.3,615
2020-06-15,,665
2020-06-16,,690
2020-06-17,1.5,648
2020-06-18,22.0,658
2020-06-19,0.4,656
2020-06-22,,607
2020-06-23,,627
2020-06-24,7.5,687
2020-06-25,1.0,715
2020-06-26,0.7,677
2020-06-29,36.0,615
2020-06-30,1.1,717
2020-07-01,0.2,747
2020-07-02,,717
2020-07-03,11.2,695
2020-07-06,0.6,645
2020-07-07,,655
2020-07-08,,632
2020-07-09,,660
2020-07-10,57.2,640
2020-07-13,107.1,740
2020-07-14,6.1,750
2020-07-15,7.2,770
2020-07-16,0.1,732
2020-07-17,,670
2020-07-20,9.2,640
2020-07-21,4.9,660
2020-07-22,46.7,640
2020-07-23,45.2,627
2020-07-24,23.0,627
2020-07-27,11.2,632
2020-07-28,77.4,633
2020-07-29,18.9,686
