date,sun,price
2019-01-02,10.67,400
2019-01-03,12.33,410
2019-01-04,5.29,470
2019-01-07,9.87,450
2019-01-08,9.21,410
2019-01-09,9.35,370
2019-01-10,5.1,375
2019-01-11,9.32,375
2019-01-14,9.92,357
2019-01-15,6.85,360
2019-01-16,12.72,358
2019-01-17,6.14,358
2019-01-18,11.05,368
2019-01-21,10.24,378
2019-01-22,11.0,390
2019-01-23,10.14,405
2019-01-24,14.09,400
2019-01-25,10.18,405
2019-01-28,12.47,405
2019-01-29,14.43,440
2019-01-30,10.86,440
2019-01-31,2.35,440
2019-02-01,10.41,430
2019-02-07,11.29,430
2019-02-08,12.62,394
2019-02-11,15.6,406
2019-02-12,13.13,406
2019-02-13,14.78,416
2019-02-14,15.84,406
2019-02-15,8.39,405
2019-02-18,8.67,410
2019-02-19,1.91,440
2019-02-20,10.47,415
2019-02-21,16.9,415
2019-02-22,12.32,418
2019-02-25,15.3,433
2019-02-26,17.37,418
2019-02-27,4.0,408
2019-02-28,13.88,408
2019-03-04,15.28,410
2019-03-05,10.63,380
2019-03-06,13.9,380
2019-03-07,11.63,380
2019-03-08,21.02,390
2019-03-11,8.26,385
2019-03-12,12.93,410
2019-03-13,20.19,412
2019-03-14,20.62,412
2019-03-15,10.61,390
2019-03-18,16.77,380
2019-03-19,18.91,370
2019-03-20,5.16,360
2019-03-21,7.41,360
2019-03-22,21.39,360
2019-03-25,18.56,360
2019-03-26,20.41,360
2019-03-27,20.04,360
2019-03-28,16.0,360
2019-03-29,19.96,360
2019-04-01,23.77,385
2019-04-02,25.09,395
2019-04-03,25.7,378
2019-04-04,24.91,357
2019-04-05,13.38,363
2019-04-08,22.67,358
2019-04-09,11.17,358
2019-04-10,5.67,358
2019-04-11,16.2,388
2019-04-12,25.75,428
2019-04-15,26.58,428
2019-04-16,21.27,410
2019-04-17,25.01,405
2019-04-18,24.49,405
2019-04-19,13.04,414
2019-04-22,14.96,414
2019-04-23,6.59,414
2019-04-24,7.56,419
2019-04-25,2.86,410
2019-04-26,2.86,455
2019-04-29,3.04,485
2019-04-30,23.12,480
2019-05-02,29.15,488
2019-05-03,28.62,485
2019-05-07,29.93,503
2019-05-08,21.24,488
2019-05-09,28.36,485
2019-05-10,28.5,478
2019-05-13,24.65,478
2019-05-14,27.91,458
2019-05-15,27.7,465
2019-05-16,25.11,460
2019-05-17,17.7,460
2019-05-20,22.48,449
2019-05-21,31.1,415
2019-05-22,31.12,402
2019-05-23,30.22,415
2019-05-24,27.66,412
2019-05-27,2.42,438
2019-05-28,18.94,429
2019-05-29,30.67,433
2019-05-30,21.79,433
2019-05-31,27.01,433
2019-06-03,28.85,400
2019-06-04,28.53,430
2019-06-05,28.62,430
2019-06-07,5.09,487
2019-06-10,7.76,487
2019-06-11,20.29,487
2019-06-12,23.39,490
2019-06-13,26.03,470
2019-06-14,11.03,470
2019-06-17,26.91,430
2019-06-18,14.18,430
2019-06-19,21.23,430
2019-06-20,26.26,430
2019-06-21,28.38,445
2019-06-24,28.77,460
2019-06-25,26.42,460
2019-06-26,7.26,440
2019-06-27,14.27,490
2019-06-28,19.34,510
2019-07-01,10.58,460
2019-07-02,27.15,460
2019-07-03,18.92,450
2019-07-04,25.62,440
2019-07-05,25.71,440
2019-07-08,24.04,460
2019-07-09,19.2,480
2019-07-10,5.5,510
2019-07-11,7.01,640
2019-07-12,19.67,595
2019-07-15,17.0,500
2019-07-16,18.6,490
2019-07-17,19.32,465
2019-07-18,13.06,440
2019-07-19,9.67,460
2019-07-22,21.12,520
2019-07-23,19.27,450
2019-07-24,9.51,440
2019-07-25,9.89,410
2019-07-26,7.67,400
2019-07-29,21.55,398
2019-07-30,19.95,380
2019-07-31,22.86,380
2019-08-01,24.01,405
2019-08-02,25.02,465
2019-08-05,20.81,445
2019-08-06,19.83,410
2019-08-07,20.85,420
2019-08-08,13.41,430
2019-08-09,17.87,410
2019-08-12,14.82,440
2019-08-13,20.09,430
2019-08-14,18.82,440
2019-08-16,13.78,440
2019-08-19,24.45,480
2019-08-20,17.66,495
2019-08-21,14.58,495
2019-08-22,17.27,515
2019-08-23,16.71,520
2019-08-26,24.51,510
2019-08-27,5.8,500
2019-08-28,9.16,510
2019-08-29,10.79,520
2019-08-30,23.18,540
2019-09-02,5.91,560
2019-09-03,7.65,560
2019-09-04,9.68,640
2019-09-05,6.92,730
2019-09-06,9.41,700
2019-09-09,9.39,670
2019-09-10,20.07,650
2019-09-11,11.61,670
2019-09-16,17.61,640
2019-09-17,23.59,620
2019-09-18,22.99,620
2019-09-19,22.96,620
2019-09-20,7.26,655
2019-09-23,20.36,690
2019-09-24,21.58,715
2019-09-25,16.12,695
2019-09-26,12.89,690
2019-09-27,19.2,640
2019-09-30,19.24,740
2019-10-01,3.79,860
2019-10-02,1.83,920
2019-10-04,17.7,1160
2019-10-07,3.08,1050
2019-10-08,16.12,1050
2019-10-10,14.54,955
2019-10-11,17.81,910
2019-10-14,14.62,940
2019-10-15,16.81,940
2019-10-16,17.2,1060
2019-10-17,10.18,1010
2019-10-18,9.16,990
2019-10-21,17.1,1060
2019-10-22,16.12,1070
2019-10-23,5.13,1050
2019-10-24,14.15,1100
2019-10-25,13.88,1110
2019-10-28,15.34,1055
2019-10-29,12.35,1030
2019-10-30,15.48,1050
2019-10-31,15.45,1085
2019-11-01,13.51,1040
2019-11-04,11.43,1045
2019-11-05,13.28,1010
2019-11-06,13.97,1040
2019-11-07,10.67,1030
2019-11-08,15.2,1025
2019-11-11,9.93,995
2019-11-12,12.1,995
2019-11-13,3.55,980
2019-11-14,14.47,990
2019-11-15,12.51,1030
2019-11-18,4.01,1070
2019-11-19,9.43,1070
2019-11-20,13.59,1070
2019-11-21,10.4,1050
2019-11-22,12.78,1060
2019-11-25,4.88,1030
2019-11-26,11.42,1020
2019-11-27,5.97,1000
2019-11-28,11.39,1000
2019-11-29,12.93,1000
2019-12-02,9.64,1050
2019-12-03,9.78,1070
2019-12-04,10.34,1070
2019-12-05,11.7,1090
2019-12-09,9.78,1200
2019-12-10,7.98,1300
2019-12-11,3.53,1370
2019-12-12,11.66,1370
2019-12-13,10.57,1310
2019-12-16,8.88,1330
2019-12-17,0.93,1390
2019-12-18,6.52,1350
2019-12-19,11.18,1300
2019-12-20,7.19,1280
2019-12-23,6.65,1335
2019-12-24,10.46,1330
2019-12-26,1.77,1295
2019-12-27,10.78,1270
2019-12-30,1.71,1289
2019-12-31,12.25,1330
